('AC22517-2022-11-02-18','A1-18','fjTg', 'SU')
('SL12058-2022-11-01-69','S3-21','jS', 'MB')
('AC12058-2022-11-01-66','A4-12','s', 'SU')
('AC22517-2022-11-01-55','A4-1','ZxYH', 'LB')
('SL22517-2022-11-02-64','S3-16','GpzoOObPuUEU', 'SU')
('AC04652-2022-11-01-61','A4-7','CirsLESxsRgmjI', 'LB')
('AC12058-2022-11-01-69','A4-15','RIipLL', 'UB')
('AC12058-2022-11-01-70','A4-16','xTGBHSsg', 'UB')
('AC04652-2022-11-01-64','A4-10','Sg', 'UB')
('SL22517-2022-11-01-70','S3-22','vHWqNckoePQG', 'UB')
('AC04652-2022-11-01-67','A4-13','gx', 'LB')
('SL22517-2022-11-01-76','S4-4','xsmXBh', 'LB')
('AC22517-2022-11-01-71','A4-17','LL', 'SL')
('SL22517-2022-11-02-73','S4-1','FEsQMlZEksJIRGkg', 'LB')
('AC22517-2022-11-01-72','A4-18','jUKbURpwSfCwl', 'SU')
('SL04652-2022-11-02-66','S3-18','QjtoEeJQcur', 'MB')
('AC22517-2022-11-02-75','A5-3','ApGobrN', 'UB')
('AC22517-2022-11-01-74','A5-2','kA', 'LB')
('SL04652-2022-11-02-69','S3-21','bHIblHLg', 'MB')
('SL04652-2022-11-01-72','S3-24','xUUYdjk', 'SU')
('SL22517-2022-11-02-75','S4-3','YjRYkxjIkBwjeFJR', 'UB')
('AC22517-2022-11-02-78','A5-6','iUqZSsNVhUbttsG', 'SU')
('SL22517-2022-11-02-76','S4-4','wNlsqVIQsrL', 'LB')
('AC04652-2022-11-02-70','A4-16','SpZzZvEKwKfXjWx', 'UB')
('AC04652-2022-11-01-75','A5-3','xXBDQBpEQxE', 'UB')
('SL22517-2022-11-02-78','S4-6','JLFPslzyXm', 'UB')
('SL22517-2022-11-01-80','S4-8','apamAhXEi', 'SU')
('SL04652-2022-11-01-77','S4-5','cjpojRMtFhBS', 'MB')
('AC22517-2022-11-02-85','A5-13','ixnbqnK', 'LB')
('AC22517-2022-11-02-86','A5-14','AlIbNPwrVtHrV', 'LB')
('SL22517-2022-11-02-80','S4-8','ryH', 'SU')
('SL04652-2022-11-02-75','S4-3','trmVpNIRnq', 'UB')
('AC04652-2022-11-02-75','A5-3','OMQVL', 'UB')
('SL22517-2022-11-02-81','S4-9','ZVmFvZQIkiNkDz', 'LB')
('SL04652-2022-11-02-79','S4-7','AgujK', 'SL')
('AC12058-2022-11-01-84','A5-12','jUJZxuCc', 'SU')
('SL04652-2022-11-01-84','S4-12','VaEZOVqKcDzqyuRx', 'LB')
('SL12058-2022-11-01-93','S4-21','vJutOM', 'MB')
('SL22517-2022-11-02-88','S4-16','ahzzyJmxSYxxvtrr', 'SU')
('SL04652-2022-11-01-90','S4-18','FjiPx', 'MB')
('SL04652-2022-11-02-84','S4-12','jbBf', 'LB')
('AC22517-2022-11-02-101','A6-11','qvMb', 'SL')
('AC04652-2022-11-01-91','A6-1','de', 'LB')
('AC04652-2022-11-01-92','A6-2','wRwQyrYgVC', 'LB')
('AC22517-2022-11-02-120','A7-12','BosiCWSesbQGihXp', 'SU')
('SL22517-2022-11-02-106','S5-10','rOQzkmAtZKkbt', 'MB')
('SL12058-2022-11-01-120','S5-24','lXzB', 'SU')
('AC12058-2022-11-01-119','A7-11','ZqpawEpQyq', 'SL')
('SL04652-2022-11-01-112','S5-16','NN', 'SU')
('AC04652-2022-11-01-115','A7-7','HaO', 'LB')
('SL12058-2022-11-01-126','S6-6','wAECNgRAvvSF', 'UB')
('AC04652-2022-11-01-116','A7-8','ygQD', 'LB')
('AC22517-2022-11-01-123','A7-15','zKAClNyQggXbCm', 'UB')
('SL22517-2022-11-02-118','S5-22','uyDih', 'UB')
('SL04652-2022-11-02-104','S5-8','gg', 'SU')
('SL22517-2022-11-01-114','S5-18','TOwYuoruqwMiDHdf', 'MB')
('SL12058-2022-11-01-132','S6-12','HWhBYeLCa', 'LB')
('AC22517-2022-11-01-126','A7-18','oDACWxZG', 'SU')
('SL04652-2022-11-02-108','S5-12','wAJ', 'LB')
('SL04652-2022-11-02-109','S5-13','bin', 'MB')
('AC04652-2022-11-02-132','A8-6','kzOrLeXCZfffuPQW', 'SU')
('AC22517-2022-11-01-139','A8-13','QODTZosByOeAjCA', 'LB')
('AC22517-2022-11-02-151','A9-7','ZEfLPOXYZE', 'LB')
('SL22517-2022-11-01-147','S7-3','enjxsAiGjKsJRi', 'UB')
('SL04652-2022-11-01-136','S6-16','UpXfvjl', 'SU')
('AC22517-2022-11-01-143','A8-17','mcuoKzlVIIrZBwbW', 'SL')
('AC04652-2022-11-02-136','A8-10','VgIQKuhL', 'UB')
('SL22517-2022-11-01-153','S7-9','cuExkkjMvLefpew', 'LB')
('SL22517-2022-11-01-244','S11-4','rHHWRXlIiDXn', 'LB')
('SL12058-2022-11-01-236','S10-20','r', 'LB')
('AC12058-2022-11-01-242','A14-8','WaULSbhe', 'LB')
('AC12058-2022-11-01-243','A14-9','XkbsaxYnmZvsLUmx', 'UB')
('AC12058-2022-11-01-244','A14-10','JpizUeYzsF', 'UB')
('AC04652-2022-11-02-219','A13-3','WfNlWvad', 'UB')
('AC22517-2022-11-01-236','A14-2','uDfeSdUSfMSckDGz', 'LB')
