('SL12058-2022-11-01-1','S1-1','thYjYi', 'LB')
('AC22517-2022-11-01-4','A1-4','w', 'UB')
('SL04652-2022-11-01-5','S1-5','SgBFgrTCrMnfnx', 'MB')
('SL12058-2022-11-01-2','S1-2','fdF', 'MB')
('SL04652-2022-11-01-6','S1-6','ktPgXaVHcaLQU', 'UB')
('SL22517-2022-11-02-3','S1-3','uBGMIyxJp', 'UB')
('AC12058-2022-11-01-9','A1-9','BgZghbwgGYHdaU', 'UB')
('SL22517-2022-11-01-6','S1-6','aueC', 'UB')
('AC22517-2022-11-02-7','A1-7','WvpS', 'LB')
('AC04652-2022-11-01-10','A1-10','XSkWEemR', 'UB')
('AC04652-2022-11-02-13','A1-13','AdOKEAXFn', 'LB')
('SL12058-2022-11-01-12','S1-12','XzgdyGZGwcqM', 'LB')
('SL04652-2022-11-01-20','S1-20','FheXe', 'LB')
('AC22517-2022-11-02-14','A1-14','HIYFAzMN', 'LB')
('AC04652-2022-11-02-20','A2-2','JmqrxBpmTSh', 'LB')
('AC22517-2022-11-02-20','A2-2','FvYwgkrUKRW', 'LB')
('AC04652-2022-11-02-29','A2-11','eSGJRgPKfe', 'SL')
('AC12058-2022-11-01-30','A2-12','YTcM', 'SU')
('AC22517-2022-11-01-19','A2-1','XFxggUtUOBo', 'LB')
('SL12058-2022-11-01-30','S2-6','bPcXfqDyIfxh', 'UB')
('SL22517-2022-11-02-33','S2-9','O', 'LB')
('SL22517-2022-11-01-37','S2-13','DBZ', 'MB')
('SL22517-2022-11-01-45','S2-21','YCgXOdsCcOEMNy', 'MB')
('AC22517-2022-11-02-40','A3-4','xReeUMjg', 'UB')
('SL22517-2022-11-02-44','S2-20','zslluLrGHsei', 'LB')
('AC22517-2022-11-01-41','A3-5','fYkfRlJWV', 'SL')
('AC04652-2022-11-01-43','A3-7','L', 'LB')
('AC12058-2022-11-01-55','A4-1','P', 'LB')
('AC22517-2022-11-01-43','A3-7','ho', 'LB')
('SL04652-2022-11-02-46','S2-22','LlCbEYh', 'UB')
('AC12058-2022-11-01-58','A4-4','CXtqVsDvRqFGfbP', 'UB')
('AC12058-2022-11-01-59','A4-5','Q', 'SL')
('AC12058-2022-11-01-60','A4-6','ijmpgsNxpUF', 'SU')
('SL04652-2022-11-01-53','S3-5','koZNY', 'MB')
('AC12058-2022-11-01-62','A4-8','VNJ', 'LB')
('AC04652-2022-11-01-51','A3-15','P', 'UB')
('AC04652-2022-11-02-57','A4-3','rhyezWik', 'UB')
('SL22517-2022-11-02-58','S3-10','YmTnmlDlUjkhTqTP', 'MB')
('SL04652-2022-11-02-52','S3-4','pXIUzImSDLvbGo', 'LB')
('AC22517-2022-11-01-49','A3-13','feTDGifGK', 'LB')
('SL12058-2022-11-01-66','S3-18','hVw', 'MB')
('AC04652-2022-11-01-56','A4-2','buL', 'LB')
('SL04652-2022-11-01-60','S3-12','NxhljSvHZhIpkXO', 'LB')
('SL04652-2022-11-01-62','S3-14','HLRRGWQWZGob', 'UB')
('SL04652-2022-11-02-54','S3-6','BRnSjekpJ', 'UB')
('SL04652-2022-11-01-63','S3-15','ZHAzbedeYNcxBnzH', 'SL')
('SL22517-2022-11-02-66','S3-18','FSZKtlW', 'MB')
('AC12058-2022-11-01-68','A4-14','rBjz', 'LB')
('AC04652-2022-11-01-63','A4-9','ca', 'UB')
('AC04652-2022-11-02-62','A4-8','tJPfc', 'LB')
('AC22517-2022-11-02-65','A4-11','vBhC', 'SL')
('AC22517-2022-11-01-62','A4-8','KwhYLX', 'LB')
('SL22517-2022-11-01-71','S3-23','girpE', 'SL')
('SL04652-2022-11-02-55','S3-7','GHgUYxgKG', 'SL')
('SL22517-2022-11-02-68','S3-20','VNlqmGKY', 'LB')
('SL22517-2022-11-01-74','S4-2','voZwSNJIBOkMyKCP', 'MB')
('AC22517-2022-11-01-64','A4-10','GIOQFbhYmMxf', 'UB')
('AC12058-2022-11-01-73','A5-1','bCkXZbNXObBgoo', 'LB')
('SL12058-2022-11-01-80','S4-8','XPzoQdRmI', 'SU')
('SL04652-2022-11-02-83','S4-11','IUp', 'UB')
('SL22517-2022-11-02-84','S4-12','zozBMXxGXKNECN', 'LB')
('AC04652-2022-11-01-85','A5-13','zEYT', 'LB')
('AC04652-2022-11-02-88','A5-16','LqKuQySpR', 'UB')
('AC12058-2022-11-01-112','A7-4','UFEKBdPnVVWcv', 'UB')
('SL12058-2022-11-01-119','S5-23','Qpy', 'SL')
('AC22517-2022-11-02-123','A7-15','LiVoejOvmnqkOiI', 'UB')
('SL12058-2022-11-01-121','S6-1','ii', 'LB')
('SL22517-2022-11-02-113','S5-17','RCWBDkWGKiYbWq', 'LB')
('SL12058-2022-11-01-131','S6-11','ugDHOTwPpaHQ', 'UB')
('AC22517-2022-11-01-125','A7-17','OOBgvo', 'SL')
('SL22517-2022-11-01-116','S5-20','AMWTHG', 'LB')
('SL04652-2022-11-02-107','S5-11','XnZiTokOjVIFavj', 'UB')
('AC12058-2022-11-01-133','A8-7','kbYMZVVZFK', 'LB')
('SL22517-2022-11-02-125','S6-5','HNLWTRkGxtuw', 'MB')
('AC04652-2022-11-01-128','A8-2','gNMwfNIHs', 'LB')
('SL22517-2022-11-01-239','S10-23','ZPjOc', 'SL')
('AC04652-2022-11-01-249','A14-15','YMlC', 'UB')
('SL04652-2022-11-01-241','S11-1','gq', 'LB')
('AC04652-2022-11-02-228','A13-12','LdhTTDQGBC', 'SU')
('AC04652-2022-11-02-229','A13-13','vbscZQcFrg', 'LB')
('AC04652-2022-11-02-231','A13-15','Nb', 'UB')
('AC12058-2022-11-01-256','A15-4','rKeZsbIBNh', 'UB')
('AC04652-2022-11-01-259','A15-7','pRXZ', 'LB')
('AC12058-2022-11-01-258','A15-6','qTeobNhC', 'SU')
('SL04652-2022-11-02-220','S10-4','hzUhvYrUMHYoyw', 'LB')
('AC12058-2022-11-01-262','A15-10','pDWRmaMjyfWWhq', 'UB')
('AC22517-2022-11-02-269','A15-17','ePyeq', 'SL')
('AC12058-2022-11-01-263','A15-11','b', 'SL')
('AC04652-2022-11-01-264','A15-12','MUBuUBtFoaylkjx', 'SU')
('AC04652-2022-11-01-265','A15-13','YUrj', 'LB')
('SL12058-2022-11-01-252','S11-12','nzLf', 'LB')
('SL22517-2022-11-02-250','S11-10','kLMtGOVglnvSCf', 'MB')
('SL04652-2022-11-02-226','S10-10','RauDrmjsioujflz', 'MB')
('AC22517-2022-11-01-250','A14-16','ztDsvWFqt', 'UB')
('AC04652-2022-11-01-271','A16-1','wfnZaKPvUQQXJ', 'LB')
('AC12058-2022-11-01-268','A15-16','ZppJAN', 'UB')
('AC12058-2022-11-01-271','A16-1','Hj', 'LB')
('AC04652-2022-11-02-247','A14-13','iyljHP', 'LB')
('AC12058-2022-11-01-273','A16-3','NVKD', 'UB')
('AC22517-2022-11-02-279','A16-9','jhtNC', 'UB')
('AC22517-2022-11-01-254','A15-2','eb', 'LB')
('SL04652-2022-11-02-231','S10-15','qJfHWjLsAHi', 'SL')
('SL04652-2022-11-01-251','S11-11','SIcEjmBNzIguiaQm', 'UB')
('AC12058-2022-11-01-276','A16-6','oXPiEgeZDGfcCCwe', 'SU')
('SL22517-2022-11-02-258','S11-18','CFcT', 'MB')
('AC04652-2022-11-02-251','A14-17','OxcOStfHbEFq', 'SL')
('AC22517-2022-11-01-256','A15-4','VW', 'UB')
('SL04652-2022-11-02-235','S10-19','zTx', 'UB')
('SL22517-2022-11-01-270','S12-6','YYtPvYCZuGHQVk', 'UB')
('SL04652-2022-11-01-254','S11-14','RsDJaDfYjAU', 'UB')
('SL22517-2022-11-02-262','S11-22','nWzl', 'UB')
('AC22517-2022-11-02-284','A16-14','YQsulVe', 'LB')
('AC22517-2022-11-02-286','A16-16','oLpaUQmXEKXMdP', 'UB')
('SL04652-2022-11-02-243','S11-3','LjbrnmYO', 'UB')
('AC12058-2022-11-01-283','A16-13','XBJPSW', 'LB')
('AC04652-2022-11-02-261','A15-9','KzQvblsuODycOCjs', 'UB')
('SL04652-2022-11-02-248','S11-8','lAklfFFJWsKAe', 'SU')
('AC22517-2022-11-02-294','A17-6','IdzDQYiV', 'SU')
('AC04652-2022-11-01-291','A17-3','MPFOW', 'UB')
('AC22517-2022-11-01-265','A15-13','CYUdOt', 'LB')
('AC22517-2022-11-02-296','A17-8','uEhOHw', 'LB')
('AC12058-2022-11-01-290','A17-2','hu', 'LB')
('AC04652-2022-11-02-267','A15-15','MmMmdMds', 'UB')
('SL04652-2022-11-01-263','S11-23','BGJfMrbtkoma', 'SL')
('SL22517-2022-11-02-272','S12-8','SJciIXATUwUQMzfX', 'SU')
('AC04652-2022-11-01-295','A17-7','FnlZtsVLppaw', 'LB')
('AC22517-2022-11-02-298','A17-10','Q', 'UB')
('AC04652-2022-11-01-297','A17-9','i', 'UB')
('SL04652-2022-11-01-266','S12-2','UYHXNGz', 'MB')
('SL22517-2022-11-01-277','S12-13','KDsKohcLWbYrbPP', 'MB')
('AC22517-2022-11-02-302','A17-14','BXwLCEHhs', 'LB')
('AC22517-2022-11-02-303','A17-15','EjEh', 'UB')
('AC12058-2022-11-01-294','A17-6','IXhl', 'SU')
('AC04652-2022-11-01-300','A17-12','hjPhrFCdUVlQlZJ', 'SU')
('AC22517-2022-11-02-306','A17-18','fA', 'SU')
('AC22517-2022-11-02-307','A18-1','jqeuDbTqzJUV', 'LB')
('AC12058-2022-11-01-297','A17-9','WPdqno', 'UB')
('AC22517-2022-11-01-273','A16-3','TpwlSXXShUartopq', 'UB')
('AC22517-2022-11-02-309','A18-3','bff', 'UB')
('AC04652-2022-11-01-303','A17-15','L', 'UB')
('SL04652-2022-11-01-276','S12-12','qhKaUqaEkTQOw', 'LB')
('AC22517-2022-11-01-275','A16-5','EAzvTzYi', 'SL')
('AC04652-2022-11-02-276','A16-6','yOSmNAgXcs', 'SU')
('SL22517-2022-11-01-285','S12-21','wfVCscshAVqSYHcj', 'MB')
('AC22517-2022-11-02-314','A18-8','CkUoDbQnSQJg', 'LB')
('SL04652-2022-11-02-262','S11-22','GNvtAkdOOysHp', 'UB')
('SL12058-2022-11-01-280','S12-16','FtXcBCtPKpqL', 'SU')
('AC04652-2022-11-01-314','A18-8','civWdSSnE', 'LB')
('AC12058-2022-11-01-303','A17-15','eSreZwIGk', 'UB')
('SL12058-2022-11-01-283','S12-19','qWtKvh', 'UB')
('AC22517-2022-11-02-318','A18-12','XiDCdtRSMPSi', 'SU')
('AC04652-2022-11-02-282','A16-12','DiQupoiQzglt', 'SU')
('SL12058-2022-11-01-286','S12-22','dPyLXUvI', 'UB')
('SL12058-2022-11-01-299','S13-11','tyIJlKoQb', 'UB')
('AC22517-2022-11-01-305','A17-17','fCLQSPGUHesy', 'SL')
('SL22517-2022-11-02-319','S14-7','JzrtQpAHicXSr', 'SL')
('AC04652-2022-11-01-350','A20-8','RLK', 'LB')
('AC12058-2022-11-01-338','A19-14','h', 'LB')
('AC04652-2022-11-02-320','A18-14','SYcRALJhSCqegZaV', 'LB')
('SL04652-2022-11-02-295','S13-7','En', 'SL')
('AC22517-2022-11-02-357','A20-15','qvjQUznmVFIfGh', 'UB')
('SL04652-2022-11-01-320','S14-8','ItWKgW', 'SU')
('AC22517-2022-11-01-309','A18-3','SlAYdU', 'UB')
('AC04652-2022-11-02-324','A18-18','ek', 'SU')
('AC22517-2022-11-01-310','A18-4','PJmSIUBo', 'UB')
('SL12058-2022-11-01-331','S14-19','dvFtb', 'UB')
('AC04652-2022-11-01-359','A20-17','cxcGZOBnCplZvBU', 'SL')
('AC22517-2022-11-01-316','A18-10','XKweRPQx', 'UB')
('AC04652-2022-11-01-363','A21-3','KPYhqLFEP', 'UB')
('AC04652-2022-11-01-364','A21-4','kKGWN', 'UB')
('AC04652-2022-11-01-365','A21-5','SSdFvVepRAmYCWjL', 'SL')
('SL04652-2022-11-01-333','S14-21','DtFAzfpLuXqaKdV', 'MB')
('SL22517-2022-11-02-333','S14-21','Tw', 'MB')
('SL22517-2022-11-02-334','S14-22','PsEbWelmEBwEt', 'UB')
('AC04652-2022-11-02-338','A19-14','lRsfW', 'LB')
('AC22517-2022-11-02-380','A22-2','HSuzxlXIiMecku', 'LB')
('SL04652-2022-11-01-337','S15-1','RLnKeR', 'LB')
('AC04652-2022-11-01-373','A21-13','TIpIaAFlsbhXumh', 'LB')
('SL04652-2022-11-01-341','S15-5','jNCjlgdrvNg', 'MB')
('SL12058-2022-11-01-351','S15-15','GKFRdnoR', 'SL')
('AC04652-2022-11-01-375','A21-15','OgrvVfJOmoEln', 'UB')
('SL04652-2022-11-01-342','S15-6','YkuKhbNMKqkH', 'UB')
('SL22517-2022-11-01-351','S15-15','RVUuunZGH', 'SL')
('SL12058-2022-11-01-355','S15-19','KwTovdpRsXKvWMk', 'UB')
('AC12058-2022-11-01-371','A21-11','RpWYa', 'SL')
('AC04652-2022-11-01-376','A21-16','ApOqun', 'UB')
