('SL12058-2022-11-01-6','S1-6','mZAbQzsEZg', 'UB')
('SL22517-2022-11-02-11','S1-11','ULCr', 'UB')
('SL22517-2022-11-01-11','S1-11','uqpM', 'UB')
('SL22517-2022-11-01-12','S1-12','bYuZaikhWBLAlc', 'LB')
('AC04652-2022-11-02-19','A2-1','Nu', 'LB')
('SL04652-2022-11-02-26','S2-2','lDQnoVeOLALRPc', 'MB')
('AC22517-2022-11-01-18','A1-18','A', 'SU')
('AC04652-2022-11-01-30','A2-12','gzQdsicNxnYrEAmb', 'SU')
('SL04652-2022-11-02-31','S2-7','xtxd', 'SL')
('SL12058-2022-11-01-37','S2-13','wLx', 'MB')
('SL12058-2022-11-01-40','S2-16','ayTiG', 'SU')
('AC12058-2022-11-01-42','A3-6','rQmleirZRdoI', 'SU')
('SL04652-2022-11-01-36','S2-12','rukBCo', 'LB')
('SL22517-2022-11-01-47','S2-23','rxcbZknCXtUKM', 'SL')
('AC22517-2022-11-01-116','A7-8','HbshqEDniWjabQF', 'LB')
('SL12058-2022-11-01-115','S5-19','GEtlDxD', 'UB')
('SL22517-2022-11-01-102','S5-6','rZSNkRMiHmPa', 'UB')
('AC04652-2022-11-01-109','A7-1','Myd', 'LB')
('SL22517-2022-11-01-104','S5-8','DucabUso', 'SU')
('SL22517-2022-11-02-112','S5-16','huzw', 'SU')
('SL12058-2022-11-01-125','S6-5','mivgXCeG', 'MB')
('SL12058-2022-11-01-128','S6-8','hJ', 'SU')
('AC22517-2022-11-02-130','A8-4','pFNqQyNppw', 'UB')
('AC12058-2022-11-01-128','A8-2','bRpFnpA', 'LB')
('AC04652-2022-11-01-119','A7-11','FXEoLcVzaPpDb', 'SL')
('AC22517-2022-11-02-133','A8-7','PKCVD', 'LB')
('SL22517-2022-11-02-121','S6-1','ylMuOKeIBGHvjp', 'LB')
('AC04652-2022-11-02-126','A7-18','VpNZpqImvXmOvoU', 'SU')
('AC12058-2022-11-01-145','A9-1','zCgJesfQGAbZOmvg', 'LB')
('AC12058-2022-11-01-146','A9-2','TEcSvvjPnsHY', 'LB')
('SL12058-2022-11-01-144','S6-24','nltmrJsfmO', 'SU')
('AC04652-2022-11-01-133','A8-7','YaCIPRVXybBBFd', 'LB')
('SL22517-2022-11-02-135','S6-15','TOlkbZprpBSL', 'SL')
('AC22517-2022-11-02-148','A9-4','b', 'UB')
('SL22517-2022-11-02-137','S6-17','zSuC', 'LB')
('SL04652-2022-11-01-135','S6-15','sZKeqg', 'SL')
('SL04652-2022-11-02-122','S6-2','QNLGaTzF', 'MB')
('SL22517-2022-11-02-143','S6-23','BReZqDiWqBifu', 'SL')
('AC22517-2022-11-02-156','A9-12','lei', 'SU')
('AC22517-2022-11-02-157','A9-13','I', 'LB')
('AC22517-2022-11-02-158','A9-14','yl', 'LB')
('SL22517-2022-11-01-155','S7-11','ULUrmUWeCMYsNeF', 'UB')
('AC12058-2022-11-01-159','A9-15','ZrSDlEwNv', 'UB')
('AC22517-2022-11-02-179','A10-17','mABjr', 'SL')
