('SL22517-2022-11-01-162','S7-18','NafyRpCpw', 'MB')
('SL22517-2022-11-02-151','S7-7','oKkcUqhYoyMa', 'SL')
('SL04652-2022-11-01-185','S8-17','dJivmmDdkLA', 'LB')
('AC22517-2022-11-01-160','A9-16','rbEndBLh', 'UB')
('SL04652-2022-11-01-187','S8-19','EfSdFoamoY', 'UB')
('SL04652-2022-11-01-188','S8-20','mSnW', 'LB')
('AC12058-2022-11-01-179','A10-17','AjCsaDTWaaVK', 'SL')
('AC04652-2022-11-01-195','A11-15','psFBsmyJG', 'UB')
('AC22517-2022-11-01-162','A9-18','EMRPvUXfsPICvwdL', 'SU')
('AC22517-2022-11-01-163','A10-1','kHqYMQ', 'LB')
('AC04652-2022-11-01-196','A11-16','jfqaFMFwiHB', 'UB')
('AC04652-2022-11-01-197','A11-17','PcnMpURklZZOCQ', 'SL')
('SL04652-2022-11-01-191','S8-23','ix', 'SL')
('AC12058-2022-11-01-187','A11-7','ABhy', 'LB')
('SL04652-2022-11-02-182','S8-14','RbDBUzdDwPhGWa', 'UB')
('SL04652-2022-11-02-183','S8-15','Ztw', 'SL')
('AC04652-2022-11-02-179','A10-17','hZBM', 'SL')
('SL12058-2022-11-01-168','S7-24','xkvxPxLLFtKAMD', 'SU')
('AC04652-2022-11-01-200','A12-2','kif', 'LB')
('SL12058-2022-11-01-169','S8-1','Vs', 'LB')
('AC22517-2022-11-02-168','A10-6','Mz', 'SU')
('AC12058-2022-11-01-189','A11-9','eBJOjuCVGdPAmQ', 'UB')
('SL22517-2022-11-02-160','S7-16','jqNpYWAxICy', 'SU')
('SL22517-2022-11-01-173','S8-5','zoXdPjMrWybWUYTR', 'MB')
('SL04652-2022-11-02-187','S8-19','IaddKP', 'UB')
('AC22517-2022-11-01-173','A10-11','kMdMGfpDkXNvKl', 'SL')
('SL12058-2022-11-01-177','S8-9','Dt', 'LB')
('SL22517-2022-11-02-164','S7-20','BKueRIKYKJtQB', 'LB')
('AC12058-2022-11-01-199','A12-1','e', 'LB')
('AC22517-2022-11-02-181','A11-1','qNGP', 'LB')
('SL22517-2022-11-02-170','S8-2','kA', 'MB')
('SL04652-2022-11-02-199','S9-7','DvMQNqiNVgb', 'SL')
('AC04652-2022-11-01-215','A12-17','ClkwxCVDYQkGl', 'SL')
('AC04652-2022-11-02-199','A12-1','ittLWb', 'LB')
('AC22517-2022-11-02-185','A11-5','IndOMgd', 'SL')
('SL22517-2022-11-01-189','S8-21','sRXmfJJKDiGlHb', 'MB')
('SL22517-2022-11-02-174','S8-6','NdSiH', 'UB')
('SL22517-2022-11-02-175','S8-7','hGeEsVGh', 'SL')
('AC22517-2022-11-01-185','A11-5','mnfDElOtQScOzT', 'SL')
('SL22517-2022-11-02-176','S8-8','TMIkds', 'SU')
('AC22517-2022-11-01-186','A11-6','GXBYIOLpr', 'SU')
('AC04652-2022-11-01-218','A13-2','ehNkojuo', 'LB')
('SL22517-2022-11-02-177','S8-9','tOjUrFOi', 'LB')
('AC22517-2022-11-01-187','A11-7','FbHeBoYgyUlm', 'LB')
('SL04652-2022-11-02-203','S9-11','M', 'UB')
('AC04652-2022-11-01-219','A13-3','qQxYDkJF', 'UB')
('SL04652-2022-11-02-205','S9-13','xcJfJffUUHR', 'MB')
('AC22517-2022-11-01-188','A11-8','shhY', 'LB')
('SL22517-2022-11-01-191','S8-23','fLyvJTtaF', 'SL')
('AC04652-2022-11-02-201','A12-3','SDeTaHnZpXxEH', 'UB')
('SL22517-2022-11-01-192','S8-24','ORGZY', 'SU')
('AC22517-2022-11-02-187','A11-7','ISVqIPrExI', 'LB')
('AC22517-2022-11-01-189','A11-9','hzm', 'UB')
('SL12058-2022-11-01-202','S9-10','WN', 'MB')
('AC22517-2022-11-01-197','A11-17','EOapms', 'SL')
('SL22517-2022-11-01-199','S9-7','wjkNaqSo', 'SL')
('SL04652-2022-11-01-212','S9-20','Ff', 'LB')
('SL04652-2022-11-01-213','S9-21','NL', 'MB')
('SL12058-2022-11-01-205','S9-13','PngqDZXihzcTOgNJ', 'MB')
('SL22517-2022-11-01-200','S9-8','hJlNGrwOlSVdrPy', 'SU')
('SL04652-2022-11-01-214','S9-22','bXoDXBQwMYqW', 'UB')
('AC12058-2022-11-01-206','A12-8','W', 'LB')
('SL22517-2022-11-02-185','S8-17','suRnNiOLBbWzWM', 'LB')
('SL22517-2022-11-02-186','S8-18','uFyeHPrFadDkQY', 'MB')
('SL04652-2022-11-01-216','S9-24','WnvkVoyrd', 'SU')
('SL12058-2022-11-01-207','S9-15','J', 'SL')
('SL22517-2022-11-02-190','S8-22','fb', 'UB')
('AC04652-2022-11-02-212','A12-14','NPE', 'LB')
('AC22517-2022-11-02-204','A12-6','qaUTMVoOD', 'SU')
('AC04652-2022-11-01-231','A13-15','rxE', 'UB')
('AC22517-2022-11-02-207','A12-9','KjrfNpbmQgD', 'UB')
('AC22517-2022-11-01-202','A12-4','fIcuz', 'UB')
('AC12058-2022-11-01-215','A12-17','RRWMoNxEIUvTN', 'SL')
('SL22517-2022-11-01-206','S9-14','tFJHCVyLtYSch', 'UB')
('SL12058-2022-11-01-211','S9-19','YydESliggCHcf', 'UB')
('SL22517-2022-11-01-209','S9-17','PZthTFuulYkmCs', 'LB')
('AC04652-2022-11-02-217','A13-1','KEUMoqRDVtoEsAo', 'LB')
('SL04652-2022-11-01-222','S10-6','RZWUOKbktuqg', 'UB')
('SL04652-2022-11-02-223','S10-7','JcJwtNkASPd', 'SL')
('SL22517-2022-11-02-198','S9-6','HnKo', 'UB')
('SL22517-2022-11-01-215','S9-23','ARBMcPwxLdbpzIJ', 'SL')
('SL12058-2022-11-01-215','S9-23','N', 'SL')
('AC12058-2022-11-01-221','A13-5','qfwwbVhsfL', 'SL')
('SL04652-2022-11-01-226','S10-10','fIVkmhOaDHZ', 'MB')
('SL22517-2022-11-02-201','S9-9','f', 'LB')
('SL22517-2022-11-01-219','S10-3','yodZPEzBwICSNWfg', 'UB')
('AC22517-2022-11-02-215','A12-17','BaElk', 'SL')
('SL04652-2022-11-02-225','S10-9','tN', 'LB')
('SL22517-2022-11-02-205','S9-13','BsGVjKCaLwAkPAT', 'MB')
('SL04652-2022-11-02-226','S10-10','Fcj', 'MB')
('SL22517-2022-11-01-223','S10-7','vegDh', 'SL')
('AC04652-2022-11-01-244','A14-10','gJQhrsEZIGOoRIw', 'UB')
('SL12058-2022-11-01-221','S10-5','elk', 'MB')
('SL04652-2022-11-01-236','S10-20','FEvYbwmeVZX', 'LB')
('AC04652-2022-11-02-229','A13-13','MSvsXhvGe', 'LB')
('AC22517-2022-11-02-217','A13-1','vBiqeKCEOI', 'LB')
('SL12058-2022-11-01-223','S10-7','WZPJlaNqjZUPtP', 'SL')
('SL04652-2022-11-01-238','S10-22','XPDyIjOlIXUHofUI', 'UB')
('SL22517-2022-11-01-231','S10-15','pCLdaHMJkNRZxFdN', 'SL')
('SL04652-2022-11-02-232','S10-16','vNMcCD', 'SU')
('AC04652-2022-11-02-235','A14-1','vaxyHKiuqFJLZCQU', 'LB')
('SL04652-2022-11-02-235','S10-19','HnMJNC', 'UB')
('SL04652-2022-11-01-245','S11-5','mLeKHeTdXgUREgbV', 'MB')
('AC04652-2022-11-02-237','A14-3','E', 'UB')
('AC12058-2022-11-01-237','A14-3','uoXNJEJHfI', 'UB')
('SL04652-2022-11-02-239','S10-23','qOinERLCvsK', 'SL')
('AC22517-2022-11-01-229','A13-13','PeXv', 'LB')
('AC22517-2022-11-02-226','A13-10','LjXzmOKfpZ', 'UB')
('AC04652-2022-11-02-241','A14-7','vriE', 'LB')
('SL04652-2022-11-01-247','S11-7','uIiRPcHzaJxMSi', 'SL')
('AC22517-2022-11-02-227','A13-11','UKgmcSEiWzu', 'SL')
('SL22517-2022-11-01-246','S11-6','FeOpoHWJuwC', 'UB')
('AC22517-2022-11-01-233','A13-17','ksQEVCDmQqoiw', 'SL')
('AC22517-2022-11-01-234','A13-18','m', 'SU')
('AC04652-2022-11-02-245','A14-11','kvGOBCmVUXn', 'SL')
('AC12058-2022-11-01-242','A14-8','JREGwmZj', 'LB')
('SL12058-2022-11-01-238','S10-22','kUR', 'UB')
('AC04652-2022-11-01-261','A15-9','wGKlpylLRuQm', 'UB')
('AC12058-2022-11-01-246','A14-12','IShB', 'SU')
('SL04652-2022-11-01-255','S11-15','YB', 'SL')
('SL22517-2022-11-01-249','S11-9','oQYYqB', 'LB')
('SL04652-2022-11-02-248','S11-8','FUDhIGJGuohbcImB', 'SU')
('AC22517-2022-11-02-233','A13-17','jlHqlXWXe', 'SL')
('AC04652-2022-11-02-321','A18-15','DLIzOqQxhvy', 'UB')
('SL22517-2022-11-02-290','S13-2','qLIXtzVatXC', 'MB')
('AC22517-2022-11-01-301','A17-13','NCzaaE', 'LB')
('SL04652-2022-11-01-336','S14-24','PaTiXIsdmZ', 'SU')
('SL04652-2022-11-01-337','S15-1','FGnIdALZNcl', 'LB')
('SL12058-2022-11-01-307','S13-19','adSXTgumlAjeSk', 'UB')
('SL04652-2022-11-01-339','S15-3','HDqM', 'UB')
('AC22517-2022-11-01-303','A17-15','zrrrN', 'UB')
('AC12058-2022-11-01-321','A18-15','kdiNHHOzHqBgnqo', 'UB')
('SL22517-2022-11-02-294','S13-6','JskmDGgKzmbJzZmq', 'UB')
('AC04652-2022-11-02-327','A19-3','GUHxP', 'UB')
('AC04652-2022-11-02-328','A19-4','GYHdoxDLVk', 'UB')
('SL22517-2022-11-01-322','S14-10','YnwBuYxvIRtCPs', 'MB')
('AC04652-2022-11-02-330','A19-6','LWxvhKxcfQrQ', 'SU')
('SL22517-2022-11-01-324','S14-12','zzw', 'LB')
('AC22517-2022-11-02-312','A18-6','qgKD', 'SU')
('AC04652-2022-11-02-331','A19-7','xooNZXMdgpGacbbP', 'LB')
('SL04652-2022-11-01-343','S15-7','mWAMxNxulCBEYGFV', 'SL')
('AC12058-2022-11-01-324','A18-18','acRaiT', 'SU')
('AC04652-2022-11-02-332','A19-8','DhPzmYmdkoEJbse', 'LB')
('SL12058-2022-11-01-314','S14-2','Y', 'MB')
('SL12058-2022-11-01-315','S14-3','SyE', 'UB')
('SL22517-2022-11-02-299','S13-11','OVMAb', 'UB')
('AC12058-2022-11-01-325','A19-1','tp', 'LB')
('AC04652-2022-11-01-344','A20-2','wXyTmBrVbgGgHjc', 'LB')
('AC04652-2022-11-02-335','A19-11','CHGKC', 'SL')
('AC12058-2022-11-01-328','A19-4','WQicYLFAOTINUUSK', 'UB')
('AC04652-2022-11-02-338','A19-14','lJVZ', 'LB')
('AC04652-2022-11-01-346','A20-4','vRpbdBvR', 'UB')
('SL22517-2022-11-01-328','S14-16','IEITTObmcInYF', 'SU')
('AC22517-2022-11-02-313','A18-7','POOnKRPgdQDH', 'LB')
('AC04652-2022-11-01-347','A20-5','QrLTzVQjUGe', 'SL')
('AC12058-2022-11-01-335','A19-11','JzlhXD', 'SL')
('SL12058-2022-11-01-321','S14-9','MxbSQuZOzJlsME', 'LB')
('AC12058-2022-11-01-336','A19-12','zFWWsxHWEa', 'SU')
('AC22517-2022-11-01-311','A18-5','gqMGzuQXeqNZxUd', 'SL')
('SL04652-2022-11-01-348','S15-12','GBdMXMkJPrL', 'LB')
('SL22517-2022-11-02-304','S13-16','mAb', 'SU')
('AC22517-2022-11-02-315','A18-9','cxRY', 'UB')
('SL04652-2022-11-01-351','S15-15','UTyTNB', 'SL')
('AC22517-2022-11-02-316','A18-10','ecCkSCxbyK', 'UB')
('AC22517-2022-11-01-313','A18-7','MbsyaRIsAiAS', 'LB')
('SL22517-2022-11-01-334','S14-22','JBjcePikSHKRGCXS', 'UB')
('AC12058-2022-11-01-337','A19-13','TeW', 'LB')
('SL12058-2022-11-01-328','S14-16','MoMofKGlLIudHY', 'SU')
('AC04652-2022-11-02-343','A20-1','vmBMBpIgHIDhmT', 'LB')
('AC22517-2022-11-01-314','A18-8','yrtSAVm', 'LB')
('SL04652-2022-11-02-322','S14-10','wkRqL', 'MB')
('SL04652-2022-11-02-323','S14-11','TSeUr', 'UB')
('SL22517-2022-11-01-338','S15-2','jNUwNo', 'MB')
('AC04652-2022-11-02-346','A20-4','owNHBLIMxztGvQn', 'UB')
('AC04652-2022-11-02-347','A20-5','AGSfhPNq', 'SL')
('SL22517-2022-11-01-339','S15-3','QCtJnbJ', 'UB')
('AC22517-2022-11-02-324','A18-18','wNMxEsFvx', 'SU')
('AC12058-2022-11-01-339','A19-15','vtciclyc', 'UB')
('SL22517-2022-11-02-308','S13-20','aIgvUTOCLrQFH', 'LB')
('SL04652-2022-11-02-327','S14-15','ZKNmU', 'SL')
('AC22517-2022-11-01-319','A18-13','qCQgRQElUPHvD', 'LB')
('AC04652-2022-11-01-355','A20-13','iK', 'LB')
('SL12058-2022-11-01-333','S14-21','EBGVGnCznEi', 'MB')
('SL12058-2022-11-01-334','S14-22','HfWRDfbkoHeTiT', 'UB')
('AC22517-2022-11-01-323','A18-17','WtrrjUHQNazrBb', 'SL')
('AC04652-2022-11-01-356','A20-14','opvUl', 'LB')
('AC12058-2022-11-01-341','A19-17','H', 'SL')
('AC22517-2022-11-01-324','A18-18','OtXMMlkhWCqG', 'SU')
('AC22517-2022-11-01-325','A19-1','pTKoZdLFAhHSTfxt', 'LB')
('SL22517-2022-11-01-347','S15-11','PUBTrlLCKKr', 'UB')
('AC04652-2022-11-01-358','A20-16','pvhlP', 'UB')
('AC04652-2022-11-02-353','A20-11','smkHZCwCut', 'SL')
('AC22517-2022-11-02-328','A19-4','rTSZdyoKHXTAPeGF', 'UB')
('SL12058-2022-11-01-338','S15-2','qQQjadzXsl', 'MB')
('AC22517-2022-11-02-329','A19-5','lhfgE', 'SL')
('AC22517-2022-11-02-330','A19-6','AvnCSZvSFEXMDV', 'SU')
('SL12058-2022-11-01-341','S15-5','EtfrNkKAjjhSUbE', 'MB')
('SL22517-2022-11-01-350','S15-14','uXfcHMcRGkDRDYR', 'UB')
('SL12058-2022-11-01-342','S15-6','C', 'UB')
('SL22517-2022-11-01-352','S15-16','eEH', 'SU')
('SL04652-2022-11-02-336','S14-24','gvIImmHEHmQOdc', 'SU')
('SL22517-2022-11-01-353','S15-17','yOlwbDXfs', 'LB')
('SL12058-2022-11-01-345','S15-9','sFkRoRYhu', 'LB')
('SL22517-2022-11-02-317','S14-5','BNY', 'MB')
