('AC22517-2022-11-02-3902','A217-14','hwELuFRnWxIzuk', 'LB')
('SL04652-2022-11-01-3926','S164-14','qVJZhofu', 'UB')
('SL22517-2022-11-02-3935','S164-23','luSyHuwNp', 'SL')
('AC04652-2022-11-02-3913','A218-7','DbJjoPPtJHiXVEPx', 'LB')
('AC12058-2022-11-01-3869','A215-17','lEJcoPqfCbFGqqS', 'SL')
('AC12058-2022-11-01-3870','A215-18','MAsssdqTmfV', 'SU')
('SL04652-2022-11-02-3750','S157-6','mY', 'UB')
('SL12058-2022-11-01-3869','S162-5','iAtZm', 'MB')
('AC04652-2022-11-02-3916','A218-10','OYmvN', 'UB')
('AC22517-2022-11-01-3858','A215-6','LiYaRPQ', 'SU')
('SL22517-2022-11-01-3826','S160-10','AxZEGWzHf', 'MB')
('SL04652-2022-11-01-3930','S164-18','pwEUDDwVfPtc', 'MB')
('AC22517-2022-11-01-3862','A215-10','kTgROEKMpqdPJfOs', 'UB')
('SL04652-2022-11-01-3932','S164-20','hFbpTFMuTz', 'LB')
('SL04652-2022-11-02-3755','S157-11','HYQtWUim', 'UB')
('SL12058-2022-11-01-3872','S162-8','XCTazb', 'SU')
('SL22517-2022-11-01-3828','S160-12','RVDhhyNCB', 'LB')
('AC04652-2022-11-01-3847','A214-13','xPoEwDeKuXo', 'LB')
('SL22517-2022-11-01-3829','S160-13','LwzdzRL', 'MB')
('AC12058-2022-11-01-3876','A216-6','TmwMjiLycrm', 'SU')
('AC22517-2022-11-02-3912','A218-6','sWNldwYpVWuZIJwV', 'SU')
('SL04652-2022-11-01-3936','S164-24','Qpmxt', 'SU')
('SL22517-2022-11-02-3950','S165-14','nPSTO', 'UB')
('SL04652-2022-11-02-3757','S157-13','uiYTccGZ', 'MB')
('AC22517-2022-11-02-3916','A218-10','MrxxYnBlPOhb', 'UB')
('AC22517-2022-11-02-3917','A218-11','jQwaNiRpkd', 'SL')
('AC22517-2022-11-01-3868','A215-16','Jzla', 'UB')
('SL12058-2022-11-01-3874','S162-10','BO', 'MB')
('AC04652-2022-11-02-3923','A218-17','mTdAWhnJc', 'SL')
('AC22517-2022-11-01-3869','A215-17','hDkrLhuBmkaQqAE', 'SL')
