('AC22517-2022-11-01-390','A22-12','mKnVzhaEMqsDar', 'SU')
('SL22517-2022-11-02-369','S16-9','fHKTjgWxaZLy', 'LB')
('AC12058-2022-11-01-387','A22-9','aUHlJJOxmpDMm', 'UB')
('SL22517-2022-11-02-370','S16-10','rwYWOJWFEkHWlPEd', 'MB')
('SL22517-2022-11-02-371','S16-11','UuERkVFc', 'UB')
('SL04652-2022-11-02-403','S17-19','dPhCjQUuxTrSmd', 'UB')
('AC12058-2022-11-01-388','A22-10','IkCb', 'UB')
('SL12058-2022-11-01-394','S17-10','jjTkwehYFghxa', 'MB')
('AC22517-2022-11-01-399','A23-3','sQtWPfZzPpbqcmyf', 'UB')
('AC12058-2022-11-01-397','A23-1','mVMnXHJuL', 'LB')
('SL12058-2022-11-01-398','S17-14','t', 'UB')
('SL22517-2022-11-02-384','S16-24','eZpgGS', 'SU')
('SL12058-2022-11-01-399','S17-15','ee', 'SL')
('SL22517-2022-11-01-408','S17-24','cBvZonjcefoMata', 'SU')
('SL22517-2022-11-01-409','S18-1','slFiqHQrRQ', 'LB')
('AC04652-2022-11-01-433','A25-1','cZdZXXMAfoYCW', 'LB')
('AC12058-2022-11-01-401','A23-5','jQStMksfxQygLbu', 'SL')
('SL22517-2022-11-02-386','S17-2','tPDXBXPJnFzbUR', 'MB')
('SL22517-2022-11-02-387','S17-3','fuWhO', 'UB')
('AC04652-2022-11-02-542','A31-2','NjiZWiVmYWrVCd', 'LB')
('AC12058-2022-11-01-501','A28-15','cFswmyZiefLuX', 'UB')
('AC04652-2022-11-02-543','A31-3','RVhLGvl', 'UB')
('SL04652-2022-11-02-527','S22-23','kaN', 'SL')
('AC12058-2022-11-01-504','A28-18','kGJeOKHn', 'SU')
('SL04652-2022-11-01-533','S23-5','m', 'MB')
('AC04652-2022-11-01-543','A31-3','zxMTcb', 'UB')
('AC04652-2022-11-02-545','A31-5','jgZbnhcptz', 'SL')
('AC12058-2022-11-01-505','A29-1','ba', 'LB')
('AC22517-2022-11-01-505','A29-1','VycQe', 'LB')
('AC04652-2022-11-02-549','A31-9','gj', 'UB')
('AC04652-2022-11-02-550','A31-10','vqTrLYah', 'UB')
('SL22517-2022-11-02-503','S21-23','aQrkY', 'SL')
('SL04652-2022-11-02-531','S23-3','GRNlkrxQkmaCVzDf', 'UB')
('SL12058-2022-11-01-511','S22-7','wTxA', 'SL')
('AC22517-2022-11-02-537','A30-15','tjP', 'UB')
('SL04652-2022-11-01-539','S23-11','muoayMpUBQDl', 'UB')
('AC22517-2022-11-02-540','A30-18','XpaWwFld', 'SU')
('AC12058-2022-11-01-507','A29-3','MZGxvWkzYBMOBipP', 'UB')
('SL12058-2022-11-01-513','S22-9','vxKWkO', 'LB')
('SL12058-2022-11-01-514','S22-10','iexxtRtqRpxOFTV', 'MB')
('SL22517-2022-11-02-510','S22-6','i', 'UB')
('SL04652-2022-11-01-540','S23-12','iFsIO', 'LB')
('SL22517-2022-11-02-511','S22-7','kZXxMxqj', 'SL')
('SL04652-2022-11-01-544','S23-16','KYBJ', 'SU')
('AC22517-2022-11-01-515','A29-11','IqBkjgwWLM', 'SL')
('SL04652-2022-11-01-546','S23-18','aTebOeukSILe', 'MB')
('AC22517-2022-11-02-542','A31-2','gBVfqyK', 'LB')
('AC22517-2022-11-02-543','A31-3','pyzHc', 'UB')
('SL22517-2022-11-01-541','S23-13','ilUcHqXyR', 'MB')
('SL04652-2022-11-02-538','S23-10','xLlthuVJkzp', 'MB')
('SL04652-2022-11-01-549','S23-21','mjraqfXdZUYLGS', 'MB')
('SL12058-2022-11-01-521','S22-17','ktQEwvKJY', 'LB')
