('SL04652-2022-11-02-11','S1-11','Cfih', 'UB')
('SL22517-2022-11-02-22','S1-22','hrdWswgVDj', 'UB')
('AC04652-2022-11-01-25','A2-7','t', 'LB')
('SL22517-2022-11-02-31','S2-7','rlV', 'SL')
('AC04652-2022-11-02-35','A2-17','gvllr', 'SL')
('SL04652-2022-11-01-31','S2-7','AAwC', 'SL')
('AC04652-2022-11-01-33','A2-15','oehMr', 'UB')
('SL22517-2022-11-01-69','S3-21','FYoBDR', 'MB')
('AC04652-2022-11-01-65','A4-11','nxOmKttUkFMW', 'SL')
('AC04652-2022-11-02-64','A4-10','SkSkwdjZXtABj', 'UB')
('SL12058-2022-11-01-98','S5-2','kGvwsjhgWnc', 'MB')
('SL12058-2022-11-01-99','S5-3','wrBuCTDnfxiVXxg', 'UB')
('AC22517-2022-11-01-103','A6-13','eqGnGzbkTH', 'LB')
('SL12058-2022-11-01-101','S5-5','obMLIGVoaAmikSw', 'MB')
('SL12058-2022-11-01-103','S5-7','tJKikFTLxQGPbjRQ', 'SL')
('AC12058-2022-11-01-98','A6-8','lKpDMrMn', 'LB')
('AC04652-2022-11-02-98','A6-8','TdOhXjIkyhc', 'LB')
('SL04652-2022-11-01-95','S4-23','kpfgI', 'SL')
('SL22517-2022-11-01-129','S6-9','ZF', 'LB')
('AC04652-2022-11-01-126','A7-18','dRmMVVFQUQmjM', 'SU')
('SL22517-2022-11-02-127','S6-7','oAnrWgByBBMi', 'SL')
('AC12058-2022-11-01-143','A8-17','kOQVMD', 'SL')
('SL22517-2022-11-01-146','S7-2','cgqEIQyQZe', 'MB')
('AC04652-2022-11-02-134','A8-8','mZrBMDGAGoa', 'LB')
('SL22517-2022-11-02-138','S6-18','GvM', 'MB')
('AC22517-2022-11-01-141','A8-15','gHePzJXXOcNRpeoX', 'UB')
('SL04652-2022-11-02-123','S6-3','RQrXvsQ', 'UB')
('SL04652-2022-11-02-124','S6-4','LQAUdXuDefFSWL', 'LB')
('SL04652-2022-11-02-135','S6-15','YOnUi', 'SL')
('SL04652-2022-11-02-136','S6-16','GKFIi', 'SU')
('AC22517-2022-11-02-172','A10-10','bCYVbrz', 'UB')
('AC12058-2022-11-01-188','A11-8','xf', 'LB')
('SL04652-2022-11-02-155','S7-11','OWINBPJxpSav', 'UB')
('SL12058-2022-11-01-183','S8-15','YWdcecrmUbxNzock', 'SL')
('AC04652-2022-11-01-179','A10-17','AmNZNXfXFa', 'SL')
('AC04652-2022-11-01-180','A10-18','zVPbAfu', 'SU')
('AC04652-2022-11-02-165','A10-3','jWZfhtdEmHqddW', 'UB')
('SL12058-2022-11-01-185','S8-17','COZAcH', 'LB')
('SL12058-2022-11-01-186','S8-18','dIjHgtRH', 'MB')
('SL04652-2022-11-01-184','S8-16','atmDio', 'SU')
('SL04652-2022-11-02-159','S7-15','RqUviJYuTpoj', 'SL')
('AC04652-2022-11-02-236','A14-2','yWJ', 'LB')
('SL12058-2022-11-01-248','S11-8','mMxMBCugTCtJTMQ', 'SU')
('SL12058-2022-11-01-249','S11-9','PlaVzAKFFOlTdJK', 'LB')
('SL12058-2022-11-01-250','S11-10','iOTzB', 'MB')
('AC04652-2022-11-02-241','A14-7','WpTQJI', 'LB')
('SL04652-2022-11-02-224','S10-8','nHeqFH', 'SU')
('SL22517-2022-11-02-248','S11-8','oodxsmWCCuEkPBr', 'SU')
('AC04652-2022-11-01-269','A15-17','o', 'SL')
('AC22517-2022-11-02-276','A16-6','SuZRJOV', 'SU')
('SL04652-2022-11-01-248','S11-8','QReV', 'SU')
('AC12058-2022-11-01-265','A15-13','iiwr', 'LB')
('SL22517-2022-11-01-263','S11-23','WOgODMY', 'SL')
('AC04652-2022-11-02-246','A14-12','jEorDFiTHIdmEh', 'SU')
('SL22517-2022-11-02-254','S11-14','IuMEYIo', 'UB')
('SL04652-2022-11-02-227','S10-11','b', 'UB')
('SL22517-2022-11-02-255','S11-15','nPC', 'SL')
('SL04652-2022-11-01-249','S11-9','nwUw', 'LB')
('SL12058-2022-11-01-256','S11-16','CjldOsoIWBT', 'SU')
('AC12058-2022-11-01-275','A16-5','FcSnkUhm', 'SL')
('SL12058-2022-11-01-258','S11-18','XClibbi', 'MB')
('AC22517-2022-11-01-257','A15-5','aBMXgKdPdS', 'SL')
('AC12058-2022-11-01-279','A16-9','R', 'UB')
('AC04652-2022-11-01-283','A16-13','GdnAGHOJuh', 'LB')
('AC12058-2022-11-01-281','A16-11','HQiW', 'SL')
('SL12058-2022-11-01-261','S11-21','Zswai', 'MB')
('SL04652-2022-11-01-255','S11-15','XHhgLZNXoBhvL', 'SL')
('SL22517-2022-11-02-264','S11-24','j', 'SU')
('AC04652-2022-11-02-258','A15-6','GcEIyvjPGI', 'SU')
('SL22517-2022-11-02-267','S12-3','axnpFqxgYHLDUpnN', 'UB')
('AC22517-2022-11-01-260','A15-8','LqJToNlQVl', 'LB')
('AC04652-2022-11-02-262','A15-10','pNvNc', 'UB')
('AC22517-2022-11-01-263','A15-11','WdikqSrNJtX', 'SL')
('AC22517-2022-11-02-295','A17-7','gER', 'LB')
('AC04652-2022-11-02-265','A15-13','UNAd', 'LB')
('SL12058-2022-11-01-269','S12-5','RyHFflMdjinaeG', 'MB')
('SL12058-2022-11-01-270','S12-6','gUbOIyDdK', 'UB')
('SL04652-2022-11-02-255','S11-15','xYACzhrentXHtR', 'SL')
('AC22517-2022-11-01-280','A16-10','cb', 'UB')
('SL22517-2022-11-01-294','S13-6','txqhVTmjzLOjexKA', 'UB')
('AC04652-2022-11-01-324','A18-18','okNkmz', 'SU')
('AC04652-2022-11-02-311','A18-5','sHqzfBBnAPTYvyh', 'SL')
('AC12058-2022-11-01-330','A19-6','KQwRtkdWkVzfJoN', 'SU')
('AC04652-2022-11-01-346','A20-4','fZ', 'UB')
('AC22517-2022-11-01-315','A18-9','geLrurNbKzSnyssD', 'UB')
('SL12058-2022-11-01-335','S14-23','HAAKc', 'SL')
('SL04652-2022-11-02-304','S13-16','Dz', 'SU')
('AC04652-2022-11-01-362','A21-2','pIYPoHiBgDA', 'LB')
('AC22517-2022-11-01-317','A18-11','aLLJx', 'SL')
('SL04652-2022-11-01-328','S14-16','wzsYkZIM', 'SU')
('SL12058-2022-11-01-336','S14-24','TsrRD', 'SU')
('AC22517-2022-11-02-371','A21-11','VntdcVQWpPNwEu', 'SL')
('AC22517-2022-11-02-372','A21-12','PKqOynDBpA', 'SU')
('AC04652-2022-11-02-330','A19-6','DNrRnM', 'SU')
('SL04652-2022-11-02-306','S13-18','ETvvQsQrFNLTWG', 'MB')
('SL12058-2022-11-01-341','S15-5','XNrVjwtrRpq', 'MB')
('SL12058-2022-11-01-345','S15-9','lnZTXT', 'LB')
('AC04652-2022-11-02-342','A19-18','TCvsVT', 'SU')
('SL04652-2022-11-01-340','S15-4','GtXIRDMN', 'LB')
('AC22517-2022-11-02-385','A22-7','G', 'LB')
('SL04652-2022-11-02-311','S13-23','OWMGHDY', 'SL')
('AC12058-2022-11-01-368','A21-8','FhxCFPJh', 'LB')
('AC22517-2022-11-02-388','A22-10','jMf', 'UB')
('SL22517-2022-11-02-339','S15-3','IFhPEoN', 'UB')
('SL22517-2022-11-01-354','S15-18','huGxQIuPMin', 'MB')
('SL22517-2022-11-02-343','S15-7','TysUWkmNm', 'SL')
('AC04652-2022-11-02-352','A20-10','splQcObRWwXwXQz', 'UB')
('AC04652-2022-11-02-355','A20-13','uMM', 'LB')
('SL04652-2022-11-02-320','S14-8','PNEdYATAwwm', 'SU')
('AC04652-2022-11-02-357','A20-15','QQgnNa', 'UB')
('AC04652-2022-11-01-384','A22-6','d', 'SU')
('SL22517-2022-11-02-348','S15-12','jvnKpvYXY', 'LB')
('SL12058-2022-11-01-368','S16-8','IuhMBA', 'SU')
('SL22517-2022-11-02-350','S15-14','SXjyPbGuvInd', 'UB')
('SL04652-2022-11-01-355','S15-19','Cnhjd', 'UB')
('SL12058-2022-11-01-370','S16-10','Hm', 'MB')
('AC22517-2022-11-01-345','A20-3','hXNfWZmaMOrqDR', 'UB')
('SL04652-2022-11-01-356','S15-20','TGXInwDEHB', 'LB')
('SL04652-2022-11-02-326','S14-14','XqFnKeTBYKs', 'UB')
('AC12058-2022-11-01-501','A28-15','ykgxiCNRkMwgj', 'UB')
('AC22517-2022-11-01-429','A24-15','QgQqUszan', 'UB')
('AC12058-2022-11-01-504','A28-18','kgKp', 'SU')
('SL22517-2022-11-02-470','S20-14','KJxwC', 'UB')
('AC12058-2022-11-01-512','A29-8','lkEiuahwpdBwVeg', 'LB')
('SL22517-2022-11-02-474','S20-18','oASPnsgnDCSz', 'MB')
('AC04652-2022-11-01-500','A28-14','GixU', 'LB')
('SL04652-2022-11-02-457','S20-1','c', 'LB')
('SL04652-2022-11-01-482','S21-2','iiItiNQl', 'MB')
('AC22517-2022-11-01-446','A25-14','MGEce', 'LB')
('SL12058-2022-11-01-493','S21-13','TgKGxVmjfI', 'MB')
('SL22517-2022-11-02-493','S21-13','iPvMdAOA', 'MB')
('SL22517-2022-11-01-491','S21-11','MxjwSoWzPB', 'UB')
('AC22517-2022-11-02-541','A31-1','HsKFuQwC', 'LB')
('SL22517-2022-11-01-499','S21-19','A', 'UB')
('AC22517-2022-11-02-545','A31-5','XsYOXcqxwzPH', 'SL')
('SL22517-2022-11-02-497','S21-17','KNcJmdRgpMgh', 'LB')
('AC22517-2022-11-02-576','A32-18','KDinXz', 'SU')
('SL04652-2022-11-01-516','S22-12','Vglmmu', 'LB')
('AC04652-2022-11-01-532','A30-10','lZprfGIgKbtUmnOF', 'UB')
('SL04652-2022-11-02-490','S21-10','F', 'MB')
('SL04652-2022-11-01-517','S22-13','mA', 'MB')
('SL04652-2022-11-02-491','S21-11','zVZfxdoFgYJxbMPA', 'UB')
('SL04652-2022-11-02-492','S21-12','m', 'LB')
('SL22517-2022-11-01-529','S23-1','ufKKJbD', 'LB')
('AC22517-2022-11-01-484','A27-16','CnIVDrrDfnXiyZOD', 'UB')
('SL04652-2022-11-02-496','S21-16','DiDXPyIOfzAA', 'SU')
('AC12058-2022-11-01-572','A32-14','OOTATSnldHjBUBH', 'LB')
('AC22517-2022-11-02-588','A33-12','RdmgQXAFnkiBW', 'SU')
('SL12058-2022-11-01-539','S23-11','BAdLDBQtCJBSIfIK', 'UB')
('SL22517-2022-11-02-530','S23-2','hiGlaxLBc', 'MB')
('SL22517-2022-11-02-531','S23-3','gdSyCl', 'UB')
('SL22517-2022-11-01-540','S23-12','qtcyuHEUtb', 'LB')
('AC22517-2022-11-02-699','A39-15','KONS', 'UB')
('SL22517-2022-11-01-668','S28-20','gwBOvaxQcJETxgX', 'LB')
('SL22517-2022-11-02-665','S28-17','RcCsorgAW', 'LB')
('SL12058-2022-11-01-674','S29-2','HMdE', 'MB')
('AC04652-2022-11-01-668','A38-2','bhJSGktqNDnZK', 'LB')
('AC04652-2022-11-01-669','A38-3','NBTwe', 'UB')
('SL12058-2022-11-01-678','S29-6','POUxQQOxjEhJmkDU', 'UB')
('SL04652-2022-11-01-680','S29-8','KZATrLVLIPiAXQlH', 'SU')
('AC04652-2022-11-02-678','A38-12','wcCAl', 'SU')
('SL12058-2022-11-01-681','S29-9','SWHRQvFBNayB', 'LB')
('AC04652-2022-11-01-675','A38-9','Tt', 'UB')
('AC22517-2022-11-02-713','A40-11','COMAfdFFFKFvIj', 'SL')
('AC04652-2022-11-01-678','A38-12','NeVqJMOnzIvWDHwt', 'SU')
('SL22517-2022-11-01-689','S29-17','AdgHGzez', 'LB')
('SL04652-2022-11-02-644','S27-20','CVDpGkVty', 'LB')
('SL04652-2022-11-01-686','S29-14','YxKTXVoYWwTxgsaT', 'UB')
('AC12058-2022-11-01-692','A39-8','DWapg', 'LB')
('SL04652-2022-11-01-687','S29-15','juUl', 'SL')
('SL04652-2022-11-01-688','S29-16','kFpsmRZuppVXNN', 'SU')
('AC22517-2022-11-01-645','A36-15','rTnkEwBGVBh', 'UB')
('AC22517-2022-11-02-727','A41-7','ZosmHmGfeVbvew', 'LB')
('AC04652-2022-11-02-693','A39-9','EIhKIfsZRQFngY', 'UB')
('SL22517-2022-11-01-717','S30-21','OsblXAhikAZb', 'MB')
('AC12058-2022-11-01-709','A40-7','DjwzbnHjbK', 'LB')
('SL22517-2022-11-02-697','S30-1','wjkLTOoQfQhJAwO', 'LB')
('AC04652-2022-11-02-701','A39-17','DwnXnWnZM', 'SL')
('AC22517-2022-11-01-663','A37-15','EYOIfs', 'UB')
('SL22517-2022-11-01-720','S30-24','iSl', 'SU')
('AC04652-2022-11-01-705','A40-3','OXxnjQXvWqF', 'UB')
('AC12058-2022-11-01-712','A40-10','uTBdRPqjNGuyd', 'UB')
('AC22517-2022-11-02-742','A42-4','wQYlepNvvvWN', 'UB')
('AC04652-2022-11-02-703','A40-1','gFdE', 'LB')
('AC12058-2022-11-01-714','A40-12','ZpmtnxjAcrfmvpRE', 'SU')
('SL12058-2022-11-01-720','S30-24','XqguRaPTIo', 'SU')
('AC22517-2022-11-02-744','A42-6','bxZQqzB', 'SU')
('SL22517-2022-11-02-704','S30-8','igykIZLZc', 'SU')
('AC04652-2022-11-01-709','A40-7','x', 'LB')
('SL22517-2022-11-02-713','S30-17','grtAjplN', 'LB')
('SL04652-2022-11-02-684','S29-12','sOyYNPgPvGwiW', 'LB')
('AC04652-2022-11-02-710','A40-8','iKfbWduSpxKcB', 'LB')
('SL04652-2022-11-02-687','S29-15','iDPsnixZbWT', 'SL')
('AC12058-2022-11-01-718','A40-16','hlLKNNuvNEE', 'UB')
('AC22517-2022-11-01-676','A38-10','lSpMlHsTHSL', 'UB')
('SL12058-2022-11-01-734','S31-14','VDOyeodhcfbz', 'UB')
('SL12058-2022-11-01-735','S31-15','pXiyZthUDGxmRtK', 'SL')
('SL04652-2022-11-01-726','S31-6','THIlyFvxD', 'UB')
('AC04652-2022-11-02-714','A40-12','ZoOTRbYIXyB', 'SU')
('SL12058-2022-11-01-738','S31-18','U', 'MB')
('AC22517-2022-11-02-760','A43-4','FK', 'UB')
('SL12058-2022-11-01-740','S31-20','XiZwYDKJdgHMBG', 'LB')
('AC04652-2022-11-02-716','A40-14','muYKmiqQhHnc', 'LB')
('SL04652-2022-11-02-696','S29-24','a', 'SU')
('SL04652-2022-11-01-730','S31-10','LozZLUCIqqkYX', 'MB')
('AC22517-2022-11-01-686','A39-2','pvtSeKO', 'LB')
('SL22517-2022-11-02-727','S31-7','cMIIYxgg', 'SL')
('SL04652-2022-11-01-733','S31-13','ThbTCGgJhbCTCIJ', 'MB')
('AC12058-2022-11-01-740','A42-2','FNVgjnPCyS', 'LB')
('AC22517-2022-11-01-693','A39-9','ACHpZ', 'UB')
('AC22517-2022-11-02-794','A45-2','mvigyOgJhkKBpkE', 'LB')
('SL04652-2022-11-01-760','S32-16','lioamvXQ', 'SU')
('AC12058-2022-11-01-770','A43-14','mgDvlNLqhSadTvnU', 'LB')
('SL04652-2022-11-01-763','S32-19','I', 'UB')
('AC04652-2022-11-01-754','A42-16','CDUucKyPh', 'UB')
('AC04652-2022-11-02-753','A42-15','mJXhshStJsOmb', 'UB')
('SL22517-2022-11-01-773','S33-5','Ranjdejdjcevzvo', 'MB')
('SL04652-2022-11-01-766','S32-22','JmtZLdTXzUoAMdKl', 'UB')
('SL04652-2022-11-01-767','S32-23','ykwuawtVSdbHKz', 'SL')
('SL22517-2022-11-01-777','S33-9','fndiy', 'LB')
('SL12058-2022-11-01-780','S33-12','U', 'LB')
('SL22517-2022-11-02-775','S33-7','kYfxQOhoatC', 'SL')
('AC12058-2022-11-01-780','A44-6','gVawLiywVhEHqhR', 'SU')
('SL04652-2022-11-02-751','S32-7','nTGcJMiVUnvp', 'SL')
('SL22517-2022-11-01-805','S34-13','ddfUwUIiPbOUku', 'MB')
('AC04652-2022-11-01-799','A45-7','gLnvbIUOlEiDINDX', 'LB')
('AC04652-2022-11-02-788','A44-14','tIchPXzrnyPCmxEH', 'LB')
('AC04652-2022-11-01-848','A48-2','QfVDv', 'LB')
('AC22517-2022-11-02-890','A50-8','gRYmWszYoQQ', 'LB')
('AC22517-2022-11-01-842','A47-14','NJcpkbMPUJn', 'LB')
('SL12058-2022-11-01-901','S38-13','pXPLVUWZtNqnin', 'MB')
('SL22517-2022-11-02-894','S38-6','mVnFLfhngj', 'UB')
('SL22517-2022-11-01-881','S37-17','ndyJzSoDwmMjLb', 'LB')
('SL04652-2022-11-01-871','S37-7','HQCKlETQMjXmjbgP', 'SL')
('AC04652-2022-11-01-903','A51-3','H', 'UB')
('SL22517-2022-11-01-883','S37-19','BdUjXb', 'UB')
('SL22517-2022-11-01-885','S37-21','ewaPmPA', 'MB')
('SL04652-2022-11-01-874','S37-10','KiNgrGqGzLE', 'MB')
('SL22517-2022-11-01-889','S38-1','srO', 'LB')
('SL22517-2022-11-01-890','S38-2','MiEWIAfbceUN', 'MB')
('SL04652-2022-11-02-854','S36-14','BdHOnJFdlLdEgSjh', 'UB')
('AC04652-2022-11-01-918','A51-18','LfSgVt', 'SU')
('SL04652-2022-11-02-856','S36-16','fQnQU', 'SU')
('SL22517-2022-11-02-913','S39-1','NSfUKA', 'LB')
('SL12058-2022-11-01-922','S39-10','adpPxcttuNbf', 'MB')
('AC04652-2022-11-02-884','A50-2','r', 'LB')
('AC22517-2022-11-02-942','A53-6','pYrBi', 'SU')
('SL22517-2022-11-02-916','S39-4','LLWkq', 'LB')
('SL22517-2022-11-02-917','S39-5','IKz', 'MB')
('SL22517-2022-11-01-900','S38-12','WEopAE', 'LB')
('AC22517-2022-11-02-946','A53-10','iMYuAaVbwxJt', 'UB')
('AC04652-2022-11-02-889','A50-7','znTXkjMSGu', 'LB')
('SL22517-2022-11-01-904','S38-16','BTAtNSHhXfTfQV', 'SU')
('AC04652-2022-11-02-891','A50-9','tEFPphC', 'UB')
('SL12058-2022-11-01-929','S39-17','rsObUZKFfUzi', 'LB')
('AC12058-2022-11-01-909','A51-9','bJrYIsxfL', 'UB')
('SL22517-2022-11-01-908','S38-20','ewEP', 'LB')
('AC22517-2022-11-02-954','A53-18','QNHn', 'SU')
('SL04652-2022-11-02-870','S37-6','SsjqgApeoL', 'UB')
('AC04652-2022-11-01-928','A52-10','BIeZdMSuEvmkKI', 'UB')
('AC22517-2022-11-01-871','A49-7','SgbkMcpuydjaw', 'LB')
('SL04652-2022-11-02-875','S37-11','xNkGjOM', 'UB')
('SL12058-2022-11-01-941','S40-5','PCv', 'MB')
('AC22517-2022-11-01-877','A49-13','JNTksvCWqmAlcW', 'LB')
('SL22517-2022-11-02-991','S42-7','kETOzZXdVJWoyLUi', 'SL')
('SL04652-2022-11-01-963','S41-3','j', 'UB')
('AC22517-2022-11-01-975','A55-3','PlwwxGw', 'UB')
('AC04652-2022-11-02-986','A55-14','uvezm', 'LB')
('AC22517-2022-11-01-977','A55-5','gJ', 'SL')
('SL22517-2022-11-02-1037','S44-5','yJgPih', 'MB')
('AC04652-2022-11-01-1016','A57-8','sxAgXBe', 'LB')
('SL22517-2022-11-01-1008','S42-24','rKAaeTLsEFE', 'SU')
('SL04652-2022-11-01-995','S42-11','UuJVRxkAvI', 'UB')
('AC04652-2022-11-01-1020','A57-12','EZRupLCK', 'SU')
('SL04652-2022-11-02-952','S40-16','zxLrhpNdtBumqmF', 'SU')
('SL22517-2022-11-01-1029','S43-21','IVjBoPHLq', 'MB')
('SL22517-2022-11-02-1108','S47-4','nazZnjEN', 'LB')
('SL04652-2022-11-01-1064','S45-8','rgKmhcTosb', 'SU')
('SL22517-2022-11-02-1140','S48-12','vsgKBpKuMhnmri', 'LB')
('SL22517-2022-11-02-1141','S48-13','lmFtiplpQVR', 'MB')
('SL04652-2022-11-01-1139','S48-11','GchXxPOAPIGMlyr', 'UB')
('SL12058-2022-11-01-1122','S47-18','NtSxTQGwicrR', 'MB')
('SL22517-2022-11-01-1141','S48-13','VJMYgcV', 'MB')
('AC04652-2022-11-02-1117','A63-1','IshtQXWBRN', 'LB')
