('AC04652-2022-11-02-25','A2-7','LhDI', 'LB')
('AC22517-2022-11-01-17','A1-17','bY', 'SL')
('SL12058-2022-11-01-26','S2-2','MVpqOnJDo', 'MB')
('AC04652-2022-11-01-28','A2-10','sWrBYpUUtjS', 'UB')
('AC22517-2022-11-01-26','A2-8','KFhhMNUdYi', 'LB')
('SL04652-2022-11-02-32','S2-8','m', 'SU')
('AC22517-2022-11-02-32','A2-14','D', 'LB')
('SL12058-2022-11-01-77','S4-5','bRXtVVzzab', 'MB')
('AC04652-2022-11-02-83','A5-11','Wl', 'SL')
('AC22517-2022-11-01-91','A6-1','coNkeooNCjqWw', 'LB')
('SL12058-2022-11-01-81','S4-9','PLXTCRrGm', 'LB')
('AC22517-2022-11-01-93','A6-3','prXkjq', 'UB')
('AC04652-2022-11-02-89','A5-17','hkVAGsoaVH', 'SL')
('AC12058-2022-11-01-90','A5-18','RUa', 'SU')
('AC04652-2022-11-01-86','A5-14','eRnsMAtRm', 'LB')
('SL22517-2022-11-02-85','S4-13','cWNcdwSCDTFs', 'MB')
('SL22517-2022-11-01-93','S4-21','QaSpWFHmZ', 'MB')
('SL22517-2022-11-01-95','S4-23','p', 'SL')
('SL04652-2022-11-02-93','S4-21','iaqCreIZ', 'MB')
('SL12058-2022-11-01-112','S5-16','fSxdQnLBRApc', 'SU')
('AC12058-2022-11-01-113','A7-5','CHoR', 'SL')
('SL04652-2022-11-01-107','S5-11','wbvZJmdQEEpRhAs', 'UB')
('AC04652-2022-11-01-110','A7-2','hkfd', 'LB')
('AC04652-2022-11-01-111','A7-3','tSZoayOVnD', 'UB')
('SL04652-2022-11-01-114','S5-18','P', 'MB')
('SL22517-2022-11-01-110','S5-14','euKtXnZXLJyoY', 'UB')
('SL04652-2022-11-01-120','S5-24','LiRuEymdANxi', 'SU')
('AC04652-2022-11-02-120','A7-12','ENim', 'SU')
('AC12058-2022-11-01-138','A8-12','rztGLzLwSxNl', 'SU')
('AC04652-2022-11-01-127','A8-1','qbOc', 'LB')
('SL22517-2022-11-01-133','S6-13','BzQoWF', 'MB')
