('AC04652-2022-11-02-7','A1-7','YTd', 'LB')
('SL22517-2022-11-02-26','S2-2','jdLmDgzH', 'MB')
('SL22517-2022-11-01-29','S2-5','mTcnsR', 'MB')
('AC22517-2022-11-01-20','A2-2','IYzTPbMAJepY', 'LB')
('AC22517-2022-11-01-21','A2-3','u', 'UB')
('SL12058-2022-11-01-71','S3-23','MTcMXA', 'SL')
('AC22517-2022-11-01-85','A5-13','hRbIYzJeiCFZsB', 'LB')
('AC04652-2022-11-02-79','A5-7','mAKDLy', 'LB')
('SL12058-2022-11-01-73','S4-1','kRPOQZfSEay', 'LB')
('AC04652-2022-11-02-80','A5-8','GdYOivx', 'LB')
('AC22517-2022-11-01-89','A5-17','SQnIrwx', 'SL')
('SL12058-2022-11-01-78','S4-6','pbArpNdzqglzAwST', 'UB')
('SL12058-2022-11-01-79','S4-7','jwJ', 'SL')
('AC04652-2022-11-01-83','A5-11','Qta', 'SL')
('AC04652-2022-11-02-85','A5-13','NFljfDVIXWRCgQVX', 'LB')
('SL22517-2022-11-01-87','S4-15','lQ', 'SL')
('AC12058-2022-11-01-136','A8-10','akDYLdHs', 'UB')
('AC22517-2022-11-02-139','A8-13','UK', 'LB')
('AC04652-2022-11-02-119','A7-11','aSQTarhWSNwpNT', 'SL')
('SL04652-2022-11-01-126','S6-6','dJUs', 'UB')
('AC04652-2022-11-01-130','A8-4','TrhcHmyJIceRVcpH', 'UB')
('SL22517-2022-11-02-131','S6-11','K', 'UB')
('SL22517-2022-11-01-140','S6-20','jWEnGaRZGEYjqpZ', 'LB')
('AC12058-2022-11-01-147','A9-3','wT', 'UB')
('AC22517-2022-11-02-146','A9-2','vkne', 'LB')
('AC22517-2022-11-02-147','A9-3','RHjnlIEcWNQkMPF', 'UB')
('SL04652-2022-11-01-161','S7-17','pcuhAxg', 'LB')
('SL22517-2022-11-01-166','S7-22','n', 'UB')
('SL04652-2022-11-01-162','S7-18','YvadYHoPdoK', 'MB')
('AC22517-2022-11-02-175','A10-13','RcujqZekCT', 'LB')
('SL22517-2022-11-02-237','S10-21','FJTtCirZmgwTZPsa', 'MB')
('SL12058-2022-11-01-240','S10-24','hKxstzm', 'SU')
('AC22517-2022-11-02-255','A15-3','bYV', 'UB')
('AC22517-2022-11-01-239','A14-5','MOAcnFmDrQp', 'SL')
('AC22517-2022-11-02-257','A15-5','lVwgmwrteWg', 'SL')
('SL22517-2022-11-01-249','S11-9','itLHJ', 'LB')
('SL22517-2022-11-02-242','S11-2','mzufy', 'MB')
('AC22517-2022-11-02-260','A15-8','powWOESD', 'LB')
('AC04652-2022-11-02-230','A13-14','Gvug', 'LB')
('SL12058-2022-11-01-243','S11-3','IAadUHwaIBhYp', 'UB')
('AC04652-2022-11-02-242','A14-8','syUIJQ', 'LB')
('SL12058-2022-11-01-254','S11-14','nrJQzNj', 'UB')
('AC04652-2022-11-02-244','A14-10','vNdeqLUDChC', 'UB')
('AC12058-2022-11-01-269','A15-17','HvYoiGfjIH', 'SL')
('SL22517-2022-11-01-266','S12-2','PibQAafYzsrAjM', 'MB')
('AC04652-2022-11-02-248','A14-14','icINeKDpEYG', 'LB')
('AC04652-2022-11-02-249','A14-15','fm', 'UB')
('AC22517-2022-11-01-255','A15-3','ptnaDeAygx', 'UB')
('SL22517-2022-11-02-257','S11-17','JRTnYZbDyPIAlCJ', 'LB')
('AC22517-2022-11-02-280','A16-10','VO', 'UB')
('AC04652-2022-11-01-277','A16-7','Q', 'LB')
('AC04652-2022-11-01-279','A16-9','SLTXKPaSajeOuaC', 'UB')
('SL22517-2022-11-02-259','S11-19','IMKQnyMB', 'UB')
('SL04652-2022-11-01-253','S11-13','TPPI', 'MB')
('SL04652-2022-11-02-236','S10-20','MSd', 'LB')
('SL22517-2022-11-01-271','S12-7','DJM', 'SL')
('AC04652-2022-11-01-288','A16-18','yHUPPKLqktyFT', 'SU')
('AC12058-2022-11-01-286','A16-16','syymmjfoRYbwTY', 'UB')
