('SL22517-2022-11-01-4','S1-4','nqDhZGaTO', 'LB')
('AC04652-2022-11-01-3','A1-3','pMj', 'UB')
('AC12058-2022-11-01-13','A1-13','w', 'LB')
('SL22517-2022-11-01-9','S1-9','gOfReYmCftfOUY', 'LB')
('AC22517-2022-11-01-7','A1-7','PVqbgXZA', 'LB')
('SL22517-2022-11-02-12','S1-12','LZT', 'LB')
('AC22517-2022-11-02-12','A1-12','guNPa', 'SU')
('AC22517-2022-11-02-13','A1-13','IDIYlsXyjIhpoIVJ', 'LB')
('SL22517-2022-11-01-14','S1-14','xjQQuWUO', 'UB')
('SL22517-2022-11-01-21','S1-21','LyJaDcekLrQ', 'MB')
('AC22517-2022-11-01-13','A1-13','dsRBoJHJrv', 'LB')
('SL04652-2022-11-02-20','S1-20','gPMPZsiJFMqs', 'LB')
('AC22517-2022-11-01-14','A1-14','DzGIBsibwTozWkz', 'LB')
('SL22517-2022-11-01-24','S1-24','Lqrnu', 'SU')
('SL22517-2022-11-01-25','S2-1','Kd', 'LB')
('SL22517-2022-11-02-42','S2-18','jNOx', 'MB')
('AC22517-2022-11-02-44','A3-8','nbaEPQE', 'LB')
('AC22517-2022-11-01-33','A2-15','aEhaAZXbDuVuerO', 'UB')
('AC12058-2022-11-01-45','A3-9','Iy', 'UB')
('SL04652-2022-11-01-40','S2-16','Q', 'SU')
('SL12058-2022-11-01-51','S3-3','TtjUfitQ', 'UB')
('AC22517-2022-11-02-51','A3-15','FFkNgJTTdOGESPF', 'UB')
('SL04652-2022-11-01-46','S2-22','acpRYSCuLzPkqPC', 'UB')
('SL22517-2022-11-01-57','S3-9','A', 'LB')
('SL22517-2022-11-02-53','S3-5','JYLl', 'MB')
('SL04652-2022-11-01-51','S3-3','xavKtRtzMafBYVN', 'UB')
('AC22517-2022-11-02-59','A4-5','Lvoj', 'SL')
('AC04652-2022-11-01-55','A4-1','f', 'LB')
('SL12058-2022-11-01-92','S4-20','EOW', 'LB')
('SL22517-2022-11-02-90','S4-18','pSqD', 'MB')
('AC04652-2022-11-01-89','A5-17','NAXXKHFJRvkvY', 'SL')
('SL22517-2022-11-01-127','S6-7','equjbzESGnbi', 'SL')
('AC04652-2022-11-02-125','A7-17','mXhxyDpeDgS', 'SL')
('SL04652-2022-11-01-130','S6-10','ALCossxOKWrt', 'MB')
('SL12058-2022-11-01-142','S6-22','jIhSIsMzWHOasW', 'UB')
('AC22517-2022-11-01-135','A8-9','dupTFUv', 'UB')
('AC12058-2022-11-01-148','A9-4','scwGVVYcZbNNkhQ', 'UB')
('AC12058-2022-11-01-149','A9-5','yfoHuFSFx', 'SL')
('AC04652-2022-11-02-131','A8-5','NQy', 'SL')
('SL12058-2022-11-01-146','S7-2','bmpAZFXWQYBLVx', 'MB')
('AC04652-2022-11-02-133','A8-7','qNHYeioFMeNLtR', 'LB')
('SL04652-2022-11-01-134','S6-14','x', 'UB')
('SL12058-2022-11-01-150','S7-6','bFdbliImhaoRXN', 'UB')
('AC22517-2022-11-02-152','A9-8','YvN', 'LB')
('SL22517-2022-11-02-144','S6-24','nsXyVRIsvmyhcOgb', 'SU')
('AC22517-2022-11-01-146','A9-2','Fo', 'LB')
('SL22517-2022-11-02-145','S7-1','SR', 'LB')
('AC04652-2022-11-01-141','A8-15','vIzQxYmSDkM', 'UB')
('AC22517-2022-11-01-148','A9-4','hPhTUPD', 'UB')
('AC12058-2022-11-01-157','A9-13','aQXDcmtzyKShGrc', 'LB')
('SL04652-2022-11-01-138','S6-18','yApCAHVWcrAgMv', 'MB')
('AC22517-2022-11-02-159','A9-15','EUCHwjlXJWAHN', 'UB')
('AC04652-2022-11-01-144','A8-18','uKVsJIba', 'SU')
('SL12058-2022-11-01-164','S7-20','xvUTulttMhAlV', 'LB')
('SL04652-2022-11-01-149','S7-5','nUhfcblhTgZggRw', 'MB')
('AC04652-2022-11-02-143','A8-17','wD', 'SL')
('SL22517-2022-11-01-160','S7-16','oD', 'SU')
('AC22517-2022-11-01-161','A9-17','LdbDJpiVYto', 'SL')
('SL04652-2022-11-01-183','S8-15','wgD', 'SL')
('AC22517-2022-11-01-187','A11-7','hoZbcs', 'LB')
('SL12058-2022-11-01-187','S8-19','lytj', 'UB')
('AC12058-2022-11-01-194','A11-14','zyUwsTi', 'LB')
('AC04652-2022-11-02-175','A10-13','mMxnLV', 'LB')
('AC22517-2022-11-02-204','A12-6','uM', 'SU')
('SL04652-2022-11-01-195','S9-3','oy', 'UB')
('SL22517-2022-11-01-200','S9-8','fqjQCNRfvzmmq', 'SU')
('SL22517-2022-11-02-197','S9-5','ke', 'MB')
('AC04652-2022-11-02-198','A11-18','noSXbWvqD', 'SU')
('SL04652-2022-11-02-178','S8-10','kAIiSdCDG', 'MB')
('AC04652-2022-11-01-224','A13-8','ENcnXR', 'LB')
('SL12058-2022-11-01-205','S9-13','Jy', 'MB')
('AC04652-2022-11-02-201','A12-3','IzXjh', 'UB')
('SL12058-2022-11-01-207','S9-15','YqpNbqpOVxHmhfo', 'SL')
('SL04652-2022-11-01-212','S9-20','ryKFskpFBZEKv', 'LB')
('SL04652-2022-11-01-213','S9-21','gKcCdwd', 'MB')
('SL04652-2022-11-02-185','S8-17','JhpYSj', 'LB')
('AC22517-2022-11-02-319','A18-13','j', 'LB')
('AC22517-2022-11-02-320','A18-14','CpCyczmM', 'LB')
('SL12058-2022-11-01-296','S13-8','gmumOEHgXGxWj', 'SU')
('SL12058-2022-11-01-297','S13-9','WTPgtScO', 'LB')
('SL22517-2022-11-01-300','S13-12','pmO', 'LB')
('SL04652-2022-11-01-295','S13-7','BdvvFcI', 'SL')
('SL12058-2022-11-01-302','S13-14','LnczLuwXdlbO', 'UB')
