('SL22517-2022-11-01-148','S7-4','YbTtbvI', 'LB')
('AC04652-2022-11-02-161','A9-17','BotXtuRg', 'SL')
('SL22517-2022-11-02-141','S6-21','ai', 'MB')
('AC04652-2022-11-02-164','A10-2','H', 'LB')
('SL22517-2022-11-02-144','S6-24','Ija', 'SU')
('AC22517-2022-11-02-156','A9-12','KqkSF', 'SU')
('SL04652-2022-11-02-168','S7-24','rkmjGKyLvolfEK', 'SU')
('SL04652-2022-11-02-169','S8-1','FfTrhKWQllrkbdB', 'LB')
('AC04652-2022-11-01-181','A11-1','buVl', 'LB')
('SL12058-2022-11-01-153','S7-9','oBgPmqxeELOdHe', 'LB')
('SL22517-2022-11-02-145','S7-1','bpYLtlfRE', 'LB')
('AC22517-2022-11-01-155','A9-11','mkQs', 'SL')
('SL12058-2022-11-01-155','S7-11','kYzvFcTqFFdzaCb', 'UB')
('SL12058-2022-11-01-156','S7-12','TmGagNocYuNn', 'LB')
('SL04652-2022-11-02-174','S8-6','lstNhQmwleHzbx', 'UB')
('AC04652-2022-11-02-187','A11-7','RsztQunxYQP', 'LB')
('AC12058-2022-11-01-197','A11-17','zmft', 'SL')
('AC22517-2022-11-02-174','A10-12','FKlesjAPmT', 'SU')
('SL22517-2022-11-01-183','S8-15','qbyEBTHHwv', 'SL')
('AC22517-2022-11-02-176','A10-14','ZTlfcAhD', 'LB')
('SL04652-2022-11-01-198','S9-6','WyhqxHXPgTeR', 'UB')
('SL12058-2022-11-01-185','S8-17','kWziZpfCTiEpgVE', 'LB')
('AC22517-2022-11-02-178','A10-16','Ynimw', 'UB')
('SL12058-2022-11-01-188','S8-20','YUMuNY', 'LB')
('AC04652-2022-11-02-203','A12-5','xMGjMlqaLusdHhUK', 'SL')
('SL04652-2022-11-01-206','S9-14','yEyVauhu', 'UB')
('SL12058-2022-11-01-191','S8-23','gshr', 'SL')
('SL22517-2022-11-01-194','S9-2','iQzYjmSWaeVGI', 'MB')
('SL04652-2022-11-02-207','S9-15','xCgBjNTkgbIbOS', 'SL')
('AC12058-2022-11-01-212','A12-14','Wn', 'LB')
('AC04652-2022-11-01-230','A13-14','Ca', 'LB')
('AC04652-2022-11-01-232','A13-16','MQK', 'UB')
('SL22517-2022-11-01-205','S9-13','qRejkBzyi', 'MB')
('SL22517-2022-11-01-207','S9-15','sKsWu', 'SL')
('SL22517-2022-11-01-208','S9-16','HCsOVdzFg', 'SU')
('SL22517-2022-11-02-196','S9-4','ncdbV', 'LB')
('SL04652-2022-11-02-221','S10-5','tWEduzyhnUUG', 'MB')
('AC04652-2022-11-01-234','A13-18','ZigBoMGDnBEpZd', 'SU')
('AC22517-2022-11-01-205','A12-7','j', 'LB')
('SL22517-2022-11-01-214','S9-22','Hct', 'UB')
('SL04652-2022-11-01-224','S10-8','iUUIuZu', 'SU')
('SL04652-2022-11-01-225','S10-9','ktffyQrkweHBuieu', 'LB')
('SL04652-2022-11-01-228','S10-12','NFiuEpA', 'LB')
('SL22517-2022-11-01-220','S10-4','Cz', 'LB')
('AC04652-2022-11-01-241','A14-7','LoSuDn', 'LB')
('SL12058-2022-11-01-220','S10-4','KxiGhuFAKq', 'LB')
('AC12058-2022-11-01-224','A13-8','adYwbmOesGHNOeB', 'LB')
('SL04652-2022-11-01-233','S10-17','ep', 'LB')
('SL04652-2022-11-01-234','S10-18','inagpclOb', 'MB')
('SL04652-2022-11-02-228','S10-12','PHI', 'LB')
('SL04652-2022-11-02-229','S10-13','VRPGozrsq', 'MB')
('AC12058-2022-11-01-226','A13-10','FqTQKnpZIICjlmG', 'UB')
('AC04652-2022-11-02-230','A13-14','RUzSvH', 'LB')
('AC12058-2022-11-01-228','A13-12','JweM', 'SU')
('AC04652-2022-11-02-232','A13-16','teKPZzywyrR', 'UB')
('AC22517-2022-11-02-219','A13-3','rqKuuCZZV', 'UB')
('SL12058-2022-11-01-224','S10-8','kfFP', 'SU')
('AC22517-2022-11-02-221','A13-5','ddryiBbMifoMlbC', 'SL')
('AC12058-2022-11-01-231','A13-15','mUSeDRlzGFLBGHOy', 'UB')
('SL22517-2022-11-02-210','S9-18','LEqIWCtdIqTsn', 'MB')
('SL04652-2022-11-01-243','S11-3','CvkEDaJG', 'UB')
('SL22517-2022-11-02-213','S9-21','jSLWGPvYdGoN', 'MB')
('SL22517-2022-11-02-214','S9-22','HAtK', 'UB')
('SL12058-2022-11-01-235','S10-19','FepK', 'UB')
('AC22517-2022-11-02-231','A13-15','bApuxzToxRRtM', 'UB')
('AC04652-2022-11-02-255','A15-3','zhaTYCebE', 'UB')
('AC04652-2022-11-01-268','A15-16','qiAeizrGwBFhNcB', 'UB')
('SL22517-2022-11-02-229','S10-13','mQB', 'MB')
('SL04652-2022-11-02-254','S11-14','XNlNHQ', 'UB')
('SL12058-2022-11-01-244','S11-4','S', 'LB')
('AC22517-2022-11-01-240','A14-6','fSbhg', 'SU')
('AC12058-2022-11-01-253','A15-1','AR', 'LB')
('AC04652-2022-11-01-269','A15-17','VlibgSxbNg', 'SL')
('SL22517-2022-11-01-257','S11-17','PcuqGpUcetnPWwX', 'LB')
('SL04652-2022-11-01-266','S12-2','szVaFEGyQkbeomdb', 'MB')
('AC04652-2022-11-01-271','A16-1','orSqszsgnFUTMZ', 'LB')
('SL22517-2022-11-01-259','S11-19','DWYtVOpyYfV', 'UB')
('AC04652-2022-11-01-272','A16-2','VwFYyDz', 'LB')
('AC04652-2022-11-02-268','A15-16','noEYiXvBiT', 'UB')
('AC22517-2022-11-02-245','A14-11','apHfIxFOez', 'SL')
('AC22517-2022-11-01-249','A14-15','LVRPqk', 'UB')
('SL22517-2022-11-01-264','S11-24','RNAoEueRYNjvJTMc', 'SU')
('SL04652-2022-11-01-276','S12-12','OeBJZpAaL', 'LB')
('AC04652-2022-11-01-276','A16-6','btsUHSFtzAciUkbr', 'SU')
('SL04652-2022-11-01-277','S12-13','aaJ', 'MB')
('AC22517-2022-11-02-249','A14-15','lXLCBOHzLT', 'UB')
('SL22517-2022-11-01-269','S12-5','viHcKR', 'MB')
('SL22517-2022-11-01-271','S12-7','OfTmcE', 'SL')
('AC04652-2022-11-01-277','A16-7','mA', 'LB')
('AC12058-2022-11-01-267','A15-15','fvJDLYB', 'UB')
('AC04652-2022-11-02-280','A16-10','jKAjxIiT', 'UB')
('SL22517-2022-11-02-249','S11-9','EubOYbJIll', 'LB')
('AC12058-2022-11-01-270','A15-18','OmpuEsTrrLwSSL', 'SU')
('AC22517-2022-11-01-262','A15-10','v', 'UB')
('SL12058-2022-11-01-261','S11-21','RiZ', 'MB')
('SL04652-2022-11-01-284','S12-20','FBtRT', 'LB')
('AC22517-2022-11-02-258','A15-6','uLgdcewQ', 'SU')
('AC12058-2022-11-01-271','A16-1','UguX', 'LB')
('AC04652-2022-11-01-281','A16-11','fkcU', 'SL')
('SL04652-2022-11-01-287','S12-23','VcFJmVF', 'SL')
('SL22517-2022-11-02-251','S11-11','NubbtcmjKHehOrl', 'UB')
('SL04652-2022-11-02-274','S12-10','jszKxhA', 'MB')
('AC12058-2022-11-01-273','A16-3','PVIpxEJEQXww', 'UB')
('SL04652-2022-11-01-288','S12-24','ikbzhJF', 'SU')
('SL04652-2022-11-02-275','S12-11','yqLWOWBZk', 'UB')
('AC22517-2022-11-01-271','A16-1','ZuiFK', 'LB')
('AC22517-2022-11-01-272','A16-2','FmLyBJOEqXjOXOQB', 'LB')
('SL22517-2022-11-02-255','S11-15','qTLflnTzdCMP', 'SL')
('SL22517-2022-11-01-280','S12-16','gIdyQgobZPMq', 'SU')
('SL04652-2022-11-02-276','S12-12','lpzfHprwEI', 'LB')
('AC04652-2022-11-01-289','A17-1','PANCyTVrp', 'LB')
('SL22517-2022-11-01-282','S12-18','MyfFAUDZbv', 'MB')
('SL22517-2022-11-01-283','S12-19','CrBMqexH', 'UB')
('AC22517-2022-11-01-277','A16-7','iEyKMLCgdyccmNo', 'LB')
('AC22517-2022-11-02-267','A15-15','QQZzAcAhZhgJm', 'UB')
('SL22517-2022-11-02-262','S11-22','g', 'UB')
('SL04652-2022-11-02-280','S12-16','tCDsg', 'SU')
('AC12058-2022-11-01-362','A21-2','kWgAxS', 'LB')
('SL12058-2022-11-01-360','S15-24','jokzN', 'SU')
('AC22517-2022-11-02-358','A20-16','XUUfLsGDlGKo', 'UB')
('AC04652-2022-11-01-383','A22-5','YPcWbgK', 'SL')
('AC22517-2022-11-02-361','A21-1','lBVdgYiMdTaqYeL', 'LB')
('AC04652-2022-11-01-385','A22-7','NpokIGJUOVOoJ', 'LB')
('SL04652-2022-11-01-378','S16-18','WxYBz', 'MB')
('SL04652-2022-11-01-379','S16-19','aQG', 'UB')
('SL04652-2022-11-02-370','S16-10','R', 'MB')
('AC04652-2022-11-01-393','A22-15','vwLsFYWOSdVtIC', 'UB')
('AC22517-2022-11-02-370','A21-10','Ne', 'UB')
('SL22517-2022-11-02-350','S15-14','lWdWJvygU', 'UB')
('AC12058-2022-11-01-370','A21-10','fiLKyPMEZreVe', 'UB')
('SL22517-2022-11-02-352','S15-16','sKDqXNuBOyM', 'SU')
('SL04652-2022-11-02-378','S16-18','mes', 'MB')
('SL04652-2022-11-01-390','S17-6','JXK', 'UB')
('AC04652-2022-11-02-393','A22-15','c', 'UB')
('AC12058-2022-11-01-372','A21-12','awFUjBCnJcOh', 'SU')
('SL12058-2022-11-01-376','S16-16','otjGFKLcg', 'SU')
('AC22517-2022-11-02-378','A21-18','I', 'SU')
('AC04652-2022-11-01-401','A23-5','JpFydWTsIlXpcN', 'SL')
('SL04652-2022-11-02-382','S16-22','klGEHjmh', 'UB')
('AC22517-2022-11-01-445','A25-13','o', 'LB')
('AC04652-2022-11-01-474','A27-6','wNcnUZ', 'SU')
('AC04652-2022-11-02-480','A27-12','RtnF', 'SU')
('SL04652-2022-11-02-461','S20-5','AWcpukcWKVCaKesE', 'MB')
('SL04652-2022-11-02-462','S20-6','ocFkZeI', 'UB')
('SL22517-2022-11-02-443','S19-11','dXxSOMuk', 'UB')
('AC04652-2022-11-01-477','A27-9','vr', 'UB')
('SL22517-2022-11-02-444','S19-12','oHfXlprPrlouID', 'LB')
('SL04652-2022-11-02-465','S20-9','xIAwKtLEXqi', 'LB')
('AC22517-2022-11-02-462','A26-12','oVvPorjdd', 'SU')
('SL22517-2022-11-01-459','S20-3','V', 'UB')
('AC04652-2022-11-01-480','A27-12','kMbkYGnsueOPIklZ', 'SU')
('SL04652-2022-11-02-467','S20-11','eAN', 'UB')
('SL22517-2022-11-01-462','S20-6','MSSspdbcXzqnYxV', 'UB')
('AC12058-2022-11-01-444','A25-12','jc', 'SU')
('AC04652-2022-11-02-489','A28-3','eIYfQoAqcrkTz', 'UB')
('SL04652-2022-11-01-485','S21-5','LTVPXWUIfyzGqJeU', 'MB')
('AC12058-2022-11-01-446','A25-14','ATArEfLsQ', 'LB')
('SL22517-2022-11-02-447','S19-15','qBNBCrYP', 'SL')
('AC04652-2022-11-02-490','A28-4','fvHwAjXKdcIYTDTU', 'UB')
('AC22517-2022-11-02-468','A26-18','rUVKSHNOJ', 'SU')
('AC04652-2022-11-01-485','A27-17','XkqDLtFYmo', 'SL')
('SL04652-2022-11-01-488','S21-8','miTD', 'SU')
('AC22517-2022-11-01-450','A25-18','zbQXWEXtXyZdZn', 'SU')
('SL22517-2022-11-01-465','S20-9','Imm', 'LB')
('SL22517-2022-11-01-466','S20-10','CWkxjfm', 'MB')
('SL22517-2022-11-02-449','S19-17','xnUOWX', 'LB')
('SL04652-2022-11-02-477','S20-21','qDOmfbGLATOBLbf', 'MB')
('AC04652-2022-11-01-489','A28-3','cjivbCdCpgMjddSk', 'UB')
('SL12058-2022-11-01-444','S19-12','LtwsberroZKeZfyc', 'LB')
('SL22517-2022-11-01-471','S20-15','JwmaTrC', 'SL')
('SL04652-2022-11-02-479','S20-23','AUqYRt', 'SL')
('AC04652-2022-11-01-491','A28-5','HtsNTuVXEtofbZZ', 'SL')
('AC22517-2022-11-02-473','A27-5','ULbHXYXuIuKWM', 'SL')
('AC04652-2022-11-02-494','A28-8','boyJwkf', 'LB')
('AC04652-2022-11-01-492','A28-6','TXxFPjhEc', 'SU')
('AC22517-2022-11-01-456','A26-6','rjqZKQxG', 'SU')
('SL04652-2022-11-02-481','S21-1','UOaGYSfvbZDkpOC', 'LB')
('AC04652-2022-11-02-495','A28-9','Eaa', 'UB')
('AC04652-2022-11-02-496','A28-10','E', 'UB')
('SL22517-2022-11-01-476','S20-20','bFypkkYTzVNB', 'LB')
('AC04652-2022-11-02-498','A28-12','cPkaXKpA', 'SU')
('AC04652-2022-11-02-499','A28-13','cBGHpv', 'LB')
('AC04652-2022-11-01-493','A28-7','ZvcchNohciJxk', 'LB')
('AC22517-2022-11-02-476','A27-8','XFrxlumVaM', 'LB')
('AC22517-2022-11-02-477','A27-9','RGAeBgY', 'UB')
('SL12058-2022-11-01-453','S19-21','BydGA', 'MB')
('AC12058-2022-11-01-458','A26-8','iGG', 'LB')
('SL22517-2022-11-01-478','S20-22','bWfCYoORDHoQqMbS', 'UB')
('AC04652-2022-11-02-504','A28-18','QwxQTWrg', 'SU')
('AC04652-2022-11-01-497','A28-11','tf', 'SL')
('AC22517-2022-11-02-481','A27-13','JAXNwFwiU', 'LB')
('SL04652-2022-11-02-488','S21-8','TVvlWIulkeppkBHE', 'SU')
('SL22517-2022-11-01-481','S21-1','ipmhvbEixSHaGML', 'LB')
('AC04652-2022-11-02-506','A29-2','tOKPEf', 'LB')
('SL12058-2022-11-01-459','S20-3','WtHcTLihzp', 'UB')
('AC12058-2022-11-01-461','A26-11','SBoVsgNHUr', 'SL')
('AC12058-2022-11-01-462','A26-12','gxvYS', 'SU')
('SL22517-2022-11-02-461','S20-5','AhbbpNimadp', 'MB')
('AC04652-2022-11-02-509','A29-5','YHuwQKUw', 'SL')
('SL12058-2022-11-01-463','S20-7','PEGDdzQeDvYQVQ', 'SL')
('SL04652-2022-11-01-504','S21-24','FTCKfXkjUjwYYF', 'SU')
('AC12058-2022-11-01-465','A26-15','pg', 'UB')
('SL22517-2022-11-01-486','S21-6','DVTXPN', 'UB')
('AC04652-2022-11-02-512','A29-8','x', 'LB')
('AC22517-2022-11-01-461','A26-11','IPBtGSdGrfauy', 'SL')
('SL12058-2022-11-01-465','S20-9','dCvneasgQEu', 'LB')
('AC22517-2022-11-01-462','A26-12','mPMTPzBKCEzJi', 'SU')
('SL04652-2022-11-02-493','S21-13','EZSrNi', 'MB')
('AC22517-2022-11-02-493','A28-7','FZhOGiAcyJ', 'LB')
('SL04652-2022-11-02-495','S21-15','GMxiDbeMmC', 'SL')
('AC04652-2022-11-02-516','A29-12','BTiehaGiHrwPG', 'SU')
('AC04652-2022-11-01-505','A29-1','wOFnYQZP', 'LB')
('AC22517-2022-11-01-467','A26-17','HZbLtoFnlVfn', 'SL')
('SL22517-2022-11-01-490','S21-10','Wb', 'MB')
('SL04652-2022-11-02-496','S21-16','kYhlB', 'SU')
('SL12058-2022-11-01-469','S20-13','XnQP', 'MB')
('SL12058-2022-11-01-470','S20-14','IYbArwixtC', 'UB')
('AC04652-2022-11-01-509','A29-5','TMfbSDIhPw', 'SL')
('AC22517-2022-11-02-498','A28-12','CLYnGaPJwzqOrL', 'SU')
('AC22517-2022-11-02-499','A28-13','WfgqhsSqlKqstFBe', 'LB')
('AC04652-2022-11-01-510','A29-6','l', 'SU')
('SL04652-2022-11-02-497','S21-17','MbSz', 'LB')
('SL04652-2022-11-01-509','S22-5','XPKHvrmzgC', 'MB')
('AC04652-2022-11-02-518','A29-14','xjhgEiVgEodKHX', 'LB')
('SL22517-2022-11-01-494','S21-14','EYwQgERarHssj', 'UB')
('AC22517-2022-11-02-505','A29-1','ESeBiVzGuEU', 'LB')
('SL22517-2022-11-01-497','S21-17','DsuOzgtTIOqVb', 'LB')
('SL04652-2022-11-02-499','S21-19','yzxHahOzCszsO', 'UB')
('SL04652-2022-11-01-510','S22-6','BhynRxssd', 'UB')
('SL12058-2022-11-01-476','S20-20','XCyspvLXkYs', 'LB')
('SL22517-2022-11-02-473','S20-17','dfW', 'LB')
('SL04652-2022-11-01-512','S22-8','CRSZbiDtAUKyBFrd', 'SU')
('SL04652-2022-11-01-513','S22-9','iwqKGdoOYBorKOLs', 'LB')
('SL22517-2022-11-02-474','S20-18','XG', 'MB')
('AC22517-2022-11-02-507','A29-3','PynUQqvOnGAMQFai', 'UB')
('SL12058-2022-11-01-480','S20-24','tDvlRWDyGQlh', 'SU')
('SL22517-2022-11-01-501','S21-21','CYBiGrxSUXdponK', 'MB')
('SL04652-2022-11-02-501','S21-21','JN', 'MB')
('SL22517-2022-11-02-478','S20-22','eXq', 'UB')
('AC22517-2022-11-01-472','A27-4','eAsfROB', 'UB')
('SL22517-2022-11-01-504','S21-24','kgj', 'SU')
('SL22517-2022-11-02-480','S20-24','LrqAGh', 'SU')
('SL22517-2022-11-01-508','S22-4','IkhanFdEEHzZc', 'LB')
('AC22517-2022-11-02-513','A29-9','ylJitMd', 'UB')
('AC22517-2022-11-01-478','A27-10','zwxiXInRjYhJtJ', 'UB')
('AC04652-2022-11-01-525','A30-3','UMftonmWrx', 'UB')
('AC04652-2022-11-01-526','A30-4','jvdoOuabBb', 'UB')
('AC12058-2022-11-01-484','A27-16','JEOvLHQQ', 'UB')
('SL04652-2022-11-01-518','S22-14','XsdEPUMIjDuPJy', 'UB')
('SL22517-2022-11-01-511','S22-7','KOAMBJOxlYs', 'SL')
('SL22517-2022-11-02-486','S21-6','DE', 'UB')
('AC04652-2022-11-02-531','A30-9','YlE', 'UB')
('SL22517-2022-11-02-490','S21-10','cMs', 'MB')
('AC22517-2022-11-02-518','A29-14','QGwkWlnPQBmf', 'LB')
('AC12058-2022-11-01-489','A28-3','XvCJD', 'UB')
('SL22517-2022-11-01-515','S22-11','gSbPZjLLXcvSba', 'UB')
('SL22517-2022-11-01-516','S22-12','JPwlZBGGXGDJkfJ', 'LB')
('SL12058-2022-11-01-491','S21-11','WIdMSvAOPuMn', 'UB')
('AC04652-2022-11-02-535','A30-13','OBYhtkclu', 'LB')
('SL22517-2022-11-01-517','S22-13','Sdhu', 'MB')
('SL12058-2022-11-01-495','S21-15','FmMRHntSltfJoae', 'SL')
('SL12058-2022-11-01-496','S21-16','HIxoBUpHv', 'SU')
('SL22517-2022-11-02-494','S21-14','sC', 'UB')
('SL04652-2022-11-01-527','S22-23','kkefBHK', 'SL')
('SL04652-2022-11-01-528','S22-24','GsCqRBtKRT', 'SU')
('SL04652-2022-11-02-514','S22-10','CopJ', 'MB')
('AC04652-2022-11-01-536','A30-14','lWXxDDxMl', 'LB')
('SL04652-2022-11-02-515','S22-11','XAiLS', 'UB')
('SL04652-2022-11-02-566','S24-14','SxRwykRfpF', 'UB')
('SL04652-2022-11-01-583','S25-7','BJBK', 'SL')
('AC22517-2022-11-01-558','A31-18','ZG', 'SU')
('SL22517-2022-11-01-616','S26-16','UC', 'SU')
('AC22517-2022-11-01-612','A34-18','gX', 'SU')
('SL04652-2022-11-01-637','S27-13','LYvExeyQpogDxmeZ', 'MB')
('SL12058-2022-11-01-614','S26-14','CQWlqrwKLLB', 'UB')
('SL12058-2022-11-01-615','S26-15','RJKnuJmAWdctpFeT', 'SL')
('AC22517-2022-11-02-639','A36-9','ccXhUrxGCv', 'UB')
('AC22517-2022-11-01-616','A35-4','u', 'UB')
('AC04652-2022-11-02-662','A37-14','qqyObnpIx', 'LB')
('SL22517-2022-11-01-623','S26-23','oFxoMChBDBRc', 'SL')
('SL04652-2022-11-01-641','S27-17','H', 'LB')
('SL12058-2022-11-01-619','S26-19','nhnBCQJrWAMjOn', 'UB')
('SL04652-2022-11-01-643','S27-19','MibRdloYHJez', 'UB')
('SL22517-2022-11-01-624','S26-24','RvThTKsiZxWiWBbC', 'SU')
('AC12058-2022-11-01-610','A34-16','RZip', 'UB')
('SL04652-2022-11-02-621','S26-21','zxuTuCvkmzFq', 'MB')
('SL04652-2022-11-02-624','S26-24','imZAYQ', 'SU')
('SL04652-2022-11-02-625','S27-1','UOVyJfG', 'LB')
('AC12058-2022-11-01-613','A35-1','LTQQnYqvSh', 'LB')
('AC04652-2022-11-01-663','A37-15','xqnfzJ', 'UB')
('AC04652-2022-11-01-664','A37-16','Qh', 'UB')
('AC04652-2022-11-02-673','A38-7','hdNabMOIK', 'LB')
('SL22517-2022-11-02-617','S26-17','v', 'LB')
('SL12058-2022-11-01-632','S27-8','tRfroCLiZsB', 'SU')
('AC12058-2022-11-01-614','A35-2','kfnWIgRHf', 'LB')
('AC22517-2022-11-02-651','A37-3','Luerj', 'UB')
('SL22517-2022-11-01-629','S27-5','LjqPzALR', 'MB')
('SL22517-2022-11-01-630','S27-6','FwpPkuAe', 'UB')
('AC22517-2022-11-01-630','A35-18','XWLFHrwsOkWA', 'SU')
('AC04652-2022-11-01-668','A38-2','wEUDmPqhKp', 'LB')
('SL22517-2022-11-01-699','S30-3','ScTKsXdTYGwENNbA', 'UB')
('SL04652-2022-11-01-710','S30-14','Q', 'UB')
('AC22517-2022-11-02-707','A40-5','VyL', 'SL')
('AC04652-2022-11-01-724','A41-4','jOIoKrDW', 'UB')
('SL04652-2022-11-01-711','S30-15','ljU', 'SL')
('AC04652-2022-11-01-728','A41-8','MBWjXe', 'LB')
('SL22517-2022-11-01-705','S30-9','VGCbeETgDSC', 'LB')
('SL12058-2022-11-01-701','S30-5','HjalaAkKeW', 'MB')
('SL12058-2022-11-01-702','S30-6','gLONwrvbLu', 'UB')
('AC04652-2022-11-02-761','A43-5','Wm', 'SL')
('SL04652-2022-11-02-707','S30-11','MnPRJQmZXftGoTPf', 'UB')
('AC12058-2022-11-01-684','A38-18','YW', 'SU')
('AC12058-2022-11-01-685','A39-1','tloeIGkUPjtppQ', 'LB')
('AC12058-2022-11-01-690','A39-6','HTFXij', 'SU')
('AC22517-2022-11-02-729','A41-9','bONMiragRjEAD', 'UB')
('AC04652-2022-11-02-775','A44-1','J', 'LB')
('AC12058-2022-11-01-697','A39-13','MoZF', 'LB')
('SL12058-2022-11-01-716','S30-20','bgOpWSPMwNyvd', 'LB')
('AC22517-2022-11-01-705','A40-3','SIodWyCIfyuCqOt', 'UB')
('AC22517-2022-11-02-732','A41-12','wlxNgKOhfLtic', 'SU')
('SL04652-2022-11-01-733','S31-13','xOdaWQHtgyhtOWe', 'MB')
('SL22517-2022-11-01-726','S31-6','JbC', 'UB')
('SL12058-2022-11-01-718','S30-22','BjMfhhRsSP', 'UB')
('SL12058-2022-11-01-719','S30-23','eIXtxJa', 'SL')
('AC22517-2022-11-02-737','A41-17','rD', 'SL')
('SL12058-2022-11-01-725','S31-5','vNowSdFCZQP', 'MB')
('SL22517-2022-11-02-711','S30-15','ZkAAzQhAyRjNetlb', 'SL')
('SL12058-2022-11-01-728','S31-8','rfxBd', 'SU')
('AC12058-2022-11-01-704','A40-2','DUHbwOlYLV', 'LB')
