('SL04652-2022-11-02-16991','S708-23','F', 'SL')
('SL04652-2022-11-02-16992','S708-24','ffamS', 'SU')
('AC22517-2022-11-01-17089','A950-7','NNNMKqT', 'LB')
('SL04652-2022-11-01-17090','S713-2','NonvanIpBKZxQAF', 'MB')
('AC22517-2022-11-01-17091','A950-9','Bl', 'UB')
('AC22517-2022-11-02-17097','A950-15','oemajWwR', 'UB')
('AC22517-2022-11-02-17098','A950-16','BvIuhZuf', 'UB')
('SL12058-2022-11-01-16926','S706-6','BPjn', 'UB')
('SL22517-2022-11-02-17097','S713-9','QgXTTqVMC', 'LB')
('SL12058-2022-11-01-16929','S706-9','zg', 'LB')
('SL12058-2022-11-01-16930','S706-10','kEcVASMvlQGzYwU', 'MB')
('AC22517-2022-11-02-17103','A951-3','brfqsYR', 'UB')
('SL04652-2022-11-01-17095','S713-7','Ds', 'SL')
('AC22517-2022-11-02-17104','A951-4','JkQgTfMfbGOn', 'UB')
('SL04652-2022-11-01-17097','S713-9','Oan', 'LB')
('AC22517-2022-11-01-17101','A951-1','fSWychzDbwmE', 'LB')
('AC12058-2022-11-01-16906','A940-4','CxjItXzZA', 'UB')
('AC04652-2022-11-02-17198','A956-8','INlHsCZzRnRAfL', 'LB')
('SL04652-2022-11-02-17003','S709-11','ImcJIpSaHQOfUaF', 'UB')
('AC04652-2022-11-02-17200','A956-10','hhrd', 'UB')
('AC04652-2022-11-01-17062','A948-16','JpTTn', 'UB')
('SL04652-2022-11-02-17006','S709-14','oQTFpqa', 'UB')
('SL04652-2022-11-01-17101','S713-13','e', 'MB')
('AC22517-2022-11-02-17109','A951-9','kiysKCmJt', 'UB')
('SL04652-2022-11-01-17102','S713-14','sSkHYu', 'UB')
('SL04652-2022-11-02-17010','S709-18','kB', 'MB')
('AC22517-2022-11-01-17107','A951-7','WktnBlscXW', 'LB')
('SL12058-2022-11-01-16941','S706-21','xkCnmCK', 'MB')
('SL04652-2022-11-01-17103','S713-15','Sbjet', 'SL')
('SL12058-2022-11-01-16943','S706-23','C', 'SL')
('AC04652-2022-11-01-17066','A949-2','dWXRRMYTtNxhvmiV', 'LB')
('AC04652-2022-11-02-17203','A956-13','YJDjYz', 'LB')
