('SL04652-2022-11-02-2230','S93-22','dtPipLdvgGGSvqs', 'UB')
('SL04652-2022-11-01-2189','S92-5','XVBNojxUn', 'MB')
('SL04652-2022-11-01-2190','S92-6','cFWRUmRgzS', 'UB')
('SL04652-2022-11-01-2192','S92-8','mWfmZGIo', 'SU')
('SL22517-2022-11-02-2206','S92-22','glGltjILck', 'UB')
('AC04652-2022-11-02-2218','A124-4','odYcNI', 'UB')
('AC04652-2022-11-02-2219','A124-5','nYpHahUBznMXaPjs', 'SL')
('AC04652-2022-11-02-2220','A124-6','aguhPAeTDdGcFJ', 'SU')
('AC04652-2022-11-02-2222','A124-8','OToiJX', 'LB')
('SL04652-2022-11-02-2235','S94-3','nCvwQlAHDA', 'UB')
('AC04652-2022-11-02-2269','A127-1','ExyhKsWpTWJxpS', 'LB')
('SL22517-2022-11-01-2268','S95-12','hHseklEMkkcrcJk', 'LB')
('SL22517-2022-11-02-2252','S94-20','Jl', 'LB')
('AC12058-2022-11-01-2246','A125-14','HXxKrEsExreR', 'LB')
('AC04652-2022-11-02-2278','A127-10','TfIBYYqp', 'UB')
('SL22517-2022-11-02-2258','S95-2','My', 'MB')
('SL12058-2022-11-01-2239','S94-7','VVIBkquChRrrme', 'SL')
('AC22517-2022-11-02-2273','A127-5','ZGXMvE', 'SL')
('SL12058-2022-11-01-2242','S94-10','tAeojzLpKffQbDM', 'MB')
('SL12058-2022-11-01-2243','S94-11','OnOZS', 'UB')
('AC12058-2022-11-01-2267','A126-17','qNE', 'SL')
('SL04652-2022-11-01-2254','S94-22','RIiX', 'UB')
('AC04652-2022-11-02-2306','A129-2','ANfrcFzt', 'LB')
('AC22517-2022-11-02-2291','A128-5','y', 'SL')
('SL04652-2022-11-01-2257','S95-1','E', 'LB')
('SL12058-2022-11-01-2259','S95-3','LpCDYNrGfuEYNdJj', 'UB')
('SL04652-2022-11-02-2305','S97-1','ENsibUVAHltTSfYV', 'LB')
('AC22517-2022-11-01-2351','A131-11','QkGzsXQkT', 'SL')
('SL04652-2022-11-01-2261','S95-5','VjNqYuCsQwhnBOvf', 'MB')
('AC22517-2022-11-01-2352','A131-12','IHSiTSqt', 'SU')
('SL12058-2022-11-01-2265','S95-9','DIKA', 'LB')
('SL12058-2022-11-01-2266','S95-10','NYl', 'MB')
('AC04652-2022-11-02-2312','A129-8','Hf', 'LB')
('AC12058-2022-11-01-2281','A127-13','vwEyblDpQ', 'LB')
('SL04652-2022-11-01-2266','S95-10','uPibvCwVMDPAmuXF', 'MB')
('AC12058-2022-11-01-2289','A128-3','kLMmSUWjQVWdyyF', 'UB')
('AC22517-2022-11-01-2369','A132-11','ommh', 'SL')
('AC04652-2022-11-01-2420','A135-8','dmOaS', 'LB')
('SL04652-2022-11-01-2283','S96-3','rFLLWpOLXBCW', 'UB')
('AC04652-2022-11-01-2431','A136-1','j', 'LB')
('AC12058-2022-11-01-2307','A129-3','RaJmsVXqYmXy', 'UB')
('SL22517-2022-11-01-2375','S99-23','VB', 'SL')
('SL04652-2022-11-02-2372','S99-20','AwYmDajxSfLb', 'LB')
('SL12058-2022-11-01-2318','S97-14','xSQEbBVKeJCL', 'UB')
('AC22517-2022-11-01-2423','A135-11','tZEMySRwXUqnhuJT', 'SL')
('SL04652-2022-11-01-2348','S98-20','lKINvyjKrlR', 'LB')
('SL12058-2022-11-01-2336','S98-8','dKf', 'SU')
('SL04652-2022-11-01-2366','S99-14','PyLKCtCwKQCswCS', 'UB')
('AC22517-2022-11-02-2382','A133-6','W', 'SU')
('AC22517-2022-11-02-2383','A133-7','yZnsDmtyox', 'LB')
('AC22517-2022-11-01-2448','A136-18','N', 'SU')
('SL04652-2022-11-02-2408','S101-8','mu', 'SU')
('SL12058-2022-11-01-2354','S99-2','MSRtF', 'MB')
('SL04652-2022-11-01-2378','S100-2','brBVCYpPBNwTZX', 'MB')
('AC22517-2022-11-02-2391','A133-15','re', 'UB')
('AC04652-2022-11-01-2519','A140-17','H', 'SL')
('SL04652-2022-11-01-2382','S100-6','VAdOa', 'UB')
('SL22517-2022-11-01-2425','S102-1','ck', 'LB')
('SL22517-2022-11-02-2404','S101-4','kwvwyAabPrVUV', 'LB')
('AC04652-2022-11-02-2418','A135-6','TlK', 'SU')
('AC04652-2022-11-02-2419','A135-7','SVy', 'LB')
('AC04652-2022-11-02-2421','A135-9','GLY', 'UB')
('SL04652-2022-11-02-2428','S102-4','qoylmcjqy', 'LB')
('AC22517-2022-11-01-2467','A138-1','es', 'LB')
('SL22517-2022-11-01-2438','S102-14','Xxl', 'UB')
('SL04652-2022-11-01-2402','S101-2','LZrvFMdnL', 'MB')
('AC04652-2022-11-02-2432','A136-2','mQ', 'LB')
('AC04652-2022-11-01-2543','A142-5','TqHPHRKPVntmF', 'SL')
('AC04652-2022-11-02-2436','A136-6','QOdGhhDMbdiX', 'SU')
('AC22517-2022-11-01-2483','A138-17','hWjYK', 'SL')
('SL22517-2022-11-02-2419','S101-19','KxAhoNeFQvxUP', 'UB')
('SL04652-2022-11-01-2410','S101-10','ZiY', 'MB')
('SL22517-2022-11-01-2449','S103-1','Zb', 'LB')
('AC12058-2022-11-01-2420','A135-8','fyBqe', 'LB')
('AC22517-2022-11-01-2489','A139-5','lnstrXUx', 'SL')
('AC22517-2022-11-01-2490','A139-6','IFTMWSVfISOA', 'SU')
('AC22517-2022-11-02-2430','A135-18','FQQaAZdoRfFlJ', 'SU')
('AC04652-2022-11-02-2451','A137-3','lufvlSfA', 'UB')
('AC04652-2022-11-02-2452','A137-4','CrdU', 'UB')
('SL12058-2022-11-01-2392','S100-16','uVYvcFxUx', 'SU')
('SL22517-2022-11-02-2425','S102-1','InkZuEevVIMulet', 'LB')
('AC22517-2022-11-02-2431','A136-1','QepyE', 'LB')
('AC04652-2022-11-01-2560','A143-4','sDesqVYSvsc', 'UB')
('AC22517-2022-11-01-2496','A139-12','LzAYHKReNFTrpIK', 'SU')
('AC12058-2022-11-01-2432','A136-2','BXdRWxlbv', 'LB')
('SL04652-2022-11-02-2462','S103-14','Ca', 'UB')
('SL22517-2022-11-01-2462','S103-14','WbepoukynAC', 'UB')
('SL04652-2022-11-02-2464','S103-16','F', 'SU')
('SL12058-2022-11-01-2403','S101-3','LxUEBHfNYRZP', 'UB')
('AC04652-2022-11-02-2460','A137-12','LHQGkAggQMZkQu', 'SU')
('AC04652-2022-11-02-2462','A137-14','pUmM', 'LB')
('AC12058-2022-11-01-2448','A136-18','kJwH', 'SU')
('SL12058-2022-11-01-2407','S101-7','tPddRCJWVJH', 'SL')
('AC22517-2022-11-02-2444','A136-14','BktpgPJZsYQX', 'LB')
('AC04652-2022-11-02-2465','A137-17','eOCjotJV', 'SL')
('AC22517-2022-11-02-2446','A136-16','SxHOaTrBNlKIEtAH', 'UB')
('AC22517-2022-11-02-2447','A136-17','lKKScJ', 'SL')
('SL22517-2022-11-02-2434','S102-10','KZLQIFpJsdXDonB', 'MB')
('AC22517-2022-11-02-2449','A137-1','eQqleUePzYf', 'LB')
('SL12058-2022-11-01-2412','S101-12','USY', 'LB')
('SL22517-2022-11-01-2480','S104-8','lGMWjHxvb', 'SU')
('AC12058-2022-11-01-2458','A137-10','e', 'UB')
('AC12058-2022-11-01-2459','A137-11','Hmr', 'SL')
('AC22517-2022-11-02-2455','A137-7','mOZhFqwrvrdldo', 'LB')
('AC04652-2022-11-02-2470','A138-4','sc', 'UB')
('AC04652-2022-11-02-2471','A138-5','VbKcO', 'SL')
('AC04652-2022-11-01-2570','A143-14','zmgLlABrIYyoFDjT', 'LB')
('AC04652-2022-11-02-2473','A138-7','jjoA', 'LB')
('AC04652-2022-11-02-2474','A138-8','vRMRgdCikXzMme', 'LB')
('SL12058-2022-11-01-2419','S101-19','n', 'UB')
('SL22517-2022-11-01-2493','S104-21','sgZ', 'MB')
('AC22517-2022-11-02-2469','A138-3','yNzLILx', 'UB')
('AC04652-2022-11-02-2484','A138-18','luIZEQgvSh', 'SU')
('AC12058-2022-11-01-2471','A138-5','eRieZZeiHIannL', 'SL')
('SL12058-2022-11-01-2429','S102-5','kbWOYHFuOG', 'MB')
('AC12058-2022-11-01-2476','A138-10','yoUqcQY', 'UB')
('AC04652-2022-11-01-2592','A144-18','bH', 'SU')
('SL22517-2022-11-01-2505','S105-9','sNiomFCaNtR', 'LB')
('SL04652-2022-11-01-2449','S103-1','YQVTySX', 'LB')
('SL04652-2022-11-01-2452','S103-4','T', 'LB')
('AC22517-2022-11-01-2540','A142-2','TgMQrC', 'LB')
('SL22517-2022-11-01-2509','S105-13','UCq', 'MB')
('SL12058-2022-11-01-2441','S102-17','GXTJDQ', 'LB')
('SL22517-2022-11-02-2473','S104-1','iCxSfwYDy', 'LB')
('AC04652-2022-11-01-2608','A145-16','gQGEsZok', 'UB')
('SL22517-2022-11-02-2474','S104-2','TknsnV', 'MB')
('AC22517-2022-11-02-2488','A139-4','TkPGkHsiGQNSibS', 'UB')
('AC22517-2022-11-01-2555','A142-17','BLqtIfPbkYxEreT', 'SL')
('AC22517-2022-11-02-2491','A139-7','nMzvwxv', 'LB')
('SL22517-2022-11-01-2527','S106-7','oFsf', 'SL')
('AC12058-2022-11-01-2498','A139-14','nWPh', 'LB')
('AC04652-2022-11-01-2621','A146-11','Y', 'SL')
('AC04652-2022-11-02-2569','A143-13','AE', 'LB')
('AC12058-2022-11-01-2561','A143-5','JsnujNfIVX', 'SL')
('SL12058-2022-11-01-2531','S106-11','toHpDDZBDXM', 'UB')
('AC22517-2022-11-02-2561','A143-5','mjkJxGg', 'SL')
('SL12058-2022-11-01-2533','S106-13','ryMHxnDjUBgppbOg', 'MB')
('AC04652-2022-11-02-2576','A144-2','A', 'LB')
('SL04652-2022-11-02-2592','S108-24','SUIOHY', 'SU')
('SL12058-2022-11-01-2575','S108-7','kGmhvhZORlfXUo', 'SL')
('SL04652-2022-11-02-2662','S111-22','gVBhgKbGKDlq', 'UB')
('SL22517-2022-11-02-2607','S109-15','hNG', 'SL')
('AC22517-2022-11-01-2708','A151-8','lSCJCnEmuhyhnirG', 'LB')
('SL22517-2022-11-01-2672','S112-8','vFOUegbmdVCie', 'SU')
('AC22517-2022-11-02-2656','A148-10','zMxFqisbOk', 'UB')
('SL22517-2022-11-02-2622','S110-6','tteMxApp', 'UB')
('AC04652-2022-11-02-2669','A149-5','PdqlGBggiKNfQat', 'SL')
('AC22517-2022-11-01-2719','A152-1','vFRHhKhxQmvuMI', 'LB')
('AC22517-2022-11-01-2721','A152-3','AmMIKiYj', 'UB')
('AC12058-2022-11-01-2646','A147-18','WwAoUIFBTNnWB', 'SU')
('SL04652-2022-11-02-2680','S112-16','XVsuuKIc', 'SU')
('SL04652-2022-11-02-2681','S112-17','kePTcswZlCm', 'LB')
('SL04652-2022-11-01-2652','S111-12','RBImtvW', 'LB')
('SL04652-2022-11-01-2653','S111-13','Du', 'MB')
('AC22517-2022-11-01-2738','A153-2','NkiCVOk', 'LB')
('SL12058-2022-11-01-2648','S111-8','CAObE', 'SU')
('SL04652-2022-11-01-2664','S111-24','zIABAvMOfKeoA', 'SU')
('SL12058-2022-11-01-2651','S111-11','QCDgXZrSBbRGHgs', 'UB')
('SL22517-2022-11-01-2716','S114-4','MsjrdXHHQ', 'LB')
('AC22517-2022-11-01-2752','A153-16','lFI', 'UB')
('SL04652-2022-11-02-2704','S113-16','uEUMjlLqrhtocy', 'SU')
('AC04652-2022-11-01-2807','A156-17','JmSD', 'SL')
('AC04652-2022-11-01-2808','A156-18','uk', 'SU')
('AC12058-2022-11-01-2671','A149-7','dgvZESlWP', 'LB')
('SL04652-2022-11-02-2751','S115-15','I', 'SL')
('SL22517-2022-11-01-2766','S116-6','cmTQEtEykna', 'UB')
('SL04652-2022-11-01-2716','S114-4','nMSjFLn', 'LB')
('SL22517-2022-11-02-2701','S113-13','gJtW', 'MB')
('SL22517-2022-11-02-2707','S113-19','NXEDtYXhCHshQJ', 'UB')
