('AC12058-2022-11-01-2019','A113-3','ejzAKW', 'UB')
('AC22517-2022-11-01-2128','A119-4','mwKAlKuQL', 'UB')
('SL04652-2022-11-01-2081','S87-17','ZpAaHfusnQQtYWKP', 'LB')
('SL04652-2022-11-02-2115','S89-3','AKGdPYxEplwQ', 'UB')
('AC04652-2022-11-01-2182','A122-4','yBXFQpVUDVLd', 'UB')
('SL22517-2022-11-02-2095','S88-7','XBGwoYjWLAekbJzw', 'SL')
('AC22517-2022-11-01-2138','A119-14','AjunymnftrGW', 'LB')
('SL22517-2022-11-01-2121','S89-9','UjLlANtotCJ', 'LB')
('AC04652-2022-11-02-2097','A117-9','EWGGb', 'UB')
('SL22517-2022-11-02-2100','S88-12','cemWCgESQTc', 'LB')
('SL04652-2022-11-01-2091','S88-3','FmjjEslQgQO', 'UB')
('SL04652-2022-11-01-2092','S88-4','zxSUIGFSh', 'LB')
('AC04652-2022-11-01-2191','A122-13','KqcEedrzX', 'LB')
('SL04652-2022-11-02-2129','S89-17','yfRjzoiwoeYCynz', 'LB')
('AC22517-2022-11-02-2100','A117-12','YbivFiCZFZwPR', 'SU')
('AC04652-2022-11-01-2194','A122-16','dQpGf', 'UB')
('AC12058-2022-11-01-2099','A117-11','P', 'SL')
('AC04652-2022-11-01-2196','A122-18','wLdkQScaWuM', 'SU')
('AC22517-2022-11-01-2148','A120-6','SUbm', 'SU')
('AC22517-2022-11-01-2149','A120-7','vxxRZzGq', 'LB')
('AC04652-2022-11-01-2200','A123-4','zxZg', 'UB')
('AC22517-2022-11-01-2151','A120-9','Hnrgs', 'UB')
('SL22517-2022-11-01-2131','S89-19','DjOvX', 'UB')
('SL22517-2022-11-02-2116','S89-4','EwDwkwSlINI', 'LB')
('SL22517-2022-11-02-2117','S89-5','wKyTim', 'MB')
('SL04652-2022-11-02-2137','S90-1','mATwghTW', 'LB')
('SL22517-2022-11-01-2139','S90-3','qoCZhZdE', 'UB')
('AC22517-2022-11-01-2160','A120-18','EpeQN', 'SU')
('SL22517-2022-11-01-2147','S90-11','zlQwEDVDcnc', 'UB')
('AC04652-2022-11-01-2216','A124-2','XGUhMuIolEXauq', 'LB')
('AC22517-2022-11-01-2168','A121-8','wTmkCbO', 'LB')
('SL12058-2022-11-01-2102','S88-14','SZbujHEe', 'UB')
('AC12058-2022-11-01-2134','A119-10','mDZeGksmsFXR', 'UB')
('AC04652-2022-11-02-2133','A119-9','gMnUsMgBzyh', 'UB')
('AC22517-2022-11-02-2130','A119-6','BExkzUNNI', 'SU')
('SL04652-2022-11-02-2159','S90-23','woGluuu', 'SL')
('AC22517-2022-11-02-2132','A119-8','WKpEUeTovTI', 'LB')
('AC22517-2022-11-01-2174','A121-14','MsOjqbCbYbCdO', 'LB')
('SL22517-2022-11-02-2145','S90-9','HDdeu', 'LB')
('AC04652-2022-11-02-2137','A119-13','AXyFxGEvxOTyLJe', 'LB')
('AC04652-2022-11-01-2248','A125-16','EYtTbzUvtHFWw', 'UB')
('AC04652-2022-11-02-2154','A120-12','YhhT', 'SU')
('SL12058-2022-11-01-2127','S89-15','uoUh', 'SL')
('AC22517-2022-11-01-2203','A123-7','ZvFFBQRKjX', 'LB')
('SL04652-2022-11-02-2182','S91-22','Bl', 'UB')
('AC04652-2022-11-02-2160','A120-18','OFrYLy', 'SU')
('SL04652-2022-11-02-2184','S91-24','rWmokmW', 'SU')
('AC12058-2022-11-01-2158','A120-16','VVvhhHHFZGXptxx', 'UB')
('AC04652-2022-11-02-2164','A121-4','YWsPKScskpP', 'UB')
('SL22517-2022-11-01-2191','S92-7','mFBGVAYqosmqHSz', 'SL')
('AC04652-2022-11-02-2175','A121-15','eStrvdmtcwkVoycc', 'UB')
('SL22517-2022-11-02-2181','S91-21','r', 'MB')
('AC22517-2022-11-01-2227','A124-13','EtbmYaVtklA', 'LB')
('SL04652-2022-11-02-2203','S92-19','dryXYrY', 'UB')
('AC04652-2022-11-01-2280','A127-12','IRMrO', 'SU')
('SL22517-2022-11-01-2204','S92-20','Qbr', 'LB')
('AC12058-2022-11-01-2178','A121-18','OrjL', 'SU')
('AC22517-2022-11-02-2191','A122-13','NVtDYWUU', 'LB')
('AC22517-2022-11-01-2235','A125-3','ZiersxPV', 'UB')
('AC22517-2022-11-01-2238','A125-6','LhFMeWmJEszvZ', 'SU')
('SL04652-2022-11-01-2176','S91-16','SmruO', 'SU')
('AC22517-2022-11-02-2203','A123-7','jfnpBwwBzXm', 'LB')
('AC04652-2022-11-01-2304','A128-18','wYA', 'SU')
('SL04652-2022-11-01-2181','S91-21','w', 'MB')
('AC04652-2022-11-01-2316','A129-12','fKKjoZkaPZUuw', 'SU')
('AC04652-2022-11-02-2264','A126-14','wqGnLcHsh', 'LB')
('SL22517-2022-11-02-2248','S94-16','KnlU', 'SU')
('AC04652-2022-11-01-2364','A132-6','oRhY', 'SU')
('AC12058-2022-11-01-2244','A125-12','FkiA', 'SU')
('SL12058-2022-11-01-2237','S94-5','nFHSOtM', 'MB')
('AC22517-2022-11-01-2367','A132-9','JrKyQHQiCMK', 'UB')
('AC22517-2022-11-01-2368','A132-10','ZtWlLXCA', 'UB')
('AC12058-2022-11-01-2295','A128-9','nZiJOYxmpBVHgyUP', 'UB')
('AC04652-2022-11-01-2426','A135-14','QZ', 'LB')
('AC04652-2022-11-01-2428','A135-16','yRkAr', 'UB')
('AC04652-2022-11-01-2429','A135-17','Kl', 'SL')
('SL04652-2022-11-01-2289','S96-9','ORrJJEH', 'LB')
('SL22517-2022-11-02-2312','S97-8','jxvW', 'SU')
('SL04652-2022-11-02-2329','S98-1','fokTHW', 'LB')
('SL22517-2022-11-01-2329','S98-1','fjaCRIQjaEDe', 'LB')
('SL04652-2022-11-01-2327','S97-23','I', 'SL')
('AC22517-2022-11-01-2417','A135-5','BwK', 'SL')
('SL04652-2022-11-02-2371','S99-19','DSWqudpGCBTnec', 'UB')
('AC22517-2022-11-02-2353','A131-13','gfGmWoWDSPKEKVN', 'LB')
('SL04652-2022-11-02-2373','S99-21','jLppsUTFgVCFeil', 'MB')
('AC04652-2022-11-02-2383','A133-7','McBpEMes', 'LB')
('SL04652-2022-11-02-2385','S100-9','OcnEKsJRXuS', 'LB')
('AC22517-2022-11-01-2432','A136-2','tyWgHZZvlWrmWEJ', 'LB')
('SL04652-2022-11-02-2390','S100-14','I', 'UB')
('SL04652-2022-11-01-2363','S99-11','FPYxUWgrH', 'UB')
('AC22517-2022-11-02-2376','A132-18','yrbbvmtifh', 'SU')
('SL04652-2022-11-02-2400','S100-24','MGreym', 'SU')
('SL12058-2022-11-01-2345','S98-17','Oy', 'LB')
('AC04652-2022-11-02-2405','A134-11','VlDDbUtRbQo', 'SL')
('SL04652-2022-11-02-2406','S101-6','ZUziKEMTJqoyGB', 'UB')
('AC22517-2022-11-02-2386','A133-10','savyiJWKqyv', 'UB')
('SL04652-2022-11-01-2375','S99-23','xvHzZBjzdjA', 'SL')
('SL12058-2022-11-01-2353','S99-1','AfDWK', 'LB')
('AC12058-2022-11-01-2394','A133-18','TDolzsgYLG', 'SU')
('AC04652-2022-11-01-2520','A140-18','fSkdkzWuEmL', 'SU')
('SL22517-2022-11-01-2418','S101-18','D', 'MB')
('AC22517-2022-11-02-2394','A133-18','LAnaFL', 'SU')
('SL12058-2022-11-01-2358','S99-6','MtOYcCrDXEiBV', 'UB')
('AC22517-2022-11-02-2397','A134-3','lPAiq', 'UB')
