('AC22517-2022-11-01-5512','A307-4','Ni', 'UB')
('SL12058-2022-11-01-5392','S225-16','AryuixgntoVAyMa', 'SU')
('SL22517-2022-11-02-5461','S228-13','mNfpkGvPHkz', 'MB')
('AC12058-2022-11-01-5576','A310-14','WSXMnRhmiZMPRq', 'LB')
('SL12058-2022-11-01-5446','S227-22','QDFA', 'UB')
('AC12058-2022-11-01-5591','A311-11','gZkUGHMdDeBGDxCw', 'SL')
('SL22517-2022-11-02-5514','S230-18','zsiiQ', 'MB')
('SL04652-2022-11-01-5494','S229-22','wiLgKrHbyMpjxl', 'UB')
('SL22517-2022-11-01-5471','S228-23','Ycfu', 'SL')
('SL12058-2022-11-01-5452','S228-4','oDcyHIWAiVrfwCic', 'LB')
('AC04652-2022-11-02-5640','A314-6','lUpkaeRetXLdvoTy', 'SU')
('SL04652-2022-11-02-5552','S232-8','McAKuPXus', 'SU')
('AC22517-2022-11-02-5623','A313-7','ANwvCdBiKLEhkR', 'LB')
('SL04652-2022-11-01-5500','S230-4','SpTop', 'LB')
('SL04652-2022-11-02-5554','S232-10','Bz', 'MB')
('SL12058-2022-11-01-5459','S228-11','MbylzqnnQTQ', 'UB')
('SL12058-2022-11-01-5460','S228-12','lYSTlSEbzm', 'LB')
('AC22517-2022-11-01-5639','A314-5','Y', 'SL')
('AC04652-2022-11-02-5677','A316-7','MQwyXwfyl', 'LB')
('SL04652-2022-11-02-5580','S233-12','HYrimJYFhuC', 'LB')
('AC22517-2022-11-01-5641','A314-7','IU', 'LB')
('AC04652-2022-11-02-5680','A316-10','uEEBjXgfpVvkTZT', 'UB')
('SL12058-2022-11-01-5490','S229-18','cBLygMckhEEyhk', 'MB')
('AC22517-2022-11-02-5649','A314-15','zBmPUuCg', 'UB')
('SL22517-2022-11-02-5552','S232-8','IieseJpY', 'SU')
('AC22517-2022-11-01-5650','A314-16','favzwZXuZZGxzw', 'UB')
('AC22517-2022-11-02-5680','A316-10','TVVIloRmgugan', 'UB')
('AC22517-2022-11-01-5682','A316-12','tQwTdGl', 'SU')
('SL04652-2022-11-01-5561','S232-17','aGVmrCBoHeRE', 'LB')
('SL22517-2022-11-01-5552','S232-8','LEhjmi', 'SU')
('SL12058-2022-11-01-5545','S232-1','yJw', 'LB')
('SL22517-2022-11-01-5579','S233-11','uUqrllDqlbok', 'UB')
('SL22517-2022-11-02-5647','S236-7','WYQzVkqIMjHX', 'SL')
('AC04652-2022-11-02-5756','A320-14','AwahfTy', 'LB')
('SL04652-2022-11-02-5668','S237-4','WC', 'LB')
('AC22517-2022-11-01-5736','A319-12','OqyYcfBn', 'SU')
('AC04652-2022-11-02-5773','A321-13','kTImN', 'LB')
('SL12058-2022-11-01-5584','S233-16','wewtwvjNTTr', 'SU')
('SL04652-2022-11-01-5632','S235-16','WTLinvVLCRlyVgAA', 'SU')
('SL22517-2022-11-01-5622','S235-6','YoFVXR', 'UB')
('SL22517-2022-11-02-5695','S238-7','qrnCNKxVrUVww', 'SL')
('AC04652-2022-11-01-5977','A333-1','kDDeCzRGEnr', 'LB')
