('AC22517-2022-11-02-6895','A384-1','JbfwnAZTarnl', 'LB')
('SL12058-2022-11-01-6772','S283-4','tzAceiMN', 'LB')
('SL22517-2022-11-01-6821','S285-5','V', 'MB')
('SL22517-2022-11-02-6972','S291-12','kM', 'LB')
('AC04652-2022-11-02-6897','A384-3','moU', 'UB')
('AC04652-2022-11-02-6899','A384-5','xrCRYsuMX', 'SL')
('AC04652-2022-11-02-6900','A384-6','UTtsNbstRzPLzv', 'SU')
('AC04652-2022-11-02-6901','A384-7','zrc', 'LB')
('AC04652-2022-11-02-6902','A384-8','LmIC', 'LB')
('AC04652-2022-11-02-6903','A384-9','LiSAqh', 'UB')
('SL22517-2022-11-02-6975','S291-15','HvOC', 'SL')
('SL22517-2022-11-02-6976','S291-16','AW', 'SU')
('SL04652-2022-11-01-6912','S288-24','nOWXDOUns', 'SU')
('SL22517-2022-11-02-6979','S291-19','TqwEpFgc', 'UB')
('SL04652-2022-11-02-6761','S282-17','OkbFdaWpsdxdkvkM', 'LB')
('AC12058-2022-11-01-6775','A377-7','wdvIYIXsi', 'LB')
('AC04652-2022-11-02-6908','A384-14','GYKfWVHHFX', 'LB')
('SL12058-2022-11-01-6781','S283-13','p', 'MB')
('SL22517-2022-11-02-6984','S291-24','HalXVgRVLPW', 'SU')
('SL22517-2022-11-02-6985','S292-1','bkVoqgvbmGE', 'LB')
('SL22517-2022-11-01-6830','S285-14','prswqwUHyMx', 'UB')
('AC22517-2022-11-01-6814','A379-10','JXhcts', 'UB')
('AC04652-2022-11-01-6861','A382-3','dFfE', 'UB')
('SL22517-2022-11-01-6832','S285-16','SRtTWapLzz', 'SU')
('AC22517-2022-11-02-6905','A384-11','jRRqIg', 'SL')
('SL22517-2022-11-01-6834','S285-18','JAhnPOXFKsOehzVG', 'MB')
('AC22517-2022-11-01-6815','A379-11','wOfjfDpduNvcATg', 'SL')
('AC04652-2022-11-02-6916','A385-4','fLJug', 'UB')
('SL22517-2022-11-02-6996','S292-12','kzxw', 'LB')
('SL22517-2022-11-02-6997','S292-13','ijLxppiUrscBWY', 'MB')
('AC04652-2022-11-02-6917','A385-5','bkWK', 'SL')
('AC22517-2022-11-02-6908','A384-14','tBXs', 'LB')
('AC04652-2022-11-02-6919','A385-7','SmtGMnCQP', 'LB')
('AC22517-2022-11-01-6817','A379-13','zGePEJZ', 'LB')
('SL04652-2022-11-02-6769','S283-1','WM', 'LB')
('SL04652-2022-11-01-6915','S289-3','AnnvkicnRJKPo', 'UB')
('SL22517-2022-11-01-6841','S286-1','CwpD', 'LB')
('SL22517-2022-11-01-6842','S286-2','vm', 'MB')
('SL12058-2022-11-01-6789','S283-21','NPeYfvlBMvBVnjCG', 'MB')
('AC04652-2022-11-01-6868','A382-10','VgCerU', 'UB')
('AC04652-2022-11-02-6923','A385-11','oyfMPROmy', 'SL')
('AC22517-2022-11-02-6911','A384-17','D', 'SL')
('SL04652-2022-11-01-6920','S289-8','kaNBIkIsINvgqyX', 'SU')
('AC04652-2022-11-02-6926','A385-14','YXZ', 'LB')
('AC04652-2022-11-02-6927','A385-15','vXfLoVPybuotaVBB', 'UB')
('AC04652-2022-11-01-6870','A382-12','STfjFHkAvzvk', 'SU')
('SL04652-2022-11-01-6922','S289-10','GmEFYzvLbXQwgb', 'MB')
('SL22517-2022-11-01-6846','S286-6','fmGWwkfcUUD', 'UB')
('SL04652-2022-11-01-6923','S289-11','geAzEUiVuQKUrQcn', 'UB')
('SL22517-2022-11-01-6847','S286-7','OkHj', 'SL')
('SL12058-2022-11-01-6792','S283-24','VfwpzHkJtx', 'SU')
('SL12058-2022-11-01-6793','S284-1','jOUCAVPy', 'LB')
('AC22517-2022-11-01-6821','A379-17','emnCEMoByMLe', 'SL')
('AC04652-2022-11-02-6931','A386-1','waupJjReqFUJqw', 'LB')
('SL04652-2022-11-02-6780','S283-12','x', 'LB')
('SL04652-2022-11-01-6929','S289-17','qZXhQJLMXw', 'LB')
('SL12058-2022-11-01-6795','S284-3','XONRefeFCKbSBaE', 'UB')
('AC04652-2022-11-01-6874','A382-16','dLXhOqxrwgvfAI', 'UB')
('AC04652-2022-11-01-6876','A382-18','hiW', 'SU')
('AC22517-2022-11-02-6922','A385-10','xswNHNoGhGgPG', 'UB')
('AC22517-2022-11-01-6827','A380-5','WqhVFdISHdT', 'SL')
('SL04652-2022-11-02-6789','S283-21','WEVI', 'MB')
