('SL04652-2022-11-01-4194','S175-18','MtgNXAfqzrogWU', 'MB')
('AC04652-2022-11-02-4291','A239-7','tlXruvCq', 'LB')
('SL04652-2022-11-02-4277','S179-5','fgROoVKNJKKrOJv', 'MB')
('AC04652-2022-11-01-4457','A248-11','RBAUUzkrt', 'SL')
('AC12058-2022-11-01-4283','A238-17','XkLGvuD', 'SL')
('AC22517-2022-11-01-4340','A242-2','xw', 'LB')
('AC12058-2022-11-01-4287','A239-3','laoXwCozVt', 'UB')
('AC12058-2022-11-01-4309','A240-7','Z', 'LB')
('SL12058-2022-11-01-4176','S174-24','FTVigfrQCtOSUzQ', 'SU')
('AC12058-2022-11-01-4311','A240-9','aKDgHfTNHP', 'UB')
('SL04652-2022-11-02-4317','S180-21','fjDAXtfq', 'MB')
('AC04652-2022-11-01-4501','A251-1','wHFZegk', 'LB')
('AC22517-2022-11-01-4388','A244-14','rpDxgR', 'LB')
('AC12058-2022-11-01-4339','A242-1','Lm', 'LB')
('SL22517-2022-11-02-4229','S177-5','LgkodJ', 'MB')
('AC22517-2022-11-02-4331','A241-11','pXxHXoUS', 'SL')
('SL22517-2022-11-01-4290','S179-18','snrGmKEQFVQX', 'MB')
('SL04652-2022-11-02-4326','S181-6','nGwyuNVCP', 'UB')
('SL22517-2022-11-01-4293','S179-21','btObTjMiwwNb', 'MB')
('SL04652-2022-11-01-4268','S178-20','txOBYMdRByTdoBP', 'LB')
('AC22517-2022-11-01-4401','A245-9','Xxzi', 'UB')
('SL22517-2022-11-01-4298','S180-2','nJeYyqfq', 'MB')
('SL22517-2022-11-02-4248','S177-24','mQHxaTfj', 'SU')
('SL22517-2022-11-02-4249','S178-1','GRmF', 'LB')
('SL04652-2022-11-02-4332','S181-12','EWhOgKOx', 'LB')
('SL04652-2022-11-01-4278','S179-6','yYnCNW', 'UB')
('AC22517-2022-11-01-4419','A246-9','LMZcONBu', 'UB')
('AC04652-2022-11-02-4382','A244-8','tAVk', 'LB')
('AC22517-2022-11-02-4366','A243-10','HsUDmkEYcH', 'UB')
('AC22517-2022-11-02-4367','A243-11','yXqAD', 'SL')
('AC22517-2022-11-01-4433','A247-5','UnJRi', 'SL')
('AC04652-2022-11-01-4537','A253-1','htVvDKiTDyw', 'LB')
('SL22517-2022-11-01-4318','S180-22','Mh', 'UB')
('SL04652-2022-11-02-4350','S182-6','XaB', 'UB')
('SL22517-2022-11-01-4320','S180-24','rUdtPFD', 'SU')
