('SL04652-2022-11-02-5533','S231-13','GFmPaTlETqHCC', 'MB')
('AC22517-2022-11-02-5612','A312-14','wCBYMGiqIKIyr', 'LB')
('AC22517-2022-11-01-5596','A311-16','ZN', 'UB')
('AC04652-2022-11-02-5660','A315-8','pgR', 'LB')
('SL04652-2022-11-01-5509','S230-13','QPYBXVuiSadkd', 'MB')
('SL04652-2022-11-02-5567','S232-23','IQy', 'SL')
('AC12058-2022-11-01-5620','A313-4','wCLwQHjEk', 'UB')
('AC04652-2022-11-01-5831','A324-17','UCs', 'SL')
('SL04652-2022-11-01-5511','S230-15','vhqEF', 'SL')
('AC04652-2022-11-02-5681','A316-11','CAfXoxqdk', 'SL')
('AC22517-2022-11-01-5644','A314-10','LPL', 'UB')
('AC22517-2022-11-01-5646','A314-12','XqPWjFKTgiAzyWn', 'SU')
('AC04652-2022-11-01-5859','A326-9','XxAed', 'UB')
('AC22517-2022-11-02-5666','A315-14','iMJPFIJDFSWfLS', 'LB')
('AC04652-2022-11-01-5895','A328-9','d', 'UB')
('AC04652-2022-11-02-5738','A319-14','tmKyXVdCSn', 'LB')
('AC04652-2022-11-02-5739','A319-15','IpA', 'UB')
('SL22517-2022-11-02-5630','S235-14','UuI', 'UB')
('SL04652-2022-11-01-5602','S234-10','bwrENYMhPvM', 'MB')
('AC04652-2022-11-02-5770','A321-10','ReQmhlAMUf', 'UB')
('AC04652-2022-11-02-5772','A321-12','XlMRdJ', 'SU')
('SL04652-2022-11-02-5678','S237-14','g', 'UB')
('AC04652-2022-11-01-5947','A331-7','XAQVJWAqSCwurVp', 'LB')
('SL04652-2022-11-01-5673','S237-9','vjlJ', 'LB')
('AC04652-2022-11-01-6005','A334-11','c', 'SL')
('AC12058-2022-11-01-5781','A322-3','YmUNsLLUsjAfx', 'UB')
('AC22517-2022-11-01-5801','A323-5','tjaSgPUxie', 'SL')
('AC04652-2022-11-01-6011','A334-17','yzpDVfzxUKXYaK', 'SL')
('SL04652-2022-11-02-5735','S239-23','TssNpGcsvsQtIIbc', 'SL')
('AC12058-2022-11-01-5784','A322-6','hwfxNowCwfpZht', 'SU')
('SL22517-2022-11-01-5652','S236-12','GvpSF', 'LB')
('SL12058-2022-11-01-5650','S236-10','FZTBrFIYO', 'MB')
('AC04652-2022-11-02-5838','A325-6','G', 'SU')
('SL04652-2022-11-01-5695','S238-7','HIN', 'SL')
('SL22517-2022-11-02-5728','S239-16','zeqtFKbpVhyjWiiX', 'SU')
('SL04652-2022-11-02-5749','S240-13','ALyUfDtslEBdRV', 'MB')
('SL22517-2022-11-01-5663','S236-23','N', 'SL')
('SL04652-2022-11-01-5698','S238-10','G', 'MB')
('SL04652-2022-11-01-5699','S238-11','eYRIu', 'UB')
('AC22517-2022-11-02-5793','A322-15','OmNYcyw', 'UB')
('AC04652-2022-11-01-6031','A336-1','IEGsVzh', 'LB')
('AC04652-2022-11-02-5850','A325-18','NxfpVklY', 'SU')
('SL22517-2022-11-01-5672','S237-8','n', 'SU')
('SL12058-2022-11-01-5658','S236-18','mtPlKBZRNgE', 'MB')
('SL04652-2022-11-01-5706','S238-18','iviBQNloVfoBR', 'MB')
('SL04652-2022-11-02-5763','S241-3','znN', 'UB')
('AC04652-2022-11-01-6075','A338-9','tIwAwkTuNWhVzBL', 'UB')
('AC12058-2022-11-01-5829','A324-15','x', 'UB')
('AC22517-2022-11-02-5848','A325-16','LDJTmfP', 'UB')
('AC04652-2022-11-01-6085','A339-1','Ojy', 'LB')
('AC12058-2022-11-01-5842','A325-10','i', 'UB')
('AC12058-2022-11-01-5843','A325-11','CeGaDXfWXKqIJJd', 'SL')
('AC22517-2022-11-02-5862','A326-12','vlsYgTBUp', 'SU')
('AC22517-2022-11-02-5863','A326-13','OJAXTd', 'LB')
('SL12058-2022-11-01-5729','S239-17','vVxHnOoMo', 'LB')
('SL04652-2022-11-01-5785','S242-1','fZwXpSUKCSzlDIn', 'LB')
('SL04652-2022-11-02-5848','S244-16','dQdrDC', 'SU')
('AC04652-2022-11-01-6118','A340-16','CvVmb', 'UB')
('AC22517-2022-11-01-5902','A328-16','HOKfucdP', 'UB')
('AC22517-2022-11-01-5903','A328-17','CP', 'SL')
('AC22517-2022-11-02-5913','A329-9','bmubwMCcXSUkhSr', 'UB')
('SL04652-2022-11-01-5810','S243-2','bSgED', 'MB')
('AC04652-2022-11-01-6143','A342-5','dNOJjpSCtKYLL', 'SL')
('AC22517-2022-11-02-5922','A329-18','azGdsvAxeNQaNDf', 'SU')
('AC04652-2022-11-01-6162','A343-6','tYUbXchIMCb', 'SU')
('AC04652-2022-11-02-5994','A333-18','IXyduVz', 'SU')
('SL22517-2022-11-02-5906','S247-2','RTXGiUvkzCDLKOP', 'MB')
('AC04652-2022-11-01-6183','A344-9','cSuY', 'UB')
('AC04652-2022-11-01-6184','A344-10','kdPAe', 'UB')
('SL22517-2022-11-01-5835','S244-3','qbVohzyYS', 'UB')
('AC12058-2022-11-01-5939','A330-17','Isy', 'SL')
('SL04652-2022-11-02-5920','S247-16','SrTlT', 'SU')
('AC04652-2022-11-01-6192','A344-18','nWzLtMKimsCkc', 'SU')
('SL22517-2022-11-01-5850','S244-18','qutgs', 'MB')
('SL04652-2022-11-02-5985','S250-9','cKN', 'LB')
('AC04652-2022-11-01-6268','A349-4','excLNrov', 'UB')
('SL22517-2022-11-02-5995','S250-19','FCktmeyNOKecwg', 'UB')
('AC04652-2022-11-02-6085','A339-1','iVQZDYeiFJbWTUgm', 'LB')
('AC22517-2022-11-02-6068','A338-2','TlwzzORHzwkcQte', 'LB')
('SL22517-2022-11-01-5949','S248-21','tObLPhKmske', 'MB')
('AC04652-2022-11-01-6311','A351-11','KLdToPXrP', 'SL')
('SL04652-2022-11-02-6036','S252-12','J', 'LB')
('SL12058-2022-11-01-5895','S246-15','tPTnXQolXjk', 'SL')
('AC12058-2022-11-01-6069','A338-3','OhJunjK', 'UB')
('AC22517-2022-11-01-6073','A338-7','yX', 'LB')
('AC12058-2022-11-01-6072','A338-6','fDvRzPYNcUIucWiQ', 'SU')
('AC22517-2022-11-02-6080','A338-14','mbMvYlfDFWSzLxQ', 'LB')
('SL04652-2022-11-02-6043','S252-19','nH', 'UB')
('SL12058-2022-11-01-5905','S247-1','tUdKUlHIexRA', 'LB')
('AC22517-2022-11-01-6079','A338-13','rxtKKgxiXxXysKDW', 'LB')
('AC22517-2022-11-01-6080','A338-14','DY', 'LB')
('SL04652-2022-11-02-6047','S252-23','FuOcSaQ', 'SL')
('SL22517-2022-11-02-6037','S252-13','puKbcOZdAdltc', 'MB')
('AC22517-2022-11-02-6092','A339-8','CaI', 'LB')
('SL12058-2022-11-01-5909','S247-5','R', 'MB')
('AC22517-2022-11-02-6093','A339-9','gEUI', 'UB')
('AC04652-2022-11-01-6329','A352-11','LYRiHyiBcBJ', 'SL')
