('AC04652-2022-11-01-8','A1-8','cvwtnIncQ', 'LB')
('SL04652-2022-11-01-15','S1-15','uXBFYsjbijBu', 'SL')
('SL22517-2022-11-02-14','S1-14','PQarPZ', 'UB')
('AC04652-2022-11-02-14','A1-14','MxDAJEmuoG', 'LB')
('AC04652-2022-11-02-15','A1-15','WZnJzjkTcntsZAee', 'UB')
('SL12058-2022-11-01-15','S1-15','bBjvHoeKHh', 'SL')
('AC22517-2022-11-02-17','A1-17','nersdxkLjAbtTf', 'SL')
('AC12058-2022-11-01-26','A2-8','SFJLzHk', 'LB')
('SL04652-2022-11-02-19','S1-19','HuMeXpOIozJabX', 'UB')
('SL12058-2022-11-01-20','S1-20','SwLaUH', 'LB')
('AC12058-2022-11-01-27','A2-9','VyHBJ', 'UB')
('AC04652-2022-11-01-21','A2-3','kbKzqLnGMH', 'UB')
('AC04652-2022-11-02-30','A2-12','xWv', 'SU')
('AC12058-2022-11-01-34','A2-16','MaiPM', 'UB')
('AC04652-2022-11-02-37','A3-1','VWls', 'LB')
('AC22517-2022-11-02-30','A2-12','AwsoHVRR', 'SU')
('AC22517-2022-11-02-31','A2-13','VLlJVZKWXVooSFTC', 'LB')
('AC04652-2022-11-02-38','A3-2','CkuCUv', 'LB')
('AC22517-2022-11-01-67','A4-13','UAxzIwwMPhsnLCZU', 'LB')
('AC22517-2022-11-02-70','A4-16','tZsC', 'UB')
('AC04652-2022-11-01-69','A4-15','hrExUj', 'UB')
('AC22517-2022-11-01-70','A4-16','TY', 'UB')
('AC04652-2022-11-02-110','A7-2','Dtoo', 'LB')
('SL04652-2022-11-01-106','S5-10','HmwVU', 'MB')
('AC04652-2022-11-01-107','A6-17','VOFaWmHbBiqkQbwM', 'SL')
('SL04652-2022-11-01-108','S5-12','DPdZgtULomuLq', 'LB')
('SL22517-2022-11-02-110','S5-14','UawFqwsrNMZR', 'UB')
('SL04652-2022-11-02-99','S5-3','itoZEMMzaFEU', 'UB')
('SL12058-2022-11-01-123','S6-3','uoJS', 'UB')
('AC22517-2022-11-01-121','A7-13','r', 'LB')
('AC22517-2022-11-02-126','A7-18','P', 'SU')
('SL04652-2022-11-01-115','S5-19','nqMcRfoKZTJ', 'UB')
('SL04652-2022-11-01-116','S5-20','lHNOh', 'LB')
('SL12058-2022-11-01-127','S6-7','Kk', 'SL')
('AC12058-2022-11-01-125','A7-17','gsoUXrwbhd', 'SL')
('AC04652-2022-11-01-117','A7-9','wXvflTfNcQnvloyH', 'UB')
('AC12058-2022-11-01-127','A8-1','Xi', 'LB')
('SL22517-2022-11-02-119','S5-23','neI', 'SL')
('SL12058-2022-11-01-135','S6-15','sKj', 'SL')
('SL22517-2022-11-01-117','S5-21','gXKoMTfwrCdug', 'MB')
('SL04652-2022-11-01-123','S6-3','rpABkfJghvzP', 'UB')
('AC22517-2022-11-02-138','A8-12','bjLQtlqE', 'SU')
('AC22517-2022-11-01-127','A8-1','iz', 'LB')
('SL22517-2022-11-01-135','S6-15','vOYekm', 'SL')
('SL12058-2022-11-01-141','S6-21','qwhwDfge', 'MB')
('AC22517-2022-11-02-145','A9-1','YQS', 'LB')
('SL12058-2022-11-01-143','S6-23','k', 'SL')
('SL04652-2022-11-01-139','S6-19','lLWFTmKedruia', 'UB')
('SL22517-2022-11-02-148','S7-4','iAWVPZjmWbYseoBd', 'LB')
('SL04652-2022-11-01-142','S6-22','iIsbMYQRNPJvD', 'UB')
('SL22517-2022-11-02-149','S7-5','XdZCjLy', 'MB')
('SL12058-2022-11-01-157','S7-13','FGvwtfC', 'MB')
('SL22517-2022-11-02-151','S7-7','PiM', 'SL')
('AC22517-2022-11-01-151','A9-7','nNfIpzEFVVFEK', 'LB')
('AC22517-2022-11-01-152','A9-8','Wyj', 'LB')
('AC22517-2022-11-01-170','A10-8','cHsRzYVGhsc', 'LB')
('AC04652-2022-11-01-183','A11-3','jTgl', 'UB')
('AC22517-2022-11-01-190','A11-10','hxmWwvZhOw', 'UB')
('SL22517-2022-11-02-188','S8-20','zglFjXuVUWCSaaz', 'LB')
('SL22517-2022-11-02-189','S8-21','wIjNNerE', 'MB')
('SL04652-2022-11-01-186','S8-18','uiqkrsSLqJlLT', 'MB')
('AC04652-2022-11-02-169','A10-7','XLSYHCofIdMUFo', 'LB')
('SL04652-2022-11-01-187','S8-19','wRZdAMNuhqmzNy', 'UB')
('SL04652-2022-11-02-163','S7-19','BLWEtz', 'UB')
('AC22517-2022-11-02-195','A11-15','tlUMjecNA', 'UB')
('SL12058-2022-11-01-191','S8-23','Cu', 'SL')
('SL12058-2022-11-01-192','S8-24','WQAougTobLNZM', 'SU')
('AC04652-2022-11-01-218','A13-2','swSFsyTbL', 'LB')
('AC04652-2022-11-01-221','A13-5','vBEtCrBzZfLCxrS', 'SL')
('AC04652-2022-11-01-223','A13-7','uuk', 'LB')
('SL04652-2022-11-02-182','S8-14','xhgNdadGFwEETk', 'UB')
('SL04652-2022-11-02-183','S8-15','gtFeYKUuh', 'SL')
('AC04652-2022-11-01-227','A13-11','oaATmN', 'SL')
('AC04652-2022-11-01-228','A13-12','mKTiX', 'SU')
('SL22517-2022-11-01-221','S10-5','NKKFhTsKNiOu', 'MB')
('SL04652-2022-11-02-187','S8-19','Rqbhyh', 'UB')
('SL22517-2022-11-01-222','S10-6','tqcIUrpeOUhAWg', 'UB')
('SL12058-2022-11-01-218','S10-2','P', 'MB')
('AC22517-2022-11-01-224','A13-8','jjcdA', 'LB')
('AC22517-2022-11-02-240','A14-6','aHcfSiM', 'SU')
('SL04652-2022-11-02-265','S12-1','Hvv', 'LB')
('AC22517-2022-11-01-285','A16-15','XHFMnEKV', 'UB')
('AC22517-2022-11-02-378','A21-18','yagxQtwhH', 'SU')
('SL04652-2022-11-01-334','S14-22','GC', 'UB')
('AC22517-2022-11-01-325','A19-1','CRDRKCAwHaeQP', 'LB')
('SL04652-2022-11-02-310','S13-22','JmxQIkDcpAJ', 'UB')
('AC22517-2022-11-02-382','A22-4','EUYZQuaKdQfRy', 'UB')
('SL12058-2022-11-01-349','S15-13','uBlS', 'MB')
('AC12058-2022-11-01-363','A21-3','efMHz', 'UB')
('AC22517-2022-11-02-510','A29-6','GUGARDcNwThwtvxi', 'SU')
('AC04652-2022-11-02-481','A27-13','keQVhHfiytwFNsK', 'LB')
('SL22517-2022-11-02-458','S20-2','fNeWEWzftlVnmI', 'MB')
('SL22517-2022-11-02-461','S20-5','iatuLSxakbws', 'MB')
('AC12058-2022-11-01-506','A29-2','UsAPiosKDXYvI', 'LB')
('SL04652-2022-11-02-435','S19-3','byXiURhIACPsoI', 'UB')
('AC22517-2022-11-01-435','A25-3','muM', 'UB')
('AC04652-2022-11-02-493','A28-7','kNC', 'LB')
('AC22517-2022-11-01-436','A25-4','IEGTKamdVJxH', 'UB')
('SL22517-2022-11-01-468','S20-12','tf', 'LB')
('SL04652-2022-11-02-442','S19-10','hZEdllHGBbCBIv', 'MB')
('AC04652-2022-11-01-497','A28-11','D', 'SL')
('AC12058-2022-11-01-511','A29-7','DvAfVRw', 'LB')
('SL12058-2022-11-01-485','S21-5','HEiFK', 'MB')
('AC04652-2022-11-01-501','A28-15','rHDfuJZMK', 'UB')
('AC12058-2022-11-01-518','A29-14','VluPQFPESOz', 'LB')
