('SL12058-2022-11-01-4','S1-4','BsEjQkPmDajeGhn', 'LB')
('SL22517-2022-11-02-6','S1-6','CLqdldi', 'UB')
('AC04652-2022-11-02-6','A1-6','ihmlW', 'SU')
('AC12058-2022-11-01-17','A1-17','eogTzCwf', 'SL')
('SL22517-2022-11-02-13','S1-13','hOnWORHWoCfV', 'MB')
('SL12058-2022-11-01-11','S1-11','fggAggeRjfIkTY', 'UB')
('SL22517-2022-11-02-17','S1-17','Gnkyux', 'LB')
('AC22517-2022-11-02-15','A1-15','EPJxsKcnTCv', 'UB')
('SL04652-2022-11-01-23','S1-23','gxtDHQPuDyzmyN', 'SL')
('AC12058-2022-11-01-25','A2-7','fuNLxg', 'LB')
('SL12058-2022-11-01-18','S1-18','Z', 'MB')
('AC04652-2022-11-01-18','A1-18','RiZRvYIjUD', 'SU')
('SL22517-2022-11-02-69','S3-21','cQAfSvOO', 'MB')
('SL22517-2022-11-01-123','S6-3','X', 'UB')
('AC12058-2022-11-01-137','A8-11','J', 'SL')
('SL22517-2022-11-02-126','S6-6','Zw', 'UB')
('SL04652-2022-11-02-113','S5-17','yRdMphYnjOjbduu', 'LB')
('SL22517-2022-11-01-134','S6-14','ZM', 'UB')
('AC04652-2022-11-02-123','A7-15','N', 'UB')
('SL22517-2022-11-01-136','S6-16','YzyEstuh', 'SU')
('SL22517-2022-11-02-130','S6-10','bmdXclmBdwm', 'MB')
('AC12058-2022-11-01-142','A8-16','pAxESplDSWYFwBGL', 'UB')
('SL22517-2022-11-01-139','S6-19','B', 'UB')
('SL04652-2022-11-01-147','S7-3','qvsPEapsmmtiMTDE', 'UB')
('SL22517-2022-11-02-158','S7-14','DrY', 'UB')
('SL04652-2022-11-01-150','S7-6','NJrxWwojRtkzAit', 'UB')
('SL22517-2022-11-02-161','S7-17','iQxAgRGolxJUvvg', 'LB')
('AC22517-2022-11-01-160','A9-16','gYuzOqer', 'UB')
('AC22517-2022-11-02-170','A10-8','OWwRzdT', 'LB')
('AC04652-2022-11-01-146','A9-2','p', 'LB')
('AC04652-2022-11-01-147','A9-3','SRTB', 'UB')
('AC22517-2022-11-01-171','A10-9','WlDebNV', 'UB')
('AC12058-2022-11-01-171','A10-9','UrOpSwOZbopNM', 'UB')
('SL04652-2022-11-02-140','S6-20','TeAWq', 'LB')
('SL22517-2022-11-01-173','S8-5','dpWRMhlRkOlke', 'MB')
('AC22517-2022-11-02-180','A10-18','ioIrRa', 'SU')
('AC04652-2022-11-01-163','A10-1','ZhUUgiAbshyKcw', 'LB')
('SL04652-2022-11-01-171','S8-3','YvYaoo', 'UB')
('AC22517-2022-11-02-181','A11-1','r', 'LB')
('SL22517-2022-11-01-177','S8-9','mCHhR', 'LB')
('AC22517-2022-11-01-177','A10-15','JDZ', 'UB')
('AC22517-2022-11-02-185','A11-5','hkF', 'SL')
('AC04652-2022-11-02-157','A9-13','EvEjNvuuYO', 'LB')
('AC22517-2022-11-01-182','A11-2','lfnCmXgQ', 'LB')
('AC04652-2022-11-01-172','A10-10','fKnBnyMstFGmWbd', 'UB')
('AC04652-2022-11-02-160','A9-16','IOIaIXsieMZ', 'UB')
('AC22517-2022-11-02-190','A11-10','jbCoWuv', 'UB')
('SL04652-2022-11-02-152','S7-8','ZQvMNkzOHAP', 'SU')
('SL22517-2022-11-01-185','S8-17','Poru', 'LB')
('SL12058-2022-11-01-182','S8-14','SoqRUjOyF', 'UB')
('SL22517-2022-11-01-186','S8-18','lFXnikTVhms', 'MB')
('SL22517-2022-11-01-191','S8-23','IMyzXmGkjzoNdESi', 'SL')
('AC04652-2022-11-01-208','A12-10','f', 'UB')
('AC22517-2022-11-02-214','A12-16','wzXgJclyq', 'UB')
('AC22517-2022-11-02-215','A12-17','pxMJg', 'SL')
('AC22517-2022-11-01-209','A12-11','AInFOVB', 'SL')
('AC22517-2022-11-01-210','A12-12','deynYcyucJffbs', 'SU')
('SL22517-2022-11-01-211','S9-19','BhICFzFMOYxIzDyz', 'UB')
('SL22517-2022-11-02-207','S9-15','zKgEpoQn', 'SL')
('SL22517-2022-11-02-208','S9-16','RdCORBSBMHBZJe', 'SU')
('SL04652-2022-11-02-171','S8-3','AsnPpydtOJ', 'UB')
('AC22517-2022-11-02-216','A12-18','ypFtIFATWJzkG', 'SU')
('AC22517-2022-11-01-214','A12-16','uJymZzbIiR', 'UB')
('AC22517-2022-11-02-217','A13-1','rtyNoVbd', 'LB')
('AC22517-2022-11-02-219','A13-3','GpRSZgEZKIp', 'UB')
('SL22517-2022-11-01-214','S9-22','LmKvroDgQJ', 'UB')
('SL04652-2022-11-01-208','S9-16','k', 'SU')
('AC04652-2022-11-01-215','A12-17','jeipN', 'SL')
('AC22517-2022-11-01-215','A12-17','DiREjfgigas', 'SL')
('SL04652-2022-11-01-210','S9-18','ipqNMMCuDyvEgrL', 'MB')
('SL04652-2022-11-01-211','S9-19','AU', 'UB')
('SL04652-2022-11-02-205','S9-13','VHNboHxcj', 'MB')
('SL04652-2022-11-01-230','S10-14','PANXhrXA', 'UB')
('SL12058-2022-11-01-234','S10-18','FqqFYEkAkCKS', 'MB')
('SL12058-2022-11-01-235','S10-19','KuZmTzyoVugADkO', 'UB')
('AC12058-2022-11-01-238','A14-4','oGyPnYwUfokVlsq', 'UB')
('SL22517-2022-11-01-242','S11-2','mCgIsVoEKEGAVqas', 'MB')
('SL22517-2022-11-01-243','S11-3','uyZ', 'UB')
('AC04652-2022-11-02-218','A13-2','RXGOGszLKC', 'LB')
('SL04652-2022-11-02-206','S9-14','ilJHMIZ', 'UB')
('AC04652-2022-11-01-245','A14-11','ksn', 'SL')
('SL04652-2022-11-01-238','S10-22','iIsLzdlvcKrDtAYe', 'UB')
('SL12058-2022-11-01-237','S10-21','UdzHRfk', 'MB')
('SL12058-2022-11-01-238','S10-22','K', 'UB')
('SL04652-2022-11-02-211','S9-19','FBuxqZHHzjH', 'UB')
('AC12058-2022-11-01-246','A14-12','HgPeijZGhAQPcFAL', 'SU')
('AC22517-2022-11-01-237','A14-3','KaoLiYHj', 'UB')
('SL22517-2022-11-01-246','S11-6','ciBZxITNhTaTCQeQ', 'UB')
('SL04652-2022-11-01-243','S11-3','skG', 'UB')
('AC12058-2022-11-01-255','A15-3','ZqjWVhzYCKW', 'UB')
('SL22517-2022-11-01-250','S11-10','hGrv', 'MB')
('AC04652-2022-11-01-320','A18-14','Lrx', 'LB')
('AC04652-2022-11-02-285','A16-15','PcFGAltmIVCb', 'UB')
('SL04652-2022-11-01-293','S13-5','BZ', 'MB')
('SL22517-2022-11-01-301','S13-13','jGpCpLhp', 'MB')
('SL04652-2022-11-01-294','S13-6','gz', 'UB')
('SL22517-2022-11-02-297','S13-9','YvXBxiCDgv', 'LB')
('AC22517-2022-11-01-294','A17-6','qFTQLGtdWC', 'SU')
('SL22517-2022-11-02-301','S13-13','HjlyaxN', 'MB')
('SL22517-2022-11-02-310','S13-22','wQKvDGfGBoVWAD', 'UB')
('SL22517-2022-11-02-312','S13-24','BfaqAiiX', 'SU')
('SL12058-2022-11-01-314','S14-2','jyUqC', 'MB')
('SL04652-2022-11-01-311','S13-23','FgKsDbrmwUBg', 'SL')
('SL04652-2022-11-02-286','S12-22','TmaXuhXQhkNYarsN', 'UB')
('AC04652-2022-11-01-342','A19-18','lkaolPprt', 'SU')
('AC22517-2022-11-02-346','A20-4','lQyGvtebVKpv', 'UB')
('AC22517-2022-11-02-365','A21-5','gUkS', 'SL')
('SL04652-2022-11-02-305','S13-17','AkkQwIzVHXIwQ', 'LB')
('AC12058-2022-11-01-352','A20-10','DULFsQDVRWvB', 'UB')
('SL12058-2022-11-01-340','S15-4','gGKLtHfJ', 'LB')
('SL22517-2022-11-01-342','S15-6','ts', 'UB')
('SL04652-2022-11-01-330','S14-18','ccolEAeeyyMScnj', 'MB')
('SL12058-2022-11-01-342','S15-6','dvYKDpVjJjfBQFqq', 'UB')
('AC04652-2022-11-02-332','A19-8','NGVTJ', 'LB')
('AC22517-2022-11-02-389','A22-11','yH', 'SL')
('SL04652-2022-11-01-345','S15-9','AVcaXaFEgfrFgGMu', 'LB')
('AC04652-2022-11-02-349','A20-7','YsdQhcYLywce', 'LB')
('SL22517-2022-11-01-360','S15-24','Mo', 'SU')
('AC12058-2022-11-01-376','A21-16','syPTnbZdmVI', 'UB')
('SL22517-2022-11-02-346','S15-10','o', 'MB')
('AC12058-2022-11-01-377','A21-17','LGBnswQnngsY', 'SL')
('AC22517-2022-11-01-341','A19-17','Mm', 'SL')
('SL04652-2022-11-02-321','S14-9','SjidXMBWAlQd', 'LB')
('SL22517-2022-11-02-349','S15-13','jmFCOxwuLZITa', 'MB')
('SL22517-2022-11-01-366','S16-6','NYLoaNuukyNx', 'UB')
('SL22517-2022-11-02-351','S15-15','sPeDamBlVpDFHud', 'SL')
('AC04652-2022-11-01-389','A22-11','woo', 'SL')
('SL22517-2022-11-01-369','S16-9','MGzuMiqRsEBp', 'LB')
('AC04652-2022-11-01-390','A22-12','wltuDMEYVzvGZFYg', 'SU')
('AC22517-2022-11-02-407','A23-11','gKGor', 'SL')
('AC22517-2022-11-02-409','A23-13','WHrhAWR', 'LB')
('SL22517-2022-11-01-371','S16-11','whZsFdwSZQUuE', 'UB')
('AC22517-2022-11-01-348','A20-6','JGeAUBn', 'SU')
('SL04652-2022-11-01-362','S16-2','TnRrDSvc', 'MB')
('AC12058-2022-11-01-387','A22-9','Zrhz', 'UB')
('SL04652-2022-11-01-364','S16-4','rLlBZmIWAaJlPTEr', 'LB')
('SL22517-2022-11-01-375','S16-15','RNTbgwJbbDDs', 'SL')
('AC12058-2022-11-01-389','A22-11','eSONskaslfntK', 'SL')
('SL22517-2022-11-01-377','S16-17','tQBADhObPhDK', 'LB')
('SL04652-2022-11-02-335','S14-23','aavS', 'SL')
('AC04652-2022-11-02-370','A21-10','jDmPTuRuKX', 'UB')
('SL04652-2022-11-02-336','S14-24','WeyiFKmf', 'SU')
('SL12058-2022-11-01-380','S16-20','IGXFxsyLl', 'LB')
('SL04652-2022-11-01-368','S16-8','JVBQotWutoFBg', 'SU')
('SL04652-2022-11-01-369','S16-9','Ktx', 'LB')
('SL04652-2022-11-01-370','S16-10','OQLYuWbebe', 'MB')
