('SL22517-2022-11-01-20','S1-20','oDY', 'LB')
('SL12058-2022-11-01-27','S2-3','dBRLCqQA', 'UB')
('SL22517-2022-11-01-30','S2-6','JtKMCXm', 'UB')
('AC04652-2022-11-01-32','A2-14','WWpVIC', 'LB')
('AC22517-2022-11-02-66','A4-12','SSFRaVFIMyaErjMy', 'SU')
('SL22517-2022-11-01-72','S3-24','SP', 'SU')
('SL04652-2022-11-01-67','S3-19','zAcaSAtP', 'UB')
('AC22517-2022-11-02-68','A4-14','h', 'LB')
('AC22517-2022-11-01-65','A4-11','tNNcA', 'SL')
('SL04652-2022-11-02-58','S3-10','PPZlPSBAIhFS', 'MB')
('SL04652-2022-11-02-59','S3-11','MgxyfHNFIQYP', 'UB')
('AC22517-2022-11-01-69','A4-15','vPhqMu', 'UB')
('AC22517-2022-11-02-71','A4-17','DiTTUFkxO', 'SL')
('AC04652-2022-11-01-71','A4-17','xdRD', 'SL')
('SL04652-2022-11-02-63','S3-15','hYcOXHHP', 'SL')
('AC22517-2022-11-02-73','A5-1','DVYPzPvJIEfullSK', 'LB')
('AC04652-2022-11-01-72','A4-18','JgwPF', 'SU')
('AC04652-2022-11-01-73','A5-1','n', 'LB')
('SL04652-2022-11-02-67','S3-19','ZeZDLXPFVcpmJ', 'UB')
('SL04652-2022-11-02-68','S3-20','hwU', 'LB')
('SL04652-2022-11-01-71','S3-23','mrwIQ', 'SL')
('SL04652-2022-11-01-73','S4-1','MStRFOAnUwbQ', 'LB')
('AC04652-2022-11-02-68','A4-14','GvOj', 'LB')
('SL04652-2022-11-01-75','S4-3','afKeI', 'UB')
('AC22517-2022-11-02-80','A5-8','vSGHP', 'LB')
('AC22517-2022-11-02-81','A5-9','xTDFVtNbsAt', 'UB')
('AC04652-2022-11-01-77','A5-5','nMUTLP', 'SL')
('SL12058-2022-11-01-84','S4-12','MMtA', 'LB')
('AC22517-2022-11-01-94','A6-4','lQBeemBB', 'UB')
('SL12058-2022-11-01-86','S4-14','C', 'UB')
('AC22517-2022-11-01-96','A6-6','eSyi', 'SU')
('AC22517-2022-11-02-95','A6-5','LDmucvDhF', 'SL')
('AC04652-2022-11-01-87','A5-15','ODwvCWZ', 'UB')
('SL04652-2022-11-01-88','S4-16','kTfWJVb', 'SU')
('AC04652-2022-11-02-90','A5-18','pqlytyXgjd', 'SU')
('AC04652-2022-11-02-91','A6-1','AdxZgcJL', 'LB')
('SL22517-2022-11-02-87','S4-15','OXSu', 'SL')
('AC22517-2022-11-01-99','A6-9','HcHyMRedZOfEkMAt', 'UB')
('AC04652-2022-11-01-88','A5-16','OSFcoRNnge', 'UB')
('AC04652-2022-11-02-92','A6-2','NBDSeQtAgywDIR', 'LB')
('AC12058-2022-11-01-92','A6-2','BRocMA', 'LB')
('AC22517-2022-11-01-102','A6-12','JyYrlszwJGOhI', 'SU')
('AC04652-2022-11-02-95','A6-5','cPH', 'SL')
('SL12058-2022-11-01-102','S5-6','bpk', 'UB')
('SL22517-2022-11-02-94','S4-22','GspIIwoUI', 'UB')
