('AC04652-2022-11-02-233','A13-17','YfSpLRmwwS', 'SL')
('AC04652-2022-11-01-253','A15-1','d', 'LB')
('SL12058-2022-11-01-228','S10-12','vm', 'LB')
('AC04652-2022-11-01-255','A15-3','TlZOSwxJoEw', 'UB')
('SL22517-2022-11-01-239','S10-23','yaevVmFL', 'SL')
('AC22517-2022-11-01-228','A13-12','yQgGIXpUWE', 'SU')
('AC12058-2022-11-01-239','A14-5','DDyADgVSwQkALt', 'SL')
('AC04652-2022-11-01-259','A15-7','dlcEJYaUJWZufiB', 'LB')
('AC04652-2022-11-02-357','A20-15','DwhlOcEwXVsw', 'UB')
('AC04652-2022-11-02-358','A20-16','cONLSNnlLFA', 'UB')
('AC04652-2022-11-02-359','A20-17','PbGiWkKBucn', 'SL')
('SL04652-2022-11-02-340','S15-4','jVBkJLypADEIqr', 'LB')
('SL04652-2022-11-01-572','S24-20','gPdSQqDfynbYMz', 'LB')
('SL04652-2022-11-02-553','S24-1','MJTReahhj', 'LB')
('SL12058-2022-11-01-544','S23-16','PKzcQwQkijEK', 'SU')
('SL22517-2022-11-02-550','S23-22','pDeccnr', 'UB')
('SL04652-2022-11-02-554','S24-2','eCJAyWPAQRN', 'MB')
('SL22517-2022-11-02-552','S23-24','HKI', 'SU')
('AC12058-2022-11-01-532','A30-10','C', 'UB')
('SL22517-2022-11-01-563','S24-11','PDqAJn', 'UB')
('AC22517-2022-11-02-573','A32-15','QgkhyjqZ', 'UB')
('AC04652-2022-11-01-586','A33-10','maw', 'UB')
('SL12058-2022-11-01-545','S23-17','Y', 'LB')
('SL04652-2022-11-01-575','S24-23','aKUZA', 'SL')
('AC04652-2022-11-01-588','A33-12','D', 'SU')
('AC12058-2022-11-01-534','A30-12','ODIRAnARbghlwA', 'SU')
('AC22517-2022-11-01-551','A31-11','XizV', 'SL')
('SL12058-2022-11-01-547','S23-19','Sa', 'UB')
('AC22517-2022-11-01-553','A31-13','lgBLMF', 'LB')
('AC04652-2022-11-02-592','A33-16','WlG', 'UB')
('AC22517-2022-11-01-555','A31-15','PoeleYzsrp', 'UB')
('AC22517-2022-11-02-575','A32-17','IMAvqTwLqHbRTvUK', 'SL')
('SL22517-2022-11-01-568','S24-16','QBtZpMjVbXaQsz', 'SU')
('SL22517-2022-11-02-559','S24-7','SKHTdmiMeBU', 'SL')
