('SL12058-2022-11-01-175','S8-7','dXKgfuSBDPKiDjI', 'SL')
('AC12058-2022-11-01-192','A11-12','j', 'SU')
('AC04652-2022-11-01-208','A12-10','SDI', 'UB')
('AC12058-2022-11-01-195','A11-15','yihLobwKzyDN', 'UB')
('AC12058-2022-11-01-196','A11-16','xKFlfRpnYRzWJ', 'UB')
('AC22517-2022-11-01-175','A10-13','HfiipaAcFXBtl', 'LB')
('SL12058-2022-11-01-182','S8-14','AeuPkeVJAOhIrugv', 'UB')
('SL12058-2022-11-01-183','S8-15','zVQaaAfjEgGb', 'SL')
('SL22517-2022-11-01-184','S8-16','eqt', 'SU')
('AC22517-2022-11-01-178','A10-16','gVcIrEX', 'UB')
('AC22517-2022-11-01-180','A10-18','fpkpgxexVCIprwdr', 'SU')
('AC22517-2022-11-02-180','A10-18','QQSHxWkPQmDw', 'SU')
('AC04652-2022-11-01-213','A12-15','VWpWClHk', 'UB')
('AC04652-2022-11-02-194','A11-14','BGDANbeUWuibso', 'LB')
('SL04652-2022-11-02-202','S9-10','EA', 'MB')
('AC04652-2022-11-02-197','A11-17','DfgXdolVOd', 'SL')
('SL22517-2022-11-01-188','S8-20','MqiiychnqVep', 'LB')
('AC22517-2022-11-01-183','A11-3','YPZWKDUPSTbuZv', 'UB')
('AC22517-2022-11-01-184','A11-4','clQfsTWH', 'UB')
('AC04652-2022-11-01-216','A12-18','ZFmpufMStNS', 'SU')
('AC12058-2022-11-01-279','A16-9','dUKhutWqcQakOhv', 'UB')
('AC04652-2022-11-01-296','A17-8','YKEaMwjsVepbUx', 'LB')
('AC04652-2022-11-02-297','A17-9','inCfehbMfPqxp', 'UB')
('AC12058-2022-11-01-283','A16-13','dcyzYioHMHjtzD', 'LB')
('AC22517-2022-11-01-280','A16-10','cxQceAzAs', 'UB')
('SL04652-2022-11-01-306','S13-18','itCCVGRlZS', 'MB')
('AC04652-2022-11-02-300','A17-12','FkBTbxsZp', 'SU')
('AC22517-2022-11-02-270','A15-18','SW', 'SU')
('SL04652-2022-11-01-309','S13-21','hQuUGuclcHFtJge', 'MB')
('SL12058-2022-11-01-276','S12-12','u', 'LB')
('SL12058-2022-11-01-277','S12-13','Emts', 'MB')
('AC04652-2022-11-02-302','A17-14','XGqtZZDhD', 'LB')
('AC04652-2022-11-01-303','A17-15','nIwVzyctOhdv', 'UB')
('AC04652-2022-11-02-303','A17-15','nSsPcJOf', 'UB')
('AC22517-2022-11-01-285','A16-15','UBPacwQCQZiPKRqT', 'UB')
('SL04652-2022-11-01-310','S13-22','NgEHqaUk', 'UB')
('AC12058-2022-11-01-288','A16-18','DuG', 'SU')
('AC12058-2022-11-01-289','A17-1','zTIRUpLwbmaWPb', 'LB')
('SL04652-2022-11-02-295','S13-7','HU', 'SL')
('SL12058-2022-11-01-282','S12-18','sdtXxnhk', 'MB')
('AC12058-2022-11-01-292','A17-4','bHFcgcduSD', 'UB')
('AC04652-2022-11-02-309','A18-3','RJDSOEJRMvWY', 'UB')
('SL04652-2022-11-02-296','S13-8','CJsbcrjxthDv', 'SU')
('AC12058-2022-11-01-295','A17-7','nxGnGZwTEaC', 'LB')
('SL12058-2022-11-01-284','S12-20','LeEiNv', 'LB')
('AC04652-2022-11-02-311','A18-5','piTIR', 'SL')
('SL12058-2022-11-01-286','S12-22','sjFSSbIUxgtII', 'UB')
('SL04652-2022-11-01-316','S14-4','vhOmOcMeVR', 'LB')
('AC04652-2022-11-01-315','A18-9','MzgVYw', 'UB')
('AC12058-2022-11-01-299','A17-11','dwJPftKqbfsGUtU', 'SL')
('SL04652-2022-11-01-393','S17-9','lKfuyzYhSksQd', 'LB')
('AC04652-2022-11-01-402','A23-6','bBbJ', 'SU')
('AC04652-2022-11-01-404','A23-8','LuVQGu', 'LB')
('AC04652-2022-11-02-403','A23-7','huwHXCS', 'LB')
('SL04652-2022-11-01-396','S17-12','NbcttiTnR', 'LB')
('AC04652-2022-11-01-406','A23-10','BuIM', 'UB')
('AC22517-2022-11-02-385','A22-7','AkLrmPVIWcgCHfXQ', 'LB')
('AC04652-2022-11-02-409','A23-13','AtXH', 'LB')
('SL04652-2022-11-02-392','S17-8','J', 'SU')
('AC04652-2022-11-02-411','A23-15','yBbCqh', 'UB')
('AC22517-2022-11-02-395','A22-17','iCmNvY', 'SL')
('AC12058-2022-11-01-383','A22-5','JbpWjHLIYhMf', 'SL')
('AC22517-2022-11-01-387','A22-9','CmfjSQiGNteGD', 'UB')
('SL22517-2022-11-02-368','S16-8','HHF', 'SU')
('AC04652-2022-11-01-419','A24-5','XldELkKb', 'SL')
('SL22517-2022-11-01-400','S17-16','VrkJ', 'SU')
('AC22517-2022-11-02-400','A23-4','TErTLi', 'UB')
('AC04652-2022-11-02-417','A24-3','R', 'UB')
('SL04652-2022-11-01-413','S18-5','zMmiFAwUhjkGJX', 'MB')
('SL12058-2022-11-01-387','S17-3','Oe', 'UB')
('AC12058-2022-11-01-386','A22-8','LtQcl', 'LB')
('AC04652-2022-11-01-422','A24-8','TC', 'LB')
('SL22517-2022-11-01-401','S17-17','pXCMBHFynZn', 'LB')
('AC22517-2022-11-01-392','A22-14','huqBtyyCVoEoEAl', 'LB')
('AC04652-2022-11-01-425','A24-11','QrkYEW', 'SL')
('SL22517-2022-11-02-373','S16-13','zZHsomHlZnELjj', 'MB')
('SL04652-2022-11-02-404','S17-20','JBcQERlIhMPjMK', 'LB')
('AC22517-2022-11-01-397','A23-1','yWNPjSnFjNGGYEUi', 'LB')
('AC12058-2022-11-01-391','A22-13','ueoDWR', 'LB')
('SL12058-2022-11-01-393','S17-9','SNlVeNyt', 'LB')
('SL22517-2022-11-02-377','S16-17','oNKMxtdVne', 'LB')
('SL04652-2022-11-01-422','S18-14','NpKPMdub', 'UB')
('AC04652-2022-11-02-424','A24-10','j', 'UB')
('SL04652-2022-11-02-409','S18-1','RCfAZoYMdDAA', 'LB')
('SL04652-2022-11-01-426','S18-18','uthciAL', 'MB')
('SL22517-2022-11-01-410','S18-2','DvBL', 'MB')
('AC22517-2022-11-01-401','A23-5','wmirNtu', 'SL')
('SL22517-2022-11-01-411','S18-3','acbl', 'UB')
('AC04652-2022-11-02-430','A24-16','ExielFnTr', 'UB')
('SL22517-2022-11-01-412','S18-4','SBlHmSjOAyRkDp', 'LB')
('SL22517-2022-11-01-413','S18-5','YLjsnhhQEeermAMU', 'MB')
('AC04652-2022-11-01-436','A25-4','gxkAdxKfowr', 'UB')
('AC12058-2022-11-01-403','A23-7','xDzWITXZ', 'LB')
('AC04652-2022-11-02-435','A25-3','zFoppaxqMIDTUVz', 'UB')
('AC22517-2022-11-01-403','A23-7','nHNb', 'LB')
('AC04652-2022-11-01-437','A25-5','FZDtZsrgKbz', 'SL')
('SL22517-2022-11-01-415','S18-7','vAzuVDoowaSD', 'SL')
('AC12058-2022-11-01-409','A23-13','WCuMg', 'LB')
('SL12058-2022-11-01-409','S18-1','yKVfgKOPURcFS', 'LB')
('SL04652-2022-11-02-429','S18-21','vWZpqVXNSNugMI', 'MB')
('AC22517-2022-11-01-414','A23-18','USXJDLuLKJbG', 'SU')
('SL04652-2022-11-01-440','S19-8','uFNuLNsgE', 'SU')
('AC04652-2022-11-01-446','A25-14','fLoHgKlmxnZ', 'LB')
('SL12058-2022-11-01-410','S18-2','VYhWiNeVhGl', 'MB')
('AC22517-2022-11-01-416','A24-2','cuzEl', 'LB')
('AC04652-2022-11-02-449','A25-17','W', 'SL')
('SL04652-2022-11-02-433','S19-1','JmfIfUWQLE', 'LB')
('SL22517-2022-11-01-428','S18-20','YOMlQdaggzFhDcJC', 'LB')
('SL22517-2022-11-02-407','S17-23','jLTbt', 'SL')
('AC22517-2022-11-02-428','A24-14','Q', 'LB')
('SL04652-2022-11-01-444','S19-12','HorXnyUdWJkWE', 'LB')
('SL12058-2022-11-01-412','S18-4','dCtnYt', 'LB')
('SL04652-2022-11-01-445','S19-13','LiMxxBwGlWfSb', 'MB')
('AC04652-2022-11-02-453','A26-3','Pno', 'UB')
('SL04652-2022-11-01-446','S19-14','fsCbBml', 'UB')
('SL04652-2022-11-01-447','S19-15','beovcdxqvrLzar', 'SL')
('SL12058-2022-11-01-415','S18-7','Si', 'SL')
('SL22517-2022-11-01-436','S19-4','uCaPcHobwCZeba', 'LB')
('AC22517-2022-11-02-437','A25-5','xhmiPKK', 'SL')
