('SL12058-2022-11-01-1133','S48-5','udhGaWlU', 'MB')
('AC04652-2022-11-01-1155','A65-3','TRBTPbcWP', 'UB')
('SL04652-2022-11-02-1139','S48-11','X', 'UB')
('AC04652-2022-11-02-1193','A67-5','pGTLuYekQPMuMQWJ', 'SL')
('SL04652-2022-11-01-1165','S49-13','vGUY', 'MB')
('AC12058-2022-11-01-1119','A63-3','d', 'UB')
('SL12058-2022-11-01-1144','S48-16','AdfntJ', 'SU')
('AC04652-2022-11-02-1219','A68-13','NIV', 'LB')
('SL22517-2022-11-02-1238','S52-14','ZBSlav', 'UB')
('AC04652-2022-11-02-1273','A71-13','mnIwLrcZ', 'LB')
('SL04652-2022-11-02-1225','S52-1','tgDKcGeqrR', 'LB')
('AC04652-2022-11-01-1269','A71-9','ViMuyCqTEXUHA', 'UB')
('SL04652-2022-11-02-1262','S53-14','ndVpGIrNVX', 'UB')
('AC04652-2022-11-02-1309','A73-13','MHIpOcXrG', 'LB')
('AC22517-2022-11-02-1277','A71-17','RSvEOTf', 'SL')
('AC04652-2022-11-01-1279','A72-1','yY', 'LB')
('SL22517-2022-11-02-1269','S53-21','hjEfDHbQNeBPFuo', 'MB')
('AC22517-2022-11-02-1280','A72-2','CuyTCxwHx', 'LB')
('AC04652-2022-11-02-1314','A73-18','da', 'SU')
('AC04652-2022-11-01-1293','A72-15','PmANyslKQTxmGSIt', 'UB')
('SL04652-2022-11-02-1279','S54-7','PgmtFnG', 'SL')
('SL04652-2022-11-01-1279','S54-7','UubUW', 'SL')
('AC04652-2022-11-01-1296','A72-18','Fu', 'SU')
('AC22517-2022-11-01-1262','A71-2','jVduPMGohzaxQkp', 'LB')
('SL12058-2022-11-01-1258','S53-10','TrYKLhG', 'MB')
('AC22517-2022-11-01-1270','A71-10','mCsxvSsoOObiAAC', 'UB')
('SL22517-2022-11-02-1286','S54-14','cxqwxYc', 'UB')
('SL04652-2022-11-01-1289','S54-17','qlFZckxLyUbL', 'LB')
('SL12058-2022-11-01-1260','S53-12','iVWRbdabopF', 'LB')
('AC04652-2022-11-02-1330','A74-16','d', 'UB')
('SL22517-2022-11-02-1288','S54-16','zrpiu', 'SU')
('AC22517-2022-11-01-1311','A73-15','S', 'UB')
('SL04652-2022-11-02-1333','S56-13','AizzyhQYK', 'MB')
('SL04652-2022-11-02-1334','S56-14','oPoi', 'UB')
('AC22517-2022-11-02-1323','A74-9','Hle', 'UB')
('AC22517-2022-11-01-1316','A74-2','AjVZFVQjb', 'LB')
('AC12058-2022-11-01-1301','A73-5','DWcjpCiacTQf', 'SL')
('AC04652-2022-11-01-1355','A76-5','eIgOLahehcFg', 'SL')
('SL22517-2022-11-01-1354','S57-10','PJnrvveCe', 'MB')
('AC12058-2022-11-01-1304','A73-8','IUffWQZtYMx', 'LB')
('SL22517-2022-11-02-1326','S56-6','YPHAyvmWzbrB', 'UB')
('SL04652-2022-11-01-1336','S56-16','hkPZ', 'SU')
('AC04652-2022-11-01-1360','A76-10','rhcArD', 'UB')
('SL22517-2022-11-02-1334','S56-14','kGbzy', 'UB')
('AC12058-2022-11-01-1316','A74-2','lJqq', 'LB')
('SL12058-2022-11-01-1298','S55-2','E', 'MB')
('AC04652-2022-11-01-1367','A76-17','JVtnf', 'SL')
('AC12058-2022-11-01-1322','A74-8','LrrelDjPgBMfih', 'LB')
('AC22517-2022-11-02-1337','A75-5','PASOOshBFkv', 'SL')
('AC22517-2022-11-01-1329','A74-15','gMnVJROF', 'UB')
('AC04652-2022-11-02-1377','A77-9','vtAqyZvrrMzoHq', 'UB')
