('AC04652-2022-11-01-1730','A97-2','ZupvcVggEpzE', 'LB')
('AC22517-2022-11-02-1677','A94-3','fvpej', 'UB')
('SL04652-2022-11-01-1670','S70-14','U', 'UB')
('AC22517-2022-11-01-1704','A95-12','eqwnhGyfiRtB', 'SU')
('SL04652-2022-11-01-1672','S70-16','QjwQvyd', 'SU')
('AC22517-2022-11-01-1705','A95-13','umiOeeJKgfuhuVin', 'LB')
('AC22517-2022-11-01-1710','A95-18','bHUKvGpaf', 'SU')
('AC22517-2022-11-02-1691','A94-17','jZEOdprpj', 'SL')
('SL04652-2022-11-02-1694','S71-14','xmgncAZtAYx', 'UB')
('SL22517-2022-11-01-1699','S71-19','czPgXCQNheZz', 'UB')
('SL22517-2022-11-01-1700','S71-20','MU', 'LB')
('AC04652-2022-11-01-1750','A98-4','RFMtDfHpKMRnxD', 'UB')
('AC04652-2022-11-02-1711','A96-1','TgbvQaKqHLSVDC', 'LB')
('SL12058-2022-11-01-1664','S70-8','Xr', 'SU')
('SL04652-2022-11-02-1704','S71-24','sGDmkeWEmogQx', 'SU')
('AC04652-2022-11-01-1811','A101-11','TrIvPI', 'SL')
('SL22517-2022-11-02-1732','S73-4','kaZDXL', 'LB')
('SL04652-2022-11-02-1759','S74-7','Hwh', 'SL')
('SL12058-2022-11-01-1721','S72-17','BYnXRKKgtEwTiDON', 'LB')
('AC12058-2022-11-01-1735','A97-7','PlG', 'LB')
('AC04652-2022-11-02-1773','A99-9','cKPEH', 'UB')
('AC04652-2022-11-01-1817','A101-17','bCQumRCBQoaiz', 'SL')
('SL22517-2022-11-02-1739','S73-11','SqYe', 'UB')
('AC04652-2022-11-01-1819','A102-1','jXUcCwTsdiQARq', 'LB')
('AC04652-2022-11-02-1780','A99-16','JVOCZVjOowtKgH', 'UB')
('AC04652-2022-11-01-1849','A103-13','VNPXCAofO', 'LB')
('AC12058-2022-11-01-1771','A99-7','FdhOcyxgkWpVR', 'LB')
('AC22517-2022-11-01-1832','A102-14','jbz', 'LB')
('SL22517-2022-11-01-1806','S76-6','hXatJ', 'UB')
('AC22517-2022-11-02-1824','A102-6','wCqggfHZzrdg', 'SU')
('AC04652-2022-11-01-1899','A106-9','pYdAfLOUNDHn', 'UB')
('AC04652-2022-11-02-1849','A103-13','HIgWWOXvc', 'LB')
('AC12058-2022-11-01-1826','A102-8','mJQOGQnhveNwA', 'LB')
('AC04652-2022-11-01-1902','A106-12','c', 'SU')
('SL12058-2022-11-01-1808','S76-8','qt', 'SU')
('SL22517-2022-11-02-1830','S77-6','mSuVuhPOd', 'UB')
('AC04652-2022-11-02-1857','A104-3','PSXTgNWn', 'UB')
('SL22517-2022-11-02-1844','S77-20','teQKweL', 'LB')
('AC04652-2022-11-01-1925','A107-17','pyUA', 'SL')
('SL12058-2022-11-01-1834','S77-10','gufnXMbt', 'MB')
('SL04652-2022-11-01-1853','S78-5','hoQwLUYJ', 'MB')
('SL22517-2022-11-02-1851','S78-3','TnFCdgg', 'UB')
('AC22517-2022-11-01-1902','A106-12','OkAQcBEHe', 'SU')
('AC04652-2022-11-02-1868','A104-14','RmzZNCflvsi', 'LB')
('AC04652-2022-11-01-1936','A108-10','AjWAIdazuRHgY', 'UB')
('SL22517-2022-11-01-1886','S79-14','VBBpEuaSkq', 'UB')
('SL12058-2022-11-01-1849','S78-1','ZCPhUxbRsXcUmTYF', 'LB')
('SL22517-2022-11-01-1893','S79-21','iVHtcxfFWGOc', 'MB')
('AC04652-2022-11-01-1949','A109-5','IdhetG', 'SL')
('SL22517-2022-11-01-1899','S80-3','Mysr', 'UB')
('SL22517-2022-11-01-1900','S80-4','GajRzV', 'LB')
('AC22517-2022-11-01-1919','A107-11','iIXLbGhlYqjO', 'SL')
('SL04652-2022-11-02-1887','S79-15','VZ', 'SL')
('SL04652-2022-11-02-1888','S79-16','JrkyrvtjPAwo', 'SU')
('SL12058-2022-11-01-1860','S78-12','KZnh', 'LB')
('SL22517-2022-11-01-1906','S80-10','HBWHohBzhY', 'MB')
('SL22517-2022-11-01-1907','S80-11','kUHHwuCsUZX', 'UB')
('AC04652-2022-11-01-1955','A109-11','Fa', 'SL')
('AC04652-2022-11-01-1956','A109-12','ljIcwFLyWpqGJ', 'SU')
('SL12058-2022-11-01-1865','S78-17','colZkOguiiNKRBes', 'LB')
('AC04652-2022-11-01-1959','A109-15','cJWJioaPHSegziRn', 'UB')
('SL04652-2022-11-02-1898','S80-2','hzhd', 'MB')
('SL12058-2022-11-01-1868','S78-20','qxnWs', 'LB')
('SL22517-2022-11-01-1916','S80-20','cWptH', 'LB')
('AC04652-2022-11-01-1962','A109-18','cQrFezvmyAMY', 'SU')
('AC22517-2022-11-01-1933','A108-7','eDHdAniYwi', 'LB')
('AC22517-2022-11-02-1875','A105-3','Jy', 'UB')
('SL04652-2022-11-02-1914','S80-18','HByHiuHNfFz', 'MB')
('SL22517-2022-11-01-1928','S81-8','SSmljeB', 'SU')
('AC22517-2022-11-01-1949','A109-5','gey', 'SL')
('SL04652-2022-11-02-1920','S80-24','cqjkCAoehpqE', 'SU')
('AC22517-2022-11-02-1891','A106-1','SYSxNpXPEBY', 'LB')
('AC22517-2022-11-01-1951','A109-7','SONSjGMz', 'LB')
('AC22517-2022-11-01-1953','A109-9','FOkA', 'UB')
('AC22517-2022-11-02-1894','A106-4','VDAPTywdaJN', 'UB')
('SL22517-2022-11-02-1891','S79-19','PUuu', 'UB')
('AC04652-2022-11-01-1996','A111-16','ycvCGFYFFqyOLG', 'UB')
('SL04652-2022-11-01-1916','S80-20','swFvgsuoVa', 'LB')
('SL12058-2022-11-01-1905','S80-9','qUyFwaeoTU', 'LB')
('SL04652-2022-11-02-1939','S81-19','BlzyCtSOnfYw', 'UB')
('AC04652-2022-11-02-1930','A108-4','ffjfQIpXkS', 'UB')
('AC04652-2022-11-02-1936','A108-10','OfMdhncshLWS', 'UB')
('AC22517-2022-11-02-1909','A107-1','mlCnrHrISzdtL', 'LB')
('SL22517-2022-11-01-1950','S82-6','fdsQB', 'UB')
('AC04652-2022-11-02-1938','A108-12','OI', 'SU')
('SL04652-2022-11-02-1944','S81-24','fnCmv', 'SU')
('AC22517-2022-11-01-1969','A110-7','pol', 'LB')
('AC04652-2022-11-02-1939','A108-13','XJhoZPMnTaIXn', 'LB')
('AC04652-2022-11-02-1940','A108-14','wFFDce', 'LB')
('SL04652-2022-11-02-1947','S82-3','JzMLatuFnT', 'UB')
('SL04652-2022-11-02-1951','S82-7','CfXEzOISfvGKUqKY', 'SL')
('AC22517-2022-11-01-1971','A110-9','AOBi', 'UB')
('SL04652-2022-11-02-1953','S82-9','kGrsEZKQEq', 'LB')
('AC12058-2022-11-01-1900','A106-10','OeCAHe', 'UB')
('SL04652-2022-11-02-1956','S82-12','YAQdFITOHWFiyLb', 'LB')
('AC22517-2022-11-02-1919','A107-11','vbpwshK', 'SL')
('AC04652-2022-11-01-2015','A112-17','rFuQVgmn', 'SL')
('AC22517-2022-11-02-1920','A107-12','NcMpOMljIvUUK', 'SU')
('SL04652-2022-11-01-1929','S81-9','exi', 'LB')
('SL12058-2022-11-01-1911','S80-15','YETIeKXXUkcfzVl', 'SL')
('AC12058-2022-11-01-1906','A106-16','Vu', 'UB')
('SL22517-2022-11-02-1929','S81-9','HWEHWPxCPJNqQnX', 'LB')
('SL22517-2022-11-01-1959','S82-15','iDzbWyY', 'SL')
('SL12058-2022-11-01-1913','S80-17','hxysCUYYXocNEQX', 'LB')
('SL04652-2022-11-02-1962','S82-18','EUWPHsaRXPvotAhh', 'MB')
('SL22517-2022-11-01-1960','S82-16','Lu', 'SU')
('SL04652-2022-11-01-1934','S81-14','OFCNpXeuCyZZbP', 'UB')
('SL22517-2022-11-01-1961','S82-17','ZzSbriOHyY', 'LB')
('SL04652-2022-11-01-1936','S81-16','t', 'SU')
('AC12058-2022-11-01-1971','A110-9','QnPzjT', 'UB')
('AC04652-2022-11-02-1986','A111-6','OxdYVP', 'SU')
('SL12058-2022-11-01-1977','S83-9','bxy', 'LB')
('SL22517-2022-11-02-1989','S83-21','VPuzdsZ', 'MB')
('SL22517-2022-11-01-2015','S84-23','AlerMq', 'SL')
('SL22517-2022-11-02-1990','S83-22','MLHn', 'UB')
('SL04652-2022-11-02-2017','S85-1','mZQm', 'LB')
('SL04652-2022-11-01-1992','S83-24','OR', 'SU')
('SL22517-2022-11-02-1993','S84-1','noPtcRNBnlIdl', 'LB')
('AC12058-2022-11-01-1995','A111-15','bQvbHvvopeOI', 'UB')
