('SL04652-2022-11-01-197','S9-5','wNhJQmB', 'MB')
('SL04652-2022-11-02-194','S9-2','mFLsBCQZUUvjwxl', 'MB')
('AC22517-2022-11-02-177','A10-15','wNMMYvTAXnpiIqt', 'UB')
('SL22517-2022-11-01-185','S8-17','Qorbno', 'LB')
('AC12058-2022-11-01-202','A12-4','RQk', 'UB')
('SL12058-2022-11-01-204','S9-12','nci', 'LB')
('AC22517-2022-11-02-196','A11-16','NBskokKp', 'UB')
('AC22517-2022-11-01-198','A11-18','vpwLvWzxs', 'SU')
('SL12058-2022-11-01-206','S9-14','NOqNIFQaCfGmsman', 'UB')
('SL22517-2022-11-02-183','S8-15','Y', 'SL')
('AC12058-2022-11-01-208','A12-10','hcs', 'UB')
('AC22517-2022-11-02-198','A11-18','ttqvEgFDA', 'SU')
('SL22517-2022-11-02-195','S9-3','USUAfJqw', 'UB')
('SL04652-2022-11-02-220','S10-4','OtUXCATwanGeSa', 'LB')
('AC22517-2022-11-02-210','A12-12','fuZaaWRulYLRP', 'SU')
('SL04652-2022-11-02-222','S10-6','WnZmYE', 'UB')
('SL22517-2022-11-01-210','S9-18','wZcJOCtl', 'MB')
('AC22517-2022-11-01-204','A12-6','jFlPjdjMNfNtDi', 'SU')
('AC04652-2022-11-02-222','A13-6','NwtvDAghdsxRCSi', 'SU')
('AC22517-2022-11-01-208','A12-10','jvZKRundCRP', 'UB')
('AC22517-2022-11-01-209','A12-11','wkElsRAFaWh', 'SL')
('SL12058-2022-11-01-216','S9-24','NypTwHwGiPfRJ', 'SU')
('AC22517-2022-11-01-211','A12-13','OBRHQ', 'LB')
('SL12058-2022-11-01-218','S10-2','crPlCmjCirGSDlh', 'MB')
('AC12058-2022-11-01-222','A13-6','Qa', 'SU')
('AC04652-2022-11-01-240','A14-6','dqhrRlaSRmjfMUu', 'SU')
('AC22517-2022-11-01-212','A12-14','llpyDulwjorD', 'LB')
('AC12058-2022-11-01-223','A13-7','x', 'LB')
('AC12058-2022-11-01-225','A13-9','GNq', 'UB')
('AC04652-2022-11-01-245','A14-11','uiXwTO', 'SL')
('AC22517-2022-11-01-217','A13-1','hWHIqcRDGQpAqk', 'LB')
('AC12058-2022-11-01-227','A13-11','BxGatDIKlDT', 'SL')
('SL04652-2022-11-01-237','S10-21','EGJMRYiykjvFpVrM', 'MB')
('SL22517-2022-11-02-207','S9-15','YTMEFwzkv', 'SL')
('SL22517-2022-11-02-208','S9-16','VTeaZLHTntSVVV', 'SU')
('AC04652-2022-11-01-252','A14-18','ixAwBcMqbUB', 'SU')
('SL22517-2022-11-02-211','S9-19','RO', 'UB')
('AC12058-2022-11-01-233','A13-17','EuoFlztduSPxb', 'SL')
('AC04652-2022-11-01-254','A15-2','QHe', 'LB')
('SL22517-2022-11-01-238','S10-22','kjYxVEAzGoTh', 'UB')
('AC12058-2022-11-01-236','A14-2','UZmoaOVIZj', 'LB')
('AC22517-2022-11-02-224','A13-8','xkboZDLRN', 'LB')
