('AC12058-2022-11-01-17756','A987-8','UmRniRJgqAkZYNVo', 'LB')
('AC22517-2022-11-02-17921','A996-11','hbkLlMN', 'SL')
('SL12058-2022-11-01-17732','S739-20','GevulmFgHMdvynlz', 'LB')
('SL22517-2022-11-02-17926','S747-22','HnfUivngMDVrcTQ', 'UB')
('AC12058-2022-11-01-17761','A987-13','grv', 'LB')
('AC04652-2022-11-01-17876','A994-2','oXFadeREhNDyY', 'LB')
('SL22517-2022-11-02-17929','S748-1','vTOW', 'LB')
('AC12058-2022-11-01-17765','A987-17','HR', 'SL')
('AC22517-2022-11-01-17923','A996-13','GGgtYL', 'LB')
('AC04652-2022-11-01-17881','A994-7','dwFShjZQkeuo', 'LB')
ERROR: Not enough seats left in train: 04652s-ACs on: 2022-11-02s
('SL12058-2022-11-01-17737','S740-1','VwFEmcnVkDrQGCH', 'LB')
('AC22517-2022-11-01-17926','A996-16','lImTVSGhGtYWHc', 'UB')
('SL12058-2022-11-01-17739','S740-3','UUaXjCfvvzeDFMz', 'UB')
('SL04652-2022-11-01-17948','S748-20','CVrWEmiEgGYFbUh', 'LB')
('SL04652-2022-11-02-17838','S744-6','jpIE', 'UB')
('SL22517-2022-11-01-17728','S739-16','FnEKh', 'SU')
ERROR: Not enough seats left in train: 04652s-ACs on: 2022-11-02s
('SL12058-2022-11-01-17741','S740-5','OiTwMvogIsyrL', 'MB')
('AC12058-2022-11-01-17771','A988-5','WU', 'SL')
('SL04652-2022-11-02-17839','S744-7','B', 'SL')
('SL22517-2022-11-01-17730','S739-18','MNTxHMeqFrDYSg', 'MB')
('AC12058-2022-11-01-17772','A988-6','XCQYyRsOcrjxIh', 'SU')
('SL12058-2022-11-01-17743','S740-7','DfGlGOccBEPMe', 'SL')
('SL22517-2022-11-01-17731','S739-19','onEWZ', 'UB')
('SL22517-2022-11-01-17732','S739-20','HMGnu', 'LB')
('SL04652-2022-11-02-17841','S744-9','t', 'LB')
('AC04652-2022-11-01-17889','A994-15','qfZOWcahePNBaShx', 'UB')
('SL04652-2022-11-02-17843','S744-11','XqTfSuplsMxTB', 'UB')
('SL22517-2022-11-02-17942','S748-14','J', 'UB')
('SL22517-2022-11-01-17739','S740-3','JOyhRJIbUqYExJ', 'UB')
('AC22517-2022-11-02-17931','A997-3','dAhXkJYZbRUkvLq', 'UB')
('SL22517-2022-11-02-17944','S748-16','ZvG', 'SU')
('AC22517-2022-11-01-17931','A997-3','patNCt', 'UB')
('AC22517-2022-11-01-17932','A997-4','KVkfzU', 'UB')
('SL04652-2022-11-02-17851','S744-19','XJEHEwKEwfThs', 'UB')
('SL04652-2022-11-02-17852','S744-20','tACWRXURhHsTMsiz', 'LB')
('AC04652-2022-11-01-17895','A995-3','McPqinIVqqBh', 'UB')
('SL12058-2022-11-01-17752','S740-16','x', 'SU')
('SL12058-2022-11-01-17753','S740-17','NV', 'LB')
('SL22517-2022-11-01-17743','S740-7','xPsWCTETh', 'SL')
('AC22517-2022-11-02-17936','A997-8','wbQmH', 'LB')
('AC04652-2022-11-01-17900','A995-8','qPVeo', 'LB')
('AC12058-2022-11-01-17775','A988-9','WgsMLZFdtplaG', 'UB')
('SL04652-2022-11-01-17967','S749-15','ycBectNEMkSgSZ', 'SL')
('SL22517-2022-11-02-17948','S748-20','axNUktW', 'LB')
('SL04652-2022-11-01-17968','S749-16','Kz', 'SU')
('AC04652-2022-11-01-17904','A995-12','TsWlLC', 'SU')
('AC12058-2022-11-01-17777','A988-11','lXtRfjqnKexUSzsE', 'SL')
('AC22517-2022-11-02-17938','A997-10','niAOoIgB', 'UB')
('AC22517-2022-11-01-17938','A997-10','mBngfpvYluH', 'UB')
('AC22517-2022-11-02-17939','A997-11','RATym', 'SL')
('SL04652-2022-11-01-17971','S749-19','e', 'UB')
('SL04652-2022-11-01-17972','S749-20','MqrWkbRlUThsrO', 'LB')
('SL04652-2022-11-02-17862','S745-6','JJrbAXWpkHo', 'UB')
('SL04652-2022-11-02-17863','S745-7','pSlRHSEhGmE', 'SL')
('AC12058-2022-11-01-17779','A988-13','EVxJYciiHezR', 'LB')
('AC04652-2022-11-01-17908','A995-16','n', 'UB')
('SL22517-2022-11-02-17954','S749-2','NalYTivWwxCPXr', 'MB')
('AC04652-2022-11-01-17910','A995-18','OhBeO', 'SU')
('SL22517-2022-11-02-17956','S749-4','ITEMqufiF', 'LB')
('SL04652-2022-11-01-17980','S750-4','oP', 'LB')
('AC22517-2022-11-02-17944','A997-16','iFQPBIxce', 'UB')
('SL04652-2022-11-01-17982','S750-6','JDp', 'UB')
('AC22517-2022-11-01-17944','A997-16','xCIA', 'UB')
('AC04652-2022-11-01-17915','A996-5','ejnOkDomxAan', 'SL')
('AC22517-2022-11-01-17946','A997-18','N', 'SU')
('AC22517-2022-11-01-17947','A998-1','hdjIcDJ', 'LB')
('AC04652-2022-11-01-17919','A996-9','xFTtpeysHb', 'UB')
('AC22517-2022-11-02-17950','A998-4','NHXuqunSq', 'UB')
('AC04652-2022-11-01-17920','A996-10','EOQfhqrSQOLOzFwH', 'UB')
('SL22517-2022-11-01-17756','S740-20','eKoUPirTMXYOEqB', 'LB')
('AC22517-2022-11-02-17951','A998-5','KX', 'SL')
('AC22517-2022-11-01-17949','A998-3','GxLCJYL', 'UB')
('AC12058-2022-11-01-17782','A988-16','o', 'UB')
('AC22517-2022-11-01-17950','A998-4','DdACaYImzXVqsJ', 'UB')
('AC12058-2022-11-01-17783','A988-17','KBsRmHcHGrG', 'SL')
('SL12058-2022-11-01-17771','S741-11','OcYdaaFC', 'UB')
ERROR: Not enough seats left in train: 04652s-ACs on: 2022-11-02s
('AC22517-2022-11-01-17953','A998-7','KyvoMShLZ', 'LB')
ERROR: Not enough seats left in train: 04652s-ACs on: 2022-11-02s
('SL04652-2022-11-02-17871','S745-15','regouNldUXfBjfmr', 'SL')
('SL12058-2022-11-01-17778','S741-18','OzwDsSwMycp', 'MB')
('AC04652-2022-11-01-17926','A996-16','OxsUKHZD', 'UB')
('AC22517-2022-11-01-17958','A998-12','GHyQ', 'SU')
ERROR: Not enough seats left in train: 04652s-ACs on: 2022-11-02s
('AC22517-2022-11-01-17959','A998-13','tsa', 'LB')
('SL22517-2022-11-02-17966','S749-14','nLxCTYwJzwh', 'UB')
('SL04652-2022-11-02-17875','S745-19','G', 'UB')
('SL04652-2022-11-02-17876','S745-20','bRQdeIao', 'LB')
('SL22517-2022-11-02-17968','S749-16','tkKKfbLoWhjuwEs', 'SU')
('AC22517-2022-11-02-17958','A998-12','YntIaILwHAV', 'SU')
ERROR: Not enough seats left in train: 04652s-ACs on: 2022-11-02s
('AC04652-2022-11-01-17932','A997-4','ntU', 'UB')
('SL22517-2022-11-01-17768','S741-8','xsMBmSOdM', 'SU')
('SL04652-2022-11-02-17880','S745-24','mtHxv', 'SU')
('AC04652-2022-11-01-17936','A997-8','eBB', 'LB')
('AC12058-2022-11-01-17794','A989-10','NjKkPbhiu', 'UB')
('SL12058-2022-11-01-17792','S742-8','jDtsnHgkp', 'SU')
('AC22517-2022-11-01-17968','A999-4','ccuXxCtWCmY', 'UB')
('SL04652-2022-11-01-17997','S750-21','d', 'MB')
('SL04652-2022-11-01-17998','S750-22','ZlAidyarYJd', 'UB')
('AC12058-2022-11-01-17798','A989-14','UsNnb', 'LB')
('AC04652-2022-11-01-17938','A997-10','xIhCXbxb', 'UB')
