('SL04652-2022-11-02-4719','S197-15','zrRrZAQJGkTlsUpR', 'SL')
('SL22517-2022-11-02-4676','S195-20','QeAZU', 'LB')
('SL12058-2022-11-01-4670','S195-14','gdupzC', 'UB')
('AC04652-2022-11-01-4996','A278-10','ApBw', 'UB')
('AC22517-2022-11-01-4810','A268-4','zUQV', 'UB')
('SL22517-2022-11-01-4703','S196-23','oIXLbmfao', 'SL')
('SL22517-2022-11-01-4704','S196-24','NcDwkGpVad', 'SU')
('SL12058-2022-11-01-4708','S197-4','DkdQt', 'LB')
('SL22517-2022-11-01-4766','S199-14','StXv', 'UB')
('SL04652-2022-11-02-4816','S201-16','NvcmFpSk', 'SU')
('SL04652-2022-11-02-4819','S201-19','papcanXrxWe', 'UB')
('AC04652-2022-11-02-4878','A271-18','RRsXSCFNxXLuVbJ', 'SU')
('AC04652-2022-11-01-5098','A284-4','EbkWHMWuzIT', 'UB')
('SL22517-2022-11-02-4778','S200-2','LuFoVWgnxA', 'MB')
('SL04652-2022-11-02-4834','S202-10','UJJIngEqJVDUV', 'MB')
('SL04652-2022-11-01-4818','S201-18','txwNMo', 'MB')
('SL12058-2022-11-01-4766','S199-14','qrz', 'UB')
('SL22517-2022-11-02-4783','S200-7','hLKxvQfFeCLjlL', 'SL')
('AC04652-2022-11-01-5103','A284-9','QiDdYAwjIHn', 'UB')
('SL04652-2022-11-01-4823','S201-23','aNKbFRxlOm', 'SL')
('SL04652-2022-11-01-4824','S201-24','vRXeqiu', 'SU')
('AC12058-2022-11-01-4879','A272-1','BhNesoZ', 'LB')
('SL04652-2022-11-01-4827','S202-3','MzfgcOiQeGRCthHF', 'UB')
('SL22517-2022-11-01-4807','S201-7','awXTYPYc', 'SL')
('AC04652-2022-11-02-4898','A273-2','pJunCJ', 'LB')
('SL12058-2022-11-01-4779','S200-3','cI', 'UB')
('AC12058-2022-11-01-4887','A272-9','ckRsXj', 'UB')
('AC04652-2022-11-01-5117','A285-5','tpWGZEizC', 'SL')
('AC22517-2022-11-02-4938','A275-6','yQl', 'SU')
('SL04652-2022-11-02-4856','S203-8','eItxXNr', 'SU')
('SL22517-2022-11-01-4818','S201-18','JLDhmMnjsl', 'MB')
('SL04652-2022-11-02-4859','S203-11','cJDVb', 'UB')
('SL12058-2022-11-01-4789','S200-13','XaPjk', 'MB')
('AC12058-2022-11-01-4895','A272-17','dQ', 'SL')
('SL04652-2022-11-01-4844','S202-20','TSYAWc', 'LB')
('SL12058-2022-11-01-4791','S200-15','UvKCIRcTPfsGwj', 'SL')
('AC04652-2022-11-02-4963','A276-13','tyYZGT', 'LB')
('AC04652-2022-11-02-5004','A278-18','vDz', 'SU')
('AC04652-2022-11-01-5210','A290-8','BgGtyQAtDMP', 'LB')
('AC22517-2022-11-02-5035','A280-13','mDQlGhpVkvldd', 'LB')
('AC22517-2022-11-02-5036','A280-14','kmkpiNZEXR', 'LB')
('SL22517-2022-11-01-4898','S205-2','vqfsmQsjaLg', 'MB')
('AC22517-2022-11-01-5011','A279-7','bEiyKyJIn', 'LB')
('SL22517-2022-11-02-4908','S205-12','NJtsCrfzqmOPeV', 'LB')
('AC12058-2022-11-01-4993','A278-7','TopKYv', 'LB')
('SL12058-2022-11-01-4875','S204-3','NwvA', 'UB')
('AC22517-2022-11-01-5022','A279-18','QCbABO', 'SU')
('SL04652-2022-11-01-4937','S206-17','NIXmvsE', 'LB')
('SL04652-2022-11-02-4951','S207-7','zSzyOYmBL', 'SL')
('SL22517-2022-11-01-4910','S205-14','aUTrhgPO', 'UB')
('AC04652-2022-11-01-5237','A291-17','MXCLCGWEjXAkaOXb', 'SL')
('SL22517-2022-11-02-4945','S207-1','WEMObMbOqqi', 'LB')
('SL04652-2022-11-02-4982','S208-14','YhXKrnYfDrFyy', 'UB')
('SL04652-2022-11-02-4983','S208-15','Ipbyu', 'SL')
('SL04652-2022-11-02-4984','S208-16','wLscIN', 'SU')
