('SL12058-2022-11-01-4988','S208-20','ZyEnunWOI', 'LB')
('AC22517-2022-11-01-5145','A286-15','fMhKFDiilVrRa', 'UB')
('AC22517-2022-11-01-5151','A287-3','qYY', 'UB')
('SL22517-2022-11-02-5100','S213-12','O', 'LB')
('SL04652-2022-11-02-5136','S214-24','GnaxtwQjJVsTk', 'SU')
('SL04652-2022-11-02-5137','S215-1','Agy', 'LB')
('AC22517-2022-11-01-5188','A289-4','DrZlyAsxLLYppWG', 'UB')
('SL04652-2022-11-02-5138','S215-2','dzVLhXWcMNW', 'MB')
('AC12058-2022-11-01-5174','A288-8','SrjMv', 'LB')
('SL04652-2022-11-02-5145','S215-9','MsyVoxkIkb', 'LB')
('AC12058-2022-11-01-5184','A288-18','qyCxoggIAjnXfJl', 'SU')
('SL12058-2022-11-01-5047','S211-7','w', 'SL')
('AC12058-2022-11-01-5187','A289-3','WuMTVUUMdkwJVK', 'UB')
('AC22517-2022-11-01-5202','A289-18','pAnHtPVgblH', 'SU')
('AC22517-2022-11-02-5245','A292-7','qTgE', 'LB')
('SL04652-2022-11-01-5115','S214-3','FlMmlhH', 'UB')
('AC22517-2022-11-02-5247','A292-9','eA', 'UB')
('AC22517-2022-11-02-5250','A292-12','CdNGXYT', 'SU')
('AC22517-2022-11-01-5209','A290-7','mvGfajR', 'LB')
('SL12058-2022-11-01-5058','S211-18','ha', 'MB')
('SL12058-2022-11-01-5072','S212-8','mP', 'SU')
('AC22517-2022-11-02-5262','A293-6','Xnn', 'SU')
('SL04652-2022-11-02-5182','S216-22','QNJijBbIN', 'UB')
('AC12058-2022-11-01-5221','A291-1','JYZMMXsTEG', 'LB')
('AC22517-2022-11-02-5281','A294-7','KspjHxgbiVaAUN', 'LB')
('AC04652-2022-11-01-5465','A304-11','w', 'SL')
('AC04652-2022-11-01-5508','A306-18','eVeIlcBRT', 'SU')
('SL12058-2022-11-01-5217','S218-9','ZzCYesvNgKvrUVTv', 'LB')
('AC04652-2022-11-01-5565','A310-3','ZUvg', 'UB')
('SL04652-2022-11-01-5252','S219-20','yablZNLUOJ', 'LB')
('SL12058-2022-11-01-5220','S218-12','jnTJ', 'LB')
('AC22517-2022-11-01-5354','A298-8','TOkHYZBsKt', 'LB')
('AC12058-2022-11-01-5337','A297-9','niJuOCOXqWon', 'UB')
('AC22517-2022-11-02-5396','A300-14','zMTWxTAoAv', 'LB')
('SL04652-2022-11-01-5257','S220-1','WzCOLuauNqqVnEfN', 'LB')
('SL12058-2022-11-01-5229','S218-21','wfaCzCKysyhOZ', 'MB')
('SL22517-2022-11-01-5244','S219-12','aWstNCIBnNbq', 'LB')
('AC04652-2022-11-01-5575','A310-13','ndaW', 'LB')
('AC04652-2022-11-01-5577','A310-15','SiBiZSFrNpii', 'UB')
