('AC22517-2022-11-02-4216','A235-4','cTmBYlcAoxl', 'UB')
('AC22517-2022-11-01-4129','A230-7','EdrtIExtM', 'LB')
('AC22517-2022-11-02-4218','A235-6','tBxepTXOkjR', 'SU')
('AC04652-2022-11-01-4132','A230-10','rctjPbOxl', 'UB')
('SL22517-2022-11-01-4123','S172-19','pZTtSwOMiFGA', 'UB')
('SL22517-2022-11-02-4209','S176-9','w', 'LB')
('AC22517-2022-11-02-4221','A235-9','kzwDF', 'UB')
('SL22517-2022-11-01-4124','S172-20','dVToKwLSsvK', 'LB')
('AC22517-2022-11-02-4222','A235-10','BItxU', 'UB')
('SL22517-2022-11-02-4212','S176-12','d', 'LB')
('SL22517-2022-11-02-4214','S176-14','McpSkBDVQsEpv', 'UB')
('AC22517-2022-11-01-4136','A230-14','zoPRUo', 'LB')
('SL22517-2022-11-02-4217','S176-17','sgiZu', 'LB')
('SL12058-2022-11-01-4132','S173-4','ZGTwM', 'LB')
('AC04652-2022-11-01-4138','A230-16','AEWxUF', 'UB')
('AC04652-2022-11-01-4139','A230-17','WuBPnBLPBdNNJ', 'SL')
('AC04652-2022-11-02-4197','A234-3','uYUxlp', 'UB')
('AC22517-2022-11-02-4231','A236-1','V', 'LB')
('AC04652-2022-11-01-4143','A231-3','WvcKzHFvTonh', 'UB')
('SL04652-2022-11-01-4220','S176-20','VVrPCjctp', 'LB')
('AC04652-2022-11-01-4144','A231-4','BnsyQSniROwf', 'UB')
('AC04652-2022-11-01-4145','A231-5','KQofkcMYePfqV', 'SL')
('SL22517-2022-11-02-4221','S176-21','DrODuvyo', 'MB')
('AC22517-2022-11-01-4145','A231-5','SaPHJfqakAHKAy', 'SL')
('SL04652-2022-11-02-4055','S169-23','BtdByzlS', 'SL')
('AC22517-2022-11-01-4147','A231-7','nZlMIdFd', 'LB')
('SL22517-2022-11-02-4224','S176-24','qAAxn', 'SU')
('AC04652-2022-11-02-4205','A234-11','dPeoo', 'SL')
('SL04652-2022-11-01-4226','S177-2','z', 'MB')
('AC04652-2022-11-02-4208','A234-14','DJ', 'LB')
('AC12058-2022-11-01-4163','A232-5','ZohKUDd', 'SL')
('SL22517-2022-11-02-4232','S177-8','Tsbpcrtfb', 'SU')
('AC22517-2022-11-01-4153','A231-13','oZUer', 'LB')
('SL04652-2022-11-02-4065','S170-9','CfdfIl', 'LB')
('AC22517-2022-11-02-4246','A236-16','DuJungsqvimQkPQf', 'UB')
('AC04652-2022-11-01-4157','A231-17','PKbWrtxl', 'SL')
('AC22517-2022-11-01-4158','A231-18','iowVaNiT', 'SU')
('AC04652-2022-11-02-4211','A234-17','MadMNSeRTGj', 'SL')
('AC12058-2022-11-01-4168','A232-10','AsVtXMeki', 'UB')
('SL04652-2022-11-01-4233','S177-9','rrFitSsogRbRB', 'LB')
('AC04652-2022-11-01-4160','A232-2','OYEvBQZYQpCfD', 'LB')
('AC12058-2022-11-01-4170','A232-12','XzuQzRUIQpZw', 'SU')
('SL22517-2022-11-01-4144','S173-16','jBKxkNzgnbIApr', 'SU')
('SL12058-2022-11-01-4147','S173-19','VvkC', 'UB')
('SL04652-2022-11-01-4240','S177-16','khVezf', 'SU')
('SL12058-2022-11-01-4149','S173-21','FgQTQMxX', 'MB')
('AC22517-2022-11-02-4253','A237-5','DMl', 'SL')
('AC22517-2022-11-02-4254','A237-6','DyVNZlaqThcV', 'SU')
('SL04652-2022-11-01-4241','S177-17','EOWuwcUi', 'LB')
('AC22517-2022-11-01-4166','A232-8','CoHjJPwVfQ', 'LB')
('AC04652-2022-11-01-4167','A232-9','yeVFbA', 'UB')
('AC12058-2022-11-01-4172','A232-14','xUkCD', 'LB')
('AC12058-2022-11-01-4173','A232-15','BPvpgXbul', 'UB')
('AC12058-2022-11-01-4174','A232-16','RWqzvEXe', 'UB')
('SL04652-2022-11-02-4076','S170-20','qfHmHnrWlet', 'LB')
('AC04652-2022-11-02-4221','A235-9','Ftys', 'UB')
('AC04652-2022-11-01-4169','A232-11','MqHXAKTCVk', 'SL')
('SL04652-2022-11-02-4077','S170-21','PzHqANWcqjLb', 'MB')
('SL22517-2022-11-02-4241','S177-17','PixeQFkCxVqOECec', 'LB')
('SL22517-2022-11-01-4156','S174-4','knOxEmUY', 'LB')
('AC12058-2022-11-01-4178','A233-2','qsdDcO', 'LB')
('SL04652-2022-11-01-4244','S177-20','VegbDc', 'LB')
('SL22517-2022-11-01-4158','S174-6','OR', 'UB')
('AC22517-2022-11-01-4176','A232-18','MKOLEVXQzqr', 'SU')
('SL12058-2022-11-01-4156','S174-4','wnPctqWOEKfxQbUq', 'LB')
('SL22517-2022-11-01-4159','S174-7','pWlHPcpMFyPtaWce', 'SL')
('SL04652-2022-11-01-4248','S177-24','sfVOvQ', 'SU')
('AC22517-2022-11-01-4179','A233-3','mrkylXcvbC', 'UB')
('SL22517-2022-11-01-4162','S174-10','RRXfCRnJotvi', 'MB')
('SL04652-2022-11-02-4088','S171-8','XPnsTvWxoIY', 'SU')
('AC12058-2022-11-01-4184','A233-8','kELqJz', 'LB')
('AC04652-2022-11-02-4228','A235-16','HIOyqerUmldjvF', 'UB')
('AC22517-2022-11-01-4180','A233-4','LwVQHIprciaz', 'UB')
('AC04652-2022-11-01-4177','A233-1','QNUSCbp', 'LB')
('SL04652-2022-11-01-4249','S178-1','SEDsUTTC', 'LB')
('AC04652-2022-11-01-4178','A233-2','R', 'LB')
('AC22517-2022-11-01-4182','A233-6','x', 'SU')
('AC04652-2022-11-01-4179','A233-3','mlP', 'UB')
('AC22517-2022-11-01-4183','A233-7','jcKPqhBoOnt', 'LB')
