('SL04652-2022-11-01-2625','S110-9','uil', 'LB')
('AC04652-2022-11-01-2754','A153-18','L', 'SU')
('SL22517-2022-11-02-2608','S109-16','tNgiwjmSYzN', 'SU')
('AC22517-2022-11-01-2714','A151-14','EW', 'LB')
('SL04652-2022-11-02-2674','S112-10','Jt', 'MB')
('AC22517-2022-11-02-2658','A148-12','MhdnfXGE', 'SU')
('SL04652-2022-11-01-2643','S111-3','yFEIKaJRZCNzmG', 'UB')
('SL12058-2022-11-01-2631','S110-15','wuNZqZDr', 'SL')
('AC22517-2022-11-02-2663','A148-17','Sajwubt', 'SL')
('SL04652-2022-11-02-2683','S112-19','kQcPHzdYknsOpDFC', 'UB')
('SL04652-2022-11-02-2684','S112-20','f', 'LB')
('SL12058-2022-11-01-2635','S110-19','DAOarmCc', 'UB')
('AC04652-2022-11-02-2672','A149-8','FRLfSTIr', 'LB')
('SL04652-2022-11-01-2654','S111-14','mnbrmxzYgodwoCyp', 'UB')
('AC04652-2022-11-01-2779','A155-7','rGUSs', 'LB')
('AC04652-2022-11-01-2782','A155-10','KvstTEcbqoCkYonT', 'UB')
('AC22517-2022-11-01-2735','A152-17','hdymMHk', 'SL')
('AC12058-2022-11-01-2653','A148-7','iUPTZVcZzw', 'LB')
('SL04652-2022-11-01-2707','S113-19','XPnxhUtctYDkllWz', 'UB')
('SL22517-2022-11-01-2758','S115-22','om', 'UB')
('SL22517-2022-11-01-2761','S116-1','hlSXRrbrHLxExeG', 'LB')
('AC22517-2022-11-02-2727','A152-9','vLfFIkDY', 'UB')
('SL04652-2022-11-01-2710','S113-22','qhXPO', 'UB')
('AC04652-2022-11-01-2831','A158-5','EuQXRiggI', 'SL')
('SL04652-2022-11-02-2747','S115-11','QmiEAGLUQGO', 'UB')
('AC12058-2022-11-01-2697','A150-15','eWVTwmyynndvH', 'UB')
('SL04652-2022-11-01-2712','S113-24','dGGKBbwZGTg', 'SU')
('SL04652-2022-11-02-2749','S115-13','st', 'MB')
('AC22517-2022-11-02-2732','A152-14','qwvoT', 'LB')
('AC12058-2022-11-01-2700','A150-18','JTIDBraLNwBdGD', 'SU')
('AC12058-2022-11-01-2701','A151-1','yRGOtmiL', 'LB')
('AC04652-2022-11-02-2734','A152-16','vWEyvj', 'UB')
('AC22517-2022-11-02-2735','A152-17','ktgCpY', 'SL')
('AC04652-2022-11-01-2944','A164-10','DpGDcrzeTcphqj', 'UB')
('SL04652-2022-11-02-2857','S120-1','UpgEXM', 'LB')
('SL22517-2022-11-02-2793','S117-9','vuIZp', 'LB')
('SL22517-2022-11-02-2796','S117-12','oulOCaVnhCjxS', 'LB')
('AC12058-2022-11-01-2807','A156-17','uNOui', 'SL')
('SL04652-2022-11-01-2829','S118-21','uyDR', 'MB')
('SL22517-2022-11-02-2799','S117-15','kFTsmDJ', 'SL')
('AC12058-2022-11-01-2811','A157-3','Ea', 'UB')
('SL04652-2022-11-01-2904','S121-24','IXNX', 'SU')
