('AC22517-2022-11-01-2208','A123-12','JXszNdqMPowwP', 'SU')
('AC04652-2022-11-02-2170','A121-10','MhMTCN', 'UB')
('SL12058-2022-11-01-2147','S90-11','gMNE', 'UB')
('AC22517-2022-11-02-2211','A123-15','iwGsLIgw', 'UB')
('AC04652-2022-11-01-2314','A129-10','wafLLwdnBBEw', 'UB')
('AC12058-2022-11-01-2196','A122-18','xjwoP', 'SU')
('SL12058-2022-11-01-2177','S91-17','iMEcLfqBmydhT', 'LB')
('AC04652-2022-11-01-2318','A129-14','lJjrcSDLBwsrjDk', 'LB')
('AC04652-2022-11-01-2319','A129-15','tKkqtUPPLV', 'UB')
('AC22517-2022-11-02-2265','A126-15','kUKQo', 'UB')
('SL04652-2022-11-01-2233','S94-1','xlDii', 'LB')
('SL04652-2022-11-01-2234','S94-2','sgdzD', 'MB')
('SL04652-2022-11-02-2273','S95-17','EAy', 'LB')
('SL22517-2022-11-02-2251','S94-19','AwAr', 'UB')
('SL12058-2022-11-01-2232','S93-24','ksyoisJNVgr', 'SU')
('AC04652-2022-11-02-2274','A127-6','oRISNhnMG', 'SU')
('AC22517-2022-11-01-2317','A129-13','O', 'LB')
('SL22517-2022-11-02-2260','S95-4','ovscCzCtVFi', 'LB')
('SL04652-2022-11-01-2239','S94-7','fsGNMH', 'SL')
('AC04652-2022-11-02-2280','A127-12','RVyAFjsuvhvxpAYe', 'SU')
('SL04652-2022-11-01-2240','S94-8','OExttWHbFAj', 'SU')
('AC04652-2022-11-01-2374','A132-16','BXBEuWLvHgtaVXSz', 'UB')
('SL22517-2022-11-02-2265','S95-9','tmJxQvCC', 'LB')
('AC22517-2022-11-02-2278','A127-10','eaDKkduIuecAuEYs', 'UB')
('AC04652-2022-11-02-2286','A127-18','vRQvJEMSCPCHhO', 'SU')
('SL22517-2022-11-01-2285','S96-5','LGmXnJCe', 'MB')
('SL12058-2022-11-01-2255','S94-23','ufr', 'SL')
