('SL22517-2022-11-02-178','S8-10','UnXnBY', 'MB')
('SL04652-2022-11-01-205','S9-13','RWVgJTFnvA', 'MB')
('AC22517-2022-11-01-190','A11-10','BGhzLuYrNAZVIEGg', 'UB')
('AC22517-2022-11-01-191','A11-11','GBSF', 'SL')
('AC12058-2022-11-01-277','A16-7','nEBNndmDPBpK', 'LB')
('SL04652-2022-11-01-294','S13-6','IGbGERmsSY', 'UB')
('SL04652-2022-11-01-295','S13-7','LzHXQ', 'SL')
('AC04652-2022-11-01-295','A17-7','Y', 'LB')
('AC22517-2022-11-02-268','A15-16','uhqfbnhbNxhspROa', 'UB')
('SL12058-2022-11-01-270','S12-6','j', 'UB')
('SL04652-2022-11-01-298','S13-10','kqRHyqPpP', 'MB')
('SL04652-2022-11-01-299','S13-11','xNM', 'UB')
('SL22517-2022-11-02-269','S12-5','MKCrk', 'MB')
('AC04652-2022-11-01-298','A17-10','MTI', 'UB')
('SL22517-2022-11-02-270','S12-6','ZN', 'UB')
('SL04652-2022-11-01-302','S13-14','hKY', 'UB')
('SL04652-2022-11-02-284','S12-20','OYDmEpEdURQ', 'LB')
('SL12058-2022-11-01-273','S12-9','G', 'LB')
('SL22517-2022-11-01-295','S13-7','EOgbdHred', 'SL')
('SL04652-2022-11-02-376','S16-16','W', 'SU')
('SL12058-2022-11-01-368','S16-8','meXVS', 'SU')
('AC04652-2022-11-02-386','A22-8','ODR', 'LB')
('SL12058-2022-11-01-369','S16-9','DDUpt', 'LB')
('AC04652-2022-11-02-387','A22-9','TaZTzXrSQ', 'UB')
('AC22517-2022-11-02-372','A21-12','tbLVyXZjpAFggb', 'SU')
('SL22517-2022-11-02-353','S15-17','lHWNTOSfAkVa', 'LB')
('SL12058-2022-11-01-374','S16-14','HGqGru', 'UB')
('AC04652-2022-11-02-394','A22-16','lQEuXYjjihKpz', 'UB')
('AC12058-2022-11-01-375','A21-15','DKJjHsjqvrn', 'UB')
('SL12058-2022-11-01-378','S16-18','NxqCWPnaEXwoF', 'MB')
('AC22517-2022-11-02-381','A22-3','wUDBvrbCvfv', 'UB')
('AC04652-2022-11-01-403','A23-7','uUxQyyiMZtDzK', 'LB')
('AC22517-2022-11-01-382','A22-4','nZzC', 'UB')
('AC04652-2022-11-02-407','A23-11','Ng', 'SL')
('AC04652-2022-11-02-410','A23-14','IuBhfZMoUkXxJ', 'LB')
('AC04652-2022-11-01-409','A23-13','cttPjjjaJKYIK', 'LB')
('SL22517-2022-11-01-397','S17-13','u', 'MB')
('AC04652-2022-11-02-412','A23-16','DkRzYbwzTcJLCRu', 'UB')
('SL04652-2022-11-02-396','S17-12','JKpWyhFKtigmWhV', 'LB')
('SL22517-2022-11-01-398','S17-14','AMIdkc', 'UB')
('SL22517-2022-11-02-366','S16-6','zzKhlGo', 'UB')
('SL04652-2022-11-02-398','S17-14','TzmYPOVjYhW', 'UB')
('AC04652-2022-11-01-415','A24-1','dFpWSX', 'LB')
