('SL22517-2022-11-02-1698','S71-18','uSuTmFXGE', 'MB')
('AC04652-2022-11-02-1732','A97-4','xiJPYzoyzpqishCQ', 'UB')
('AC22517-2022-11-02-1719','A96-9','wyCNfdWBdWq', 'UB')
('SL04652-2022-11-01-1761','S74-9','dhNJ', 'LB')
('SL22517-2022-11-02-1749','S73-21','nTZCest', 'MB')
('AC22517-2022-11-01-1809','A101-9','bjwByBCzGmPfK', 'UB')
('SL22517-2022-11-02-1754','S74-2','bcKgg', 'MB')
('AC22517-2022-11-01-1812','A101-12','bChevg', 'SU')
('AC04652-2022-11-01-1835','A102-17','haROhpNVJQUxwKF', 'SL')
('SL04652-2022-11-02-1777','S75-1','AHewIBIJHolv', 'LB')
('SL12058-2022-11-01-1738','S73-10','l', 'MB')
('AC04652-2022-11-02-1803','A101-3','iWNGa', 'UB')
('AC04652-2022-11-02-1805','A101-5','TJWFlgikl', 'SL')
('AC04652-2022-11-02-1810','A101-10','CbiukpwjvYrPNK', 'UB')
('AC22517-2022-11-01-1857','A104-3','LwwX', 'UB')
('AC12058-2022-11-01-1812','A101-12','xhBlBWZiItbpA', 'SU')
('SL04652-2022-11-01-1826','S77-2','KyxRPoTPp', 'MB')
('SL04652-2022-11-01-1827','S77-3','bUeoZwFBxU', 'UB')
('AC22517-2022-11-02-1828','A102-10','CxDSMTchXOpQGSxF', 'UB')
('SL22517-2022-11-02-1833','S77-9','rvlSWtFqpWd', 'LB')
('AC12058-2022-11-01-1829','A102-11','papBFXLQtn', 'SL')
('SL22517-2022-11-01-1854','S78-6','gRmv', 'UB')
('SL22517-2022-11-01-1855','S78-7','GQeuVkvM', 'SL')
('AC04652-2022-11-01-1924','A107-16','AGFzXevgSB', 'UB')
('SL22517-2022-11-01-1878','S79-6','wLiXBsaBLn', 'UB')
('AC22517-2022-11-02-1849','A103-13','TlpteAg', 'LB')
('SL22517-2022-11-02-1853','S78-5','S', 'MB')
('SL04652-2022-11-02-1868','S78-20','pTgUPS', 'LB')
('AC04652-2022-11-01-1937','A108-11','LJoZphoJr', 'SL')
('SL04652-2022-11-02-1872','S78-24','xNurxXWyuQzB', 'SU')
('AC22517-2022-11-01-1906','A106-16','bntvZyhbqnj', 'UB')
('SL04652-2022-11-02-1877','S79-5','uAXYLfGLi', 'MB')
('AC22517-2022-11-01-1912','A107-4','n', 'UB')
('AC04652-2022-11-01-1945','A109-1','liYXd', 'LB')
('AC22517-2022-11-01-1915','A107-7','BIF', 'LB')
('AC12058-2022-11-01-1863','A104-9','leKt', 'UB')
('SL22517-2022-11-02-1865','S78-17','ohGmVEl', 'LB')
('AC04652-2022-11-02-1885','A105-13','I', 'LB')
('AC04652-2022-11-02-1886','A105-14','qLRNvgejs', 'LB')
('AC22517-2022-11-01-1922','A107-14','I', 'LB')
('SL12058-2022-11-01-1859','S78-11','EIy', 'UB')
('SL04652-2022-11-02-1894','S79-22','wbbAilETJZY', 'UB')
('AC04652-2022-11-01-1957','A109-13','KdtweVx', 'LB')
('SL22517-2022-11-02-1869','S78-21','GvOj', 'MB')
('SL22517-2022-11-01-1915','S80-19','SRqLGHnp', 'UB')
('AC04652-2022-11-02-1896','A106-6','X', 'SU')
('SL04652-2022-11-01-1881','S79-9','o', 'LB')
('AC04652-2022-11-01-1965','A110-3','JMlSNHMWO', 'UB')
('AC04652-2022-11-02-1981','A111-1','fPNbrnOp', 'LB')
('SL12058-2022-11-01-1967','S82-23','E', 'SL')
('AC22517-2022-11-02-1971','A110-9','TgZslQujdYZ', 'UB')
('SL12058-2022-11-01-1970','S83-2','JUYJkTMVibzt', 'MB')
('SL04652-2022-11-01-1978','S83-10','Iz', 'MB')
('SL22517-2022-11-01-2007','S84-15','ABrKGotMYCwuO', 'SL')
('SL22517-2022-11-02-1983','S83-15','dKqfXghqtcV', 'SL')
('AC04652-2022-11-01-2066','A115-14','qH', 'LB')
('AC22517-2022-11-02-1978','A110-16','THtkjwA', 'UB')
('AC22517-2022-11-01-2035','A114-1','blx', 'LB')
('AC04652-2022-11-01-2071','A116-1','hwUYiEIjklhpVo', 'LB')
('AC12058-2022-11-01-1984','A111-4','cVkRPTej', 'UB')
('AC12058-2022-11-01-1985','A111-5','cEMutQO', 'SL')
('SL04652-2022-11-01-1993','S84-1','fQkiPLNcCrT', 'LB')
('AC12058-2022-11-01-2006','A112-8','wzCbT', 'LB')
('AC22517-2022-11-01-2058','A115-6','EVF', 'SU')
('SL04652-2022-11-02-2042','S86-2','Lv', 'MB')
('SL04652-2022-11-01-2014','S84-22','ZExBhhEMCIusnl', 'UB')
('SL22517-2022-11-01-2046','S86-6','PXwsiPfLzYOY', 'UB')
('SL12058-2022-11-01-2020','S85-4','YQMItPWdPYkgG', 'LB')
('AC04652-2022-11-02-2032','A113-16','iwrCOIWwZvEzG', 'UB')
('AC04652-2022-11-01-2117','A118-11','WkKp', 'SL')
('SL22517-2022-11-01-2055','S86-15','UvNnDrEgcJV', 'SL')
('SL22517-2022-11-02-2029','S85-13','GlepEUOlqpGWmru', 'MB')
('AC04652-2022-11-01-2119','A118-13','Z', 'LB')
('SL04652-2022-11-02-2057','S86-17','NgNNXQe', 'LB')
('AC22517-2022-11-02-2034','A113-18','Nw', 'SU')
('AC12058-2022-11-01-2037','A114-3','b', 'UB')
('AC22517-2022-11-01-2079','A116-9','RpIJdxfPrmfyyjS', 'UB')
('SL04652-2022-11-02-2059','S86-19','NdR', 'UB')
('SL22517-2022-11-01-2065','S87-1','WUoKiWcjjGtrontm', 'LB')
('SL22517-2022-11-01-2077','S87-13','LvglcAHB', 'MB')
('SL04652-2022-11-02-2076','S87-12','Ic', 'LB')
('AC04652-2022-11-01-2139','A119-15','KedVpMBRBFyJO', 'UB')
('SL12058-2022-11-01-2042','S86-2','T', 'MB')
('SL12058-2022-11-01-2043','S86-3','YR', 'UB')
('SL12058-2022-11-01-2044','S86-4','JgHxPGTHwGcbKmpv', 'LB')
('AC04652-2022-11-01-2143','A120-1','iSbEckBzLJ', 'LB')
('AC22517-2022-11-01-2097','A117-9','XFMDvOWxAOTxsnG', 'UB')
('SL04652-2022-11-02-2086','S87-22','GSUNtYnVs', 'UB')
('AC04652-2022-11-01-2150','A120-8','JGQHqWrE', 'LB')
('SL04652-2022-11-02-2087','S87-23','eWpSms', 'SL')
('AC22517-2022-11-01-2105','A117-17','tTllvgUmAYU', 'SL')
('SL12058-2022-11-01-2050','S86-10','BqMhCYyiafG', 'MB')
('SL22517-2022-11-02-2069','S87-5','wFmnZmgoDu', 'MB')
('SL12058-2022-11-01-2053','S86-13','LolNdpf', 'MB')
('SL04652-2022-11-02-2093','S88-5','Hx', 'MB')
('AC22517-2022-11-02-2123','A118-17','UMvEWQUBUkZ', 'SL')
