('SL12058-2022-11-01-3','S1-3','nV', 'UB')
('SL22517-2022-11-01-5','S1-5','ARTowW', 'MB')
('AC12058-2022-11-01-12','A1-12','WlmxTjiPAPTD', 'SU')
('SL22517-2022-11-02-9','S1-9','yIGPnZLCFFoTB', 'LB')
('SL04652-2022-11-02-10','S1-10','FkIJl', 'MB')
('AC12058-2022-11-01-19','A2-1','gbSoGsOc', 'LB')
('AC22517-2022-11-01-9','A1-9','brEjyPCrKgZRM', 'UB')
('SL12058-2022-11-01-14','S1-14','O', 'UB')
('AC04652-2022-11-02-26','A2-8','b', 'LB')
('SL12058-2022-11-01-31','S2-7','xkWpPpJ', 'SL')
('AC22517-2022-11-01-22','A2-4','iFDuxQ', 'UB')
('AC04652-2022-11-01-34','A2-16','PcrfIZUhiOzjrvN', 'UB')
('AC04652-2022-11-02-41','A3-5','ASQyqU', 'SL')
('SL04652-2022-11-02-35','S2-11','yaqmmgv', 'UB')
('AC22517-2022-11-02-37','A3-1','RDhivJMU', 'LB')
('SL22517-2022-11-01-46','S2-22','QIZKGgTWfoNh', 'UB')
('AC04652-2022-11-02-45','A3-9','R', 'UB')
('SL22517-2022-11-01-49','S3-1','xRj', 'LB')
('AC04652-2022-11-01-38','A3-2','dQxsiCmcYR', 'LB')
('AC04652-2022-11-01-39','A3-3','RGBHRrWBUSrW', 'UB')
('AC22517-2022-11-01-39','A3-3','DcgahfbXJs', 'UB')
('SL22517-2022-11-01-55','S3-7','pAOEp', 'SL')
('AC04652-2022-11-01-42','A3-6','tlVkGgiMdkkXoFn', 'SU')
('AC04652-2022-11-02-55','A4-1','iSZpaoajDrKop', 'LB')
('SL22517-2022-11-02-52','S3-4','h', 'LB')
('SL04652-2022-11-01-49','S3-1','bMGQwcMLqb', 'LB')
('SL04652-2022-11-01-50','S3-2','URO', 'MB')
('AC12058-2022-11-01-61','A4-7','Wc', 'LB')
('SL22517-2022-11-02-57','S3-9','VOyNUn', 'LB')
('SL22517-2022-11-01-64','S3-16','WDYequqDS', 'SU')
('SL12058-2022-11-01-64','S3-16','uOAYMfjUeNGXDV', 'SU')
