('SL22517-2022-11-02-4922','S206-2','pI', 'MB')
('AC22517-2022-11-02-5064','A282-6','EfWpyCvrpm', 'SU')
('SL22517-2022-11-02-4931','S206-11','QIAkgdNhBchUq', 'UB')
('SL04652-2022-11-02-4966','S207-22','uiE', 'UB')
('AC22517-2022-11-01-5036','A280-14','VhKcVwt', 'LB')
('AC22517-2022-11-02-5124','A285-12','FmqijGcRfhJmiK', 'SU')
('AC22517-2022-11-01-5080','A283-4','JNHwKuYoff', 'UB')
('SL22517-2022-11-01-4970','S208-2','PyIJipwz', 'MB')
('SL22517-2022-11-01-4971','S208-3','vPRiSfrR', 'UB')
('SL22517-2022-11-01-4974','S208-6','rTRx', 'UB')
('AC04652-2022-11-01-5298','A295-6','lEisUsTRkfRQICX', 'SU')
('AC04652-2022-11-01-5299','A295-7','KZE', 'LB')
('AC04652-2022-11-02-5120','A285-8','UfKbE', 'LB')
('SL22517-2022-11-01-4978','S208-10','ZalHDqaborkoBik', 'MB')
('AC12058-2022-11-01-5063','A282-5','hUdP', 'SL')
('AC12058-2022-11-01-5069','A282-11','e', 'SL')
('SL04652-2022-11-01-5010','S209-18','CRmpg', 'MB')
('AC22517-2022-11-02-5141','A286-11','Umt', 'SL')
('SL22517-2022-11-01-4982','S208-14','tCTBfaj', 'UB')
('AC22517-2022-11-02-5145','A286-15','ozNq', 'UB')
('SL04652-2022-11-01-5015','S209-23','umjCkTPLt', 'SL')
('SL22517-2022-11-01-4991','S208-23','OCd', 'SL')
('AC04652-2022-11-02-5146','A286-16','sOwudgBQ', 'UB')
('AC04652-2022-11-02-5147','A286-17','ocKdNWPVWvzZIJQ', 'SL')
('SL04652-2022-11-01-5021','S210-5','dqPGIx', 'MB')
('AC22517-2022-11-01-5110','A284-16','z', 'UB')
('AC22517-2022-11-02-5158','A287-10','JWWdeQEekzeX', 'UB')
('SL12058-2022-11-01-4966','S207-22','k', 'UB')
('SL22517-2022-11-02-5037','S210-21','jG', 'MB')
('AC12058-2022-11-01-5109','A284-15','li', 'UB')
('SL22517-2022-11-01-5070','S212-6','xIUAEYSJSCMylq', 'UB')
('SL04652-2022-11-01-5102','S213-14','bEGyiRrvm', 'UB')
('AC04652-2022-11-02-5219','A290-17','YdqmdgsHHQAt', 'SL')
('AC22517-2022-11-02-5238','A291-18','nEyLG', 'SU')
('AC04652-2022-11-01-5404','A301-4','NQ', 'UB')
('SL04652-2022-11-01-5104','S213-16','DJVDn', 'SU')
('AC04652-2022-11-02-5224','A291-4','FsW', 'UB')
('AC04652-2022-11-02-5226','A291-6','DWbhMXOKodXmFYh', 'SU')
('SL22517-2022-11-02-5122','S214-10','sMQTWEmYessqa', 'MB')
('AC22517-2022-11-01-5206','A290-4','oJIY', 'UB')
('AC22517-2022-11-01-5211','A290-9','m', 'UB')
('SL04652-2022-11-01-5123','S214-11','SlgbTBh', 'UB')
('SL12058-2022-11-01-5063','S211-23','aiiWFxSfXlcq', 'SL')
('SL12058-2022-11-01-5076','S212-12','oSJkpnbhJcmL', 'LB')
('AC22517-2022-11-02-5267','A293-11','flPdbMPtvGL', 'SL')
('SL12058-2022-11-01-5085','S212-21','lbYrab', 'MB')
('AC12058-2022-11-01-5227','A291-7','u', 'LB')
('SL12058-2022-11-01-5175','S216-15','opAUPM', 'SL')
('AC22517-2022-11-01-5321','A296-11','Z', 'SL')
('AC22517-2022-11-02-5387','A300-5','wCRTnp', 'SL')
('SL22517-2022-11-02-5264','S220-8','YZTvFtWIqDIaFgv', 'SU')
('AC22517-2022-11-02-5388','A300-6','yQstyiafhj', 'SU')
('SL12058-2022-11-01-5219','S218-11','xznduALRbAtRjhTA', 'UB')
('AC04652-2022-11-02-5386','A300-4','xKwgozjFb', 'UB')
('SL12058-2022-11-01-5224','S218-16','iRSuEJZbPi', 'SU')
('AC22517-2022-11-02-5399','A300-17','WqNwvIPgm', 'SL')
('AC04652-2022-11-01-5570','A310-8','uSfsa', 'LB')
('AC04652-2022-11-02-5394','A300-12','DKTIjnO', 'SU')
('SL04652-2022-11-02-5314','S222-10','ie', 'MB')
('AC04652-2022-11-02-5398','A300-16','HcUttKXcEe', 'UB')
('SL22517-2022-11-02-5280','S220-24','dAF', 'SU')
('SL12058-2022-11-01-5232','S218-24','ctBDmmnCLIj', 'SU')
('AC04652-2022-11-02-5479','A305-7','UJUmWTwI', 'LB')
('SL04652-2022-11-01-5337','S223-9','oAPt', 'LB')
('SL12058-2022-11-01-5303','S221-23','sBuPq', 'SL')
('SL04652-2022-11-02-5406','S226-6','GbHBgg', 'UB')
('SL22517-2022-11-02-5422','S226-22','eIbmwmHjRqnxBEsp', 'UB')
('AC04652-2022-11-01-5726','A319-2','OEhKGq', 'LB')
('SL22517-2022-11-02-5424','S226-24','WCg', 'SU')
('AC12058-2022-11-01-5495','A306-5','AwO', 'SL')
('AC04652-2022-11-02-5539','A308-13','wtGeUTtGgQQlSIrG', 'LB')
('AC22517-2022-11-01-5519','A307-11','YyTArcIqxNRa', 'SL')
('SL12058-2022-11-01-5397','S225-21','IYJgDUdZXwhPyj', 'MB')
('AC22517-2022-11-01-5524','A307-16','FKfF', 'UB')
('AC22517-2022-11-02-5580','A310-18','vuZMAvWCBzJrvaz', 'SU')
('AC12058-2022-11-01-5547','A309-3','RBMcyAPFdvILhmAa', 'UB')
('AC12058-2022-11-01-5548','A309-4','GELEsMIemqNybdha', 'UB')
('SL12058-2022-11-01-5402','S226-2','kEjHQSvoaD', 'MB')
('AC04652-2022-11-01-5770','A321-10','uuPdqE', 'UB')
('SL04652-2022-11-02-5502','S230-6','JIImBDwVpBbRL', 'UB')
('AC04652-2022-11-01-5773','A321-13','uU', 'LB')
('AC04652-2022-11-01-5776','A321-16','AYdOMALLvHU', 'UB')
('SL12058-2022-11-01-5408','S226-8','RWmFOtk', 'SU')
('SL22517-2022-11-02-5473','S229-1','DjoaTWlzzDOXLZLy', 'LB')
('SL04652-2022-11-01-5451','S228-3','HwDpeq', 'UB')
('SL22517-2022-11-01-5433','S227-9','Jw', 'LB')
('AC04652-2022-11-01-5781','A322-3','xHGgh', 'UB')
('AC12058-2022-11-01-5564','A310-2','zE', 'LB')
('AC22517-2022-11-02-5592','A311-12','RloNSITiAuT', 'SU')
('AC04652-2022-11-02-5604','A312-6','gfIqvkuDJg', 'SU')
('SL04652-2022-11-02-5515','S230-19','RdabiLyn', 'UB')
('SL04652-2022-11-02-5519','S230-23','gltAeVnOf', 'SL')
('SL12058-2022-11-01-5434','S227-10','WRRFa', 'MB')
('AC04652-2022-11-01-5802','A323-6','TPZzf', 'SU')
('SL22517-2022-11-02-5506','S230-10','hyOhhsjPaSEarh', 'MB')
('AC22517-2022-11-01-5594','A311-14','oIcbxOOQIUc', 'LB')
('AC22517-2022-11-01-5600','A312-2','tOREc', 'LB')
('SL12058-2022-11-01-5451','S228-3','kzzxJkykw', 'UB')
('AC12058-2022-11-01-5601','A312-3','oSrkyQHrke', 'UB')
('SL04652-2022-11-01-5499','S230-3','aETYSTJpZaeTQuqb', 'UB')
('AC22517-2022-11-02-5622','A313-6','nhQbadMDYqBvZq', 'SU')
('SL22517-2022-11-01-5475','S229-3','DAyq', 'UB')
('SL12058-2022-11-01-5457','S228-9','O', 'LB')
('SL12058-2022-11-01-5458','S228-10','uBVEOBfx', 'MB')
('AC04652-2022-11-01-5818','A324-4','zRTrQliRCDXdL', 'UB')
('AC04652-2022-11-02-5648','A314-14','Dmooj', 'LB')
('SL22517-2022-11-02-5523','S231-3','QhrGSXFx', 'UB')
('SL04652-2022-11-01-5503','S230-7','rVPghMiaR', 'SL')
('AC22517-2022-11-01-5610','A312-12','iixQynjnqpQqx', 'SU')
('SL04652-2022-11-01-5517','S230-21','yy', 'MB')
('AC22517-2022-11-01-5628','A313-12','CKwciyEF', 'SU')
('AC04652-2022-11-02-5674','A316-4','vtDVcCUbdi', 'UB')
('AC22517-2022-11-01-5632','A313-16','BxlBVORVp', 'UB')
('SL04652-2022-11-01-5526','S231-6','bk', 'UB')
('SL04652-2022-11-01-5531','S231-11','xXzt', 'UB')
('SL04652-2022-11-02-5610','S234-18','lXZY', 'MB')
('AC22517-2022-11-02-5681','A316-11','NEfKLVh', 'SL')
('SL22517-2022-11-02-5592','S233-24','RkLOh', 'SU')
('AC22517-2022-11-01-5683','A316-13','mYWRpeBs', 'LB')
('AC04652-2022-11-02-5714','A318-8','Uswfm', 'LB')
('SL04652-2022-11-02-5640','S235-24','D', 'SU')
('AC04652-2022-11-01-5904','A328-18','oFzhBLatk', 'SU')
('AC22517-2022-11-01-5705','A317-17','itRTvBqxtdSp', 'SL')
('AC04652-2022-11-02-5736','A319-12','dHGuSodUOsDEa', 'SU')
('AC22517-2022-11-02-5703','A317-15','YQQr', 'UB')
('AC22517-2022-11-02-5704','A317-16','cVuTEcoUyzZ', 'UB')
('AC22517-2022-11-02-5712','A318-6','liKqAaVcpq', 'SU')
('AC22517-2022-11-01-5727','A319-3','muMnAYMgPZ', 'UB')
('AC22517-2022-11-01-5728','A319-4','ONeU', 'UB')
('AC04652-2022-11-02-5755','A320-13','iFfHMasmuQPxmka', 'LB')
('SL04652-2022-11-01-5614','S234-22','PdrlLSRNDdDmqWue', 'UB')
('AC04652-2022-11-01-5930','A330-8','TU', 'LB')
('SL04652-2022-11-01-5616','S234-24','wV', 'SU')
('AC22517-2022-11-01-5760','A320-18','Dt', 'SU')
('SL12058-2022-11-01-5600','S234-8','SkizvDb', 'SU')
('AC12058-2022-11-01-5741','A319-17','wAboJpWgriMQiAgw', 'SL')
('AC12058-2022-11-01-5742','A319-18','XjNMHzZY', 'SU')
('AC22517-2022-11-02-5750','A320-8','ArLCaUjwfOMg', 'LB')
('AC04652-2022-11-01-5959','A332-1','yhnhEclcyWwEXs', 'LB')
('SL22517-2022-11-02-5683','S237-19','ETxIFe', 'UB')
('AC04652-2022-11-01-5963','A332-5','HVMKaZPb', 'SL')
('SL04652-2022-11-02-5701','S238-13','NGV', 'MB')
('SL12058-2022-11-01-5621','S235-5','VilrlJFnxQMIKt', 'MB')
('AC04652-2022-11-01-5981','A333-5','wlTSJeqbO', 'SL')
('AC04652-2022-11-01-5986','A333-10','DVjKSudS', 'UB')
('AC04652-2022-11-01-5987','A333-11','qj', 'SL')
('AC04652-2022-11-02-5813','A323-17','cHreVDXWQY', 'SL')
('AC04652-2022-11-02-5814','A323-18','Abqphd', 'SU')
('SL22517-2022-11-02-5705','S238-17','UKgSQFkpSk', 'LB')
('SL04652-2022-11-02-5733','S239-21','KHNJ', 'MB')
('SL22517-2022-11-01-5649','S236-9','hCUVmciywwSpVmXi', 'LB')
('AC22517-2022-11-01-5827','A324-13','edh', 'LB')
('SL22517-2022-11-01-5690','S238-2','Mj', 'MB')
('AC22517-2022-11-02-5820','A324-6','txuP', 'SU')
('SL04652-2022-11-02-5778','S241-18','PZnEOYXDdAeLp', 'MB')
('SL22517-2022-11-01-5729','S239-17','LXZoJmJUxuiC', 'LB')
('AC12058-2022-11-01-5840','A325-8','xo', 'LB')
('SL12058-2022-11-01-5708','S238-20','licGYZe', 'LB')
('SL22517-2022-11-02-5819','S243-11','MXFZrKqSDOPIf', 'UB')
('SL12058-2022-11-01-5736','S239-24','FEJheZDiPBr', 'SU')
('SL12058-2022-11-01-5737','S240-1','brYhawzbVOjHaVRC', 'LB')
('SL04652-2022-11-02-5865','S245-9','DloWqVTPEY', 'LB')
('SL04652-2022-11-02-5866','S245-10','cTqjknGp', 'MB')
('SL22517-2022-11-01-5791','S242-7','wTydZUxlSfMcB', 'SL')
('SL12058-2022-11-01-5759','S240-23','SlUZ', 'SL')
('SL12058-2022-11-01-5760','S240-24','hTAIiqdKsGWXx', 'SU')
('AC22517-2022-11-01-5925','A330-3','wKsKWthpgBObh', 'UB')
('SL22517-2022-11-01-5797','S242-13','fQTXDMVz', 'MB')
('AC04652-2022-11-01-6144','A342-6','m', 'SU')
('AC12058-2022-11-01-5899','A328-13','TS', 'LB')
('SL22517-2022-11-01-5810','S243-2','dPlCpDogjPEyXLL', 'MB')
('AC04652-2022-11-02-5975','A332-17','gzMfKvrrSQaEcbJ', 'SL')
('AC04652-2022-11-02-5976','A332-18','lKPras', 'SU')
('AC22517-2022-11-01-5940','A330-18','lVLRCs', 'SU')
('AC04652-2022-11-01-6160','A343-4','QSnojfkSI', 'UB')
('AC22517-2022-11-02-5933','A330-11','Ki', 'SL')
('AC04652-2022-11-02-5985','A333-9','VQYsRNuP', 'UB')
('AC12058-2022-11-01-5926','A330-4','XvQLd', 'UB')
('SL04652-2022-11-01-5829','S243-21','YYyHa', 'MB')
('SL12058-2022-11-01-5784','S241-24','geuptY', 'SU')
('AC22517-2022-11-01-5954','A331-14','OyVRKKgvD', 'LB')
('AC12058-2022-11-01-5933','A330-11','RM', 'SL')
('AC04652-2022-11-01-6199','A345-7','PjjmAzlmIsjGims', 'LB')
('SL04652-2022-11-01-5850','S244-18','Czu', 'MB')
('AC22517-2022-11-02-5971','A332-13','yZkGbXfQxqAwE', 'LB')
('AC22517-2022-11-02-5972','A332-14','TWWEkaLdIv', 'LB')
('SL12058-2022-11-01-5807','S242-23','IjRmOGGkZCnvCWsc', 'SL')
('AC12058-2022-11-01-5971','A332-13','V', 'LB')
('SL22517-2022-11-02-5946','S248-18','RgsVkViRnY', 'MB')
('SL04652-2022-11-02-5959','S249-7','Nv', 'SL')
('AC12058-2022-11-01-5983','A333-7','VBTxsnvvxByPi', 'LB')
('SL22517-2022-11-01-5874','S245-18','InHdBJap', 'MB')
('SL12058-2022-11-01-5823','S243-15','XAFbMuzaonH', 'SL')
('AC12058-2022-11-01-5984','A333-8','XieZ', 'LB')
('AC22517-2022-11-02-6003','A334-9','qXeKIidxcndNq', 'UB')
('AC22517-2022-11-01-6015','A335-3','ODkuqmspILt', 'UB')
('AC04652-2022-11-02-6068','A338-2','OVOR', 'LB')
('AC04652-2022-11-01-6257','A348-11','NwARWhtOwN', 'SL')
('AC12058-2022-11-01-6027','A335-15','ZrOnFJBexRsFeP', 'UB')
('AC12058-2022-11-01-6044','A336-14','ejNkxneNLucZ', 'LB')
('SL12058-2022-11-01-5908','S247-4','XWNif', 'LB')
('SL22517-2022-11-01-5962','S249-10','oBOSJiLiLMEkIp', 'MB')
('AC04652-2022-11-01-6328','A352-10','rtlweLSZBrMrRcdk', 'UB')
('AC22517-2022-11-02-6133','A341-13','EStYVJ', 'LB')
('SL12058-2022-11-01-5948','S248-20','QNkwu', 'LB')
('AC12058-2022-11-01-6121','A341-1','Fest', 'LB')
('SL04652-2022-11-01-6018','S251-18','bjwt', 'MB')
('AC22517-2022-11-01-6152','A342-14','fiANmjXQw', 'LB')
('AC22517-2022-11-01-6153','A342-15','lGmqURg', 'UB')
('AC04652-2022-11-01-6403','A356-13','yaEHGS', 'LB')
('SL22517-2022-11-01-6024','S251-24','gdu', 'SU')
('SL04652-2022-11-02-6135','S256-15','BWJJS', 'SL')
('SL04652-2022-11-01-6056','S253-8','EN', 'SU')
('AC12058-2022-11-01-6167','A343-11','EognsZ', 'SL')
('AC04652-2022-11-02-6222','A346-12','e', 'SU')
('AC12058-2022-11-01-6170','A343-14','UbJiTqBYMnLay', 'LB')
('AC04652-2022-11-01-6438','A358-12','Jeaxc', 'SU')
('SL04652-2022-11-01-6058','S253-10','FMxzXVgyMas', 'MB')
('SL04652-2022-11-02-6165','S257-21','yBsoQ', 'MB')
('AC22517-2022-11-01-6245','A347-17','AvWUDkeHtKPNxei', 'SL')
('AC22517-2022-11-02-6240','A347-12','FInCoEZMJHAmrSdw', 'SU')
('SL22517-2022-11-02-6196','S259-4','etXMZZmuenre', 'LB')
('SL04652-2022-11-02-6187','S258-19','FXSZAkddLTvSby', 'UB')
('SL04652-2022-11-02-6189','S258-21','JLPapfamdJmAmrD', 'MB')
('SL22517-2022-11-01-6141','S256-21','xoltNz', 'MB')
('AC22517-2022-11-02-6265','A349-1','xdsjbnZxeEuWL', 'LB')
('SL12058-2022-11-01-6059','S253-11','dxwEhH', 'UB')
('SL04652-2022-11-02-6207','S259-15','tVXqoELwJNxUvM', 'SL')
('SL04652-2022-11-02-6208','S259-16','ukLwuAeAJRLJb', 'SU')
('SL22517-2022-11-01-6145','S257-1','WpyjYiP', 'LB')
('AC04652-2022-11-02-6317','A351-17','cx', 'SL')
('SL22517-2022-11-01-6194','S259-2','cWHmqKfg', 'MB')
('SL12058-2022-11-01-6107','S255-11','YaQ', 'UB')
('SL22517-2022-11-02-6278','S262-14','MYs', 'UB')
('SL22517-2022-11-01-6196','S259-4','MkhosrfqRW', 'LB')
('AC04652-2022-11-02-6374','A355-2','ClL', 'LB')
('SL12058-2022-11-01-6156','S257-12','RTYIjHlnDNh', 'LB')
('AC04652-2022-11-01-6639','A369-15','DweIBTYAMJCiCLu', 'UB')
('SL12058-2022-11-01-6180','S258-12','HyQzIChwsoO', 'LB')
('SL22517-2022-11-02-6343','S265-7','zLFnq', 'SL')
('SL04652-2022-11-01-6259','S261-19','sOQCfHfwWdad', 'UB')
('AC12058-2022-11-01-6386','A355-14','eDkzXzusS', 'LB')
('SL12058-2022-11-01-6196','S259-4','uoeoCEoBTYKaD', 'LB')
('SL12058-2022-11-01-6197','S259-5','nkHLqxSycI', 'MB')
('SL04652-2022-11-01-6271','S262-7','ouDapRtWQYOAZPj', 'SL')
('SL22517-2022-11-01-6300','S263-12','DFNTBTjOUbCG', 'LB')
('AC22517-2022-11-02-6430','A358-4','BgdVuuLtLXImrqnL', 'UB')
('SL04652-2022-11-02-6389','S267-5','ocKu', 'MB')
('AC22517-2022-11-02-6431','A358-5','OAmKoVneraUq', 'SL')
('SL04652-2022-11-02-6390','S267-6','kMMjCSbYxrhE', 'UB')
('SL04652-2022-11-01-6320','S264-8','uqZJHN', 'SU')
('AC22517-2022-11-02-6433','A358-7','CSxnVSxooLFLy', 'LB')
('AC22517-2022-11-01-6443','A358-17','kCtnVhkSjATbOd', 'SL')
('AC22517-2022-11-02-6435','A358-9','IQqjgEzB', 'UB')
('AC22517-2022-11-02-6438','A358-12','WlCjJwa', 'SU')
('AC22517-2022-11-02-6439','A358-13','Nbm', 'LB')
('AC04652-2022-11-01-6723','A374-9','CJWCO', 'UB')
('AC22517-2022-11-02-6446','A359-2','ajnVsKNq', 'LB')
('AC22517-2022-11-01-6453','A359-9','ekTp', 'UB')
('SL12058-2022-11-01-6255','S261-15','QnK', 'SL')
('SL04652-2022-11-01-6360','S265-24','fkOnydx', 'SU')
('AC22517-2022-11-01-6470','A360-8','Mn', 'LB')
('AC04652-2022-11-01-6748','A375-16','uyDcUgVa', 'UB')
('SL22517-2022-11-01-6366','S266-6','zhvzhky', 'UB')
('SL04652-2022-11-02-6418','S268-10','ZVBHThojnqu', 'MB')
('AC22517-2022-11-01-6471','A360-9','TfyUmJsRzQJEIBj', 'UB')
('AC12058-2022-11-01-6463','A360-1','ALKYHYGV', 'LB')
('SL22517-2022-11-02-6430','S268-22','ckoElSrVaiD', 'UB')
('SL12058-2022-11-01-6280','S262-16','u', 'SU')
('AC04652-2022-11-01-6752','A376-2','vhcdfGVQzQHPSO', 'LB')
('SL22517-2022-11-02-6463','S270-7','ch', 'SL')
('SL04652-2022-11-01-6407','S267-23','aBRlIfJvU', 'SL')
('SL04652-2022-11-01-6408','S267-24','EVfNYfqKXcGYa', 'SU')
('SL12058-2022-11-01-6330','S264-18','KpBmydMpxT', 'MB')
('AC12058-2022-11-01-6526','A363-10','kPOtcKbVMkAeyQMV', 'UB')
('AC22517-2022-11-02-6571','A366-1','YYX', 'LB')
('SL04652-2022-11-01-6514','S272-10','m', 'MB')
('SL22517-2022-11-02-6587','S275-11','LEixxhby', 'UB')
('AC04652-2022-11-02-6621','A368-15','gZssQQkRhvipx', 'UB')
('AC04652-2022-11-01-6897','A384-3','nFOaQP', 'UB')
('AC22517-2022-11-01-6623','A368-17','RTRGNHZgL', 'SL')
('SL12058-2022-11-01-6432','S268-24','ea', 'SU')
('SL04652-2022-11-01-6519','S272-15','gCFiCPvmXyl', 'SL')
